Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Tandsbyn D;134000;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2006-05-01 00:00:00;2018-05-01 15:00:00;415.0;63.0092;14.7184
1931-02-01 00:00:00;2003-07-01 23:59:59;375.0;63.0032;14.7508

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1931-01-01 07:00:01;1931-02-01 07:00:00;1931-01;32.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1931-02-01 07:00:01;1931-03-01 07:00:00;1931-02;11.0;G;;Tidsperiod (fr.o.m.) = 1931-02-01 00:00:00 (UTC)
1931-03-01 07:00:01;1931-04-01 07:00:00;1931-03;13.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1931-04-01 07:00:01;1931-05-01 07:00:00;1931-04;37.0;G;;Värdet är summerat över = 1 månad
1931-05-01 07:00:01;1931-06-01 07:00:00;1931-05;20.0;G;;
1931-06-01 07:00:01;1931-07-01 07:00:00;1931-06;73.0;G;;Kvalitetskoderna:
1931-07-01 07:00:01;1931-08-01 07:00:00;1931-07;80.0;G;;Grön (G) = Kontrollerade och godkända värden.
1931-08-01 07:00:01;1931-09-01 07:00:00;1931-08;98.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1931-09-01 07:00:01;1931-10-01 07:00:00;1931-09;25.0;G;;
1931-10-01 07:00:01;1931-11-01 07:00:00;1931-10;42.0;G;;Orsaker till saknade data:
1931-11-01 07:00:01;1931-12-01 07:00:00;1931-11;20.0;G;;  stationen eller givaren har varit ur funktion.
1931-12-01 07:00:01;1932-01-01 07:00:00;1931-12;53.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1932-01-01 07:00:01;1932-02-01 07:00:00;1932-01;24.0;G
1932-02-01 07:00:01;1932-03-01 07:00:00;1932-02;16.0;G
1932-03-01 07:00:01;1932-04-01 07:00:00;1932-03;9.0;G
1932-04-01 07:00:01;1932-05-01 07:00:00;1932-04;27.0;G
1932-05-01 07:00:01;1932-06-01 07:00:00;1932-05;32.0;G
1932-06-01 07:00:01;1932-07-01 07:00:00;1932-06;34.0;G
1932-07-01 07:00:01;1932-08-01 07:00:00;1932-07;42.0;G
1932-08-01 07:00:01;1932-09-01 07:00:00;1932-08;32.0;G
1932-09-01 07:00:01;1932-10-01 07:00:00;1932-09;41.0;G
1932-10-01 07:00:01;1932-11-01 07:00:00;1932-10;43.0;G
1932-11-01 07:00:01;1932-12-01 07:00:00;1932-11;19.0;G
1932-12-01 07:00:01;1933-01-01 07:00:00;1932-12;0.0;G
1933-01-01 07:00:01;1933-02-01 07:00:00;1933-01;17.0;G
1933-02-01 07:00:01;1933-03-01 07:00:00;1933-02;18.0;G
1933-03-01 07:00:01;1933-04-01 07:00:00;1933-03;28.0;G
1933-04-01 07:00:01;1933-05-01 07:00:00;1933-04;15.0;G
1933-05-01 07:00:01;1933-06-01 07:00:00;1933-05;20.0;G
1933-06-01 07:00:01;1933-07-01 07:00:00;1933-06;27.0;G
1933-07-01 07:00:01;1933-08-01 07:00:00;1933-07;62.0;G
1933-08-01 07:00:01;1933-09-01 07:00:00;1933-08;73.0;G
1933-09-01 07:00:01;1933-10-01 07:00:00;1933-09;21.0;G
1933-10-01 07:00:01;1933-11-01 07:00:00;1933-10;53.0;G
1933-11-01 07:00:01;1933-12-01 07:00:00;1933-11;22.0;G
1933-12-01 07:00:01;1934-01-01 07:00:00;1933-12;27.0;G
1934-01-01 07:00:01;1934-02-01 07:00:00;1934-01;14.0;G
1934-02-01 07:00:01;1934-03-01 07:00:00;1934-02;39.0;G
1934-03-01 07:00:01;1934-04-01 07:00:00;1934-03;28.0;G
1934-04-01 07:00:01;1934-05-01 07:00:00;1934-04;31.0;G
1934-05-01 07:00:01;1934-06-01 07:00:00;1934-05;13.0;G
1934-06-01 07:00:01;1934-07-01 07:00:00;1934-06;45.0;G
1934-07-01 07:00:01;1934-08-01 07:00:00;1934-07;34.0;G
1934-08-01 07:00:01;1934-09-01 07:00:00;1934-08;75.0;G
1934-09-01 07:00:01;1934-10-01 07:00:00;1934-09;56.0;G
1934-10-01 07:00:01;1934-11-01 07:00:00;1934-10;51.0;G
1934-11-01 07:00:01;1934-12-01 07:00:00;1934-11;62.0;G
1934-12-01 07:00:01;1935-01-01 07:00:00;1934-12;56.0;G
1935-01-01 07:00:01;1935-02-01 07:00:00;1935-01;47.0;G
1935-02-01 07:00:01;1935-03-01 07:00:00;1935-02;21.0;G
1935-03-01 07:00:01;1935-04-01 07:00:00;1935-03;13.0;G
1935-04-01 07:00:01;1935-05-01 07:00:00;1935-04;64.0;G
1935-05-01 07:00:01;1935-06-01 07:00:00;1935-05;23.0;G
1935-06-01 07:00:01;1935-07-01 07:00:00;1935-06;87.0;G
1935-07-01 07:00:01;1935-08-01 07:00:00;1935-07;94.0;G
1935-08-01 07:00:01;1935-09-01 07:00:00;1935-08;76.0;G
1935-09-01 07:00:01;1935-10-01 07:00:00;1935-09;72.0;G
1935-10-01 07:00:01;1935-11-01 07:00:00;1935-10;58.0;G
1935-11-01 07:00:01;1935-12-01 07:00:00;1935-11;50.0;G
1935-12-01 07:00:01;1936-01-01 07:00:00;1935-12;75.0;G
1936-01-01 07:00:01;1936-02-01 07:00:00;1936-01;63.0;G
1936-02-01 07:00:01;1936-03-01 07:00:00;1936-02;7.0;G
1936-03-01 07:00:01;1936-04-01 07:00:00;1936-03;29.0;G
1936-04-01 07:00:01;1936-05-01 07:00:00;1936-04;38.0;G
1936-05-01 07:00:01;1936-06-01 07:00:00;1936-05;37.0;G
1936-06-01 07:00:01;1936-07-01 07:00:00;1936-06;12.0;G
1936-07-01 07:00:01;1936-08-01 07:00:00;1936-07;80.0;G
1936-08-01 07:00:01;1936-09-01 07:00:00;1936-08;91.0;G
1936-09-01 07:00:01;1936-10-01 07:00:00;1936-09;4.0;G
1936-10-01 07:00:01;1936-11-01 07:00:00;1936-10;64.0;G
1936-11-01 07:00:01;1936-12-01 07:00:00;1936-11;30.0;G
1936-12-01 07:00:01;1937-01-01 07:00:00;1936-12;15.0;G
1937-01-01 07:00:01;1937-02-01 07:00:00;1937-01;21.0;G
1937-02-01 07:00:01;1937-03-01 07:00:00;1937-02;34.0;G
1937-03-01 07:00:01;1937-04-01 07:00:00;1937-03;42.0;G
1937-04-01 07:00:01;1937-05-01 07:00:00;1937-04;19.0;G
1937-05-01 07:00:01;1937-06-01 07:00:00;1937-05;35.0;G
1937-06-01 07:00:01;1937-07-01 07:00:00;1937-06;88.0;G
1937-07-01 07:00:01;1937-08-01 07:00:00;1937-07;44.0;G
1937-08-01 07:00:01;1937-09-01 07:00:00;1937-08;27.0;G
1937-09-01 07:00:01;1937-10-01 07:00:00;1937-09;141.0;G
1937-10-01 07:00:01;1937-11-01 07:00:00;1937-10;18.0;G
1937-11-01 07:00:01;1937-12-01 07:00:00;1937-11;78.0;G
1937-12-01 07:00:01;1938-01-01 07:00:00;1937-12;34.0;G
1938-01-01 07:00:01;1938-02-01 07:00:00;1938-01;24.0;G
1938-02-01 07:00:01;1938-03-01 07:00:00;1938-02;6.0;G
1938-03-01 07:00:01;1938-04-01 07:00:00;1938-03;35.0;G
1938-04-01 07:00:01;1938-05-01 07:00:00;1938-04;16.0;G
1938-05-01 07:00:01;1938-06-01 07:00:00;1938-05;64.0;G
1938-06-01 07:00:01;1938-07-01 07:00:00;1938-06;70.0;G
1938-07-01 07:00:01;1938-08-01 07:00:00;1938-07;121.0;G
1938-08-01 07:00:01;1938-09-01 07:00:00;1938-08;27.0;G
1938-09-01 07:00:01;1938-10-01 07:00:00;1938-09;86.0;G
1938-10-01 07:00:01;1938-11-01 07:00:00;1938-10;71.0;G
1938-11-01 07:00:01;1938-12-01 07:00:00;1938-11;23.0;G
1938-12-01 07:00:01;1939-01-01 07:00:00;1938-12;18.0;G
1939-01-01 07:00:01;1939-02-01 07:00:00;1939-01;50.0;G
1939-02-01 07:00:01;1939-03-01 07:00:00;1939-02;27.0;G
1939-03-01 07:00:01;1939-04-01 07:00:00;1939-03;5.0;G
1939-04-01 07:00:01;1939-05-01 07:00:00;1939-04;30.0;G
1939-05-01 07:00:01;1939-06-01 07:00:00;1939-05;8.0;G
1939-06-01 07:00:01;1939-07-01 07:00:00;1939-06;52.0;G
1939-07-01 07:00:01;1939-08-01 07:00:00;1939-07;76.0;G
1939-08-01 07:00:01;1939-09-01 07:00:00;1939-08;25.0;G
1939-09-01 07:00:01;1939-10-01 07:00:00;1939-09;39.0;G
1939-10-01 07:00:01;1939-11-01 07:00:00;1939-10;6.0;G
1939-11-01 07:00:01;1939-12-01 07:00:00;1939-11;37.0;G
1939-12-01 07:00:01;1940-01-01 07:00:00;1939-12;24.0;G
1940-01-01 07:00:01;1940-02-01 07:00:00;1940-01;41.0;G
1940-02-01 07:00:01;1940-03-01 07:00:00;1940-02;25.0;G
1940-03-01 07:00:01;1940-04-01 07:00:00;1940-03;42.0;G
1940-04-01 07:00:01;1940-05-01 07:00:00;1940-04;6.0;G
1940-05-01 07:00:01;1940-06-01 07:00:00;1940-05;7.0;G
1940-06-01 07:00:01;1940-07-01 07:00:00;1940-06;40.0;G
1940-07-01 07:00:01;1940-08-01 07:00:00;1940-07;50.0;G
1940-08-01 07:00:01;1940-09-01 07:00:00;1940-08;88.0;G
1940-09-01 07:00:01;1940-10-01 07:00:00;1940-09;52.0;G
1940-10-01 07:00:01;1940-11-01 07:00:00;1940-10;38.0;G
1940-11-01 07:00:01;1940-12-01 07:00:00;1940-11;67.0;G
1940-12-01 07:00:01;1941-01-01 07:00:00;1940-12;36.0;G
1941-01-01 07:00:01;1941-02-01 07:00:00;1941-01;22.0;G
1941-02-01 07:00:01;1941-03-01 07:00:00;1941-02;45.0;G
1941-03-01 07:00:01;1941-04-01 07:00:00;1941-03;32.0;G
1941-04-01 07:00:01;1941-05-01 07:00:00;1941-04;1.0;G
1941-05-01 07:00:01;1941-06-01 07:00:00;1941-05;0.0;G
1941-06-01 07:00:01;1941-07-01 07:00:00;1941-06;70.0;G
1941-07-01 07:00:01;1941-08-01 07:00:00;1941-07;40.0;G
1941-08-01 07:00:01;1941-09-01 07:00:00;1941-08;146.0;G
1941-09-01 07:00:01;1941-10-01 07:00:00;1941-09;62.0;G
1941-10-01 07:00:01;1941-11-01 07:00:00;1941-10;43.0;G
1941-11-01 07:00:01;1941-12-01 07:00:00;1941-11;24.0;G
1941-12-01 07:00:01;1942-01-01 07:00:00;1941-12;73.0;G
1942-01-01 07:00:01;1942-02-01 07:00:00;1942-01;14.0;G
1942-02-01 07:00:01;1942-03-01 07:00:00;1942-02;6.0;G
1942-03-01 07:00:01;1942-04-01 07:00:00;1942-03;11.0;G
1942-04-01 07:00:01;1942-05-01 07:00:00;1942-04;0.0;G
1942-05-01 07:00:01;1942-06-01 07:00:00;1942-05;39.0;G
1942-06-01 07:00:01;1942-07-01 07:00:00;1942-06;73.0;G
1942-07-01 07:00:01;1942-08-01 07:00:00;1942-07;70.0;G
1942-08-01 07:00:01;1942-09-01 07:00:00;1942-08;46.0;G
1942-09-01 07:00:01;1942-10-01 07:00:00;1942-09;66.0;G
1942-10-01 07:00:01;1942-11-01 07:00:00;1942-10;78.0;G
1942-11-01 07:00:01;1942-12-01 07:00:00;1942-11;18.0;G
1942-12-01 07:00:01;1943-01-01 07:00:00;1942-12;13.0;G
1943-01-01 07:00:01;1943-02-01 07:00:00;1943-01;40.0;G
1943-02-01 07:00:01;1943-03-01 07:00:00;1943-02;11.0;G
1943-03-01 07:00:01;1943-04-01 07:00:00;1943-03;16.0;G
1943-04-01 07:00:01;1943-05-01 07:00:00;1943-04;18.0;G
1943-05-01 07:00:01;1943-06-01 07:00:00;1943-05;14.0;G
1943-06-01 07:00:01;1943-07-01 07:00:00;1943-06;37.0;G
1943-07-01 07:00:01;1943-08-01 07:00:00;1943-07;78.0;G
1943-08-01 07:00:01;1943-09-01 07:00:00;1943-08;28.0;G
1943-09-01 07:00:01;1943-10-01 07:00:00;1943-09;50.0;G
1943-10-01 07:00:01;1943-11-01 07:00:00;1943-10;40.0;G
1943-11-01 07:00:01;1943-12-01 07:00:00;1943-11;30.0;G
1943-12-01 07:00:01;1944-01-01 07:00:00;1943-12;14.0;G
1944-01-01 07:00:01;1944-02-01 07:00:00;1944-01;41.0;G
1944-02-01 07:00:01;1944-03-01 07:00:00;1944-02;2.0;G
1944-03-01 07:00:01;1944-04-01 07:00:00;1944-03;48.0;G
1944-04-01 07:00:01;1944-05-01 07:00:00;1944-04;8.0;G
1944-05-01 07:00:01;1944-06-01 07:00:00;1944-05;11.0;G
1944-06-01 07:00:01;1944-07-01 07:00:00;1944-06;65.0;G
1944-07-01 07:00:01;1944-08-01 07:00:00;1944-07;11.0;G
1944-08-01 07:00:01;1944-09-01 07:00:00;1944-08;46.0;G
1944-09-01 07:00:01;1944-10-01 07:00:00;1944-09;52.0;G
1944-10-01 07:00:01;1944-11-01 07:00:00;1944-10;22.0;G
1944-11-01 07:00:01;1944-12-01 07:00:00;1944-11;54.0;G
1944-12-01 07:00:01;1945-01-01 07:00:00;1944-12;31.0;G
1945-01-01 07:00:01;1945-02-01 07:00:00;1945-01;53.0;G
1945-02-01 07:00:01;1945-03-01 07:00:00;1945-02;41.0;G
