Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Norderön;134090;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2007-01-01 00:00:00;2018-04-30 23:59:59;320.0;63.1618;14.3692
1957-02-01 00:00:00;1978-03-31 23:59:59;310.0;63.154;14.3686

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1957-01-01 06:00:01;1957-02-01 06:00:00;1957-01;32.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1957-02-01 06:00:01;1957-03-01 06:00:00;1957-02;37.0;G;;Tidsperiod (fr.o.m.) = 1957-02-01 00:00:00 (UTC)
1957-03-01 06:00:01;1957-04-01 06:00:00;1957-03;34.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1957-04-01 06:00:01;1957-05-01 06:00:00;1957-04;12.0;G;;Värdet är summerat över = 1 månad
1957-05-01 06:00:01;1957-06-01 06:00:00;1957-05;33.0;G;;
1957-06-01 06:00:01;1957-07-01 06:00:00;1957-06;67.0;G;;Kvalitetskoderna:
1957-07-01 06:00:01;1957-08-01 06:00:00;1957-07;143.0;G;;Grön (G) = Kontrollerade och godkända värden.
1957-08-01 06:00:01;1957-09-01 06:00:00;1957-08;75.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1957-09-01 06:00:01;1957-10-01 06:00:00;1957-09;60.0;G;;
1957-10-01 06:00:01;1957-11-01 06:00:00;1957-10;54.0;G;;Orsaker till saknade data:
1957-11-01 06:00:01;1957-12-01 06:00:00;1957-11;40.0;G;;  stationen eller givaren har varit ur funktion.
1957-12-01 06:00:01;1958-01-01 06:00:00;1957-12;26.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1958-01-01 06:00:01;1958-02-01 06:00:00;1958-01;22.0;G
1958-02-01 06:00:01;1958-03-01 06:00:00;1958-02;13.0;G
1958-03-01 06:00:01;1958-04-01 06:00:00;1958-03;18.0;G
1958-04-01 06:00:01;1958-05-01 06:00:00;1958-04;20.0;G
1958-05-01 06:00:01;1958-06-01 06:00:00;1958-05;46.0;G
1958-06-01 06:00:01;1958-07-01 06:00:00;1958-06;63.0;G
1958-07-01 06:00:01;1958-08-01 06:00:00;1958-07;46.0;G
1958-08-01 06:00:01;1958-09-01 06:00:00;1958-08;78.0;G
1958-09-01 06:00:01;1958-10-01 06:00:00;1958-09;26.0;G
1958-10-01 06:00:01;1958-11-01 06:00:00;1958-10;85.0;G
1958-11-01 06:00:01;1958-12-01 06:00:00;1958-11;30.0;G
1958-12-01 06:00:01;1959-01-01 06:00:00;1958-12;70.0;G
1959-01-01 06:00:01;1959-02-01 06:00:00;1959-01;117.0;G
1959-02-01 06:00:01;1959-03-01 06:00:00;1959-02;13.0;G
1959-03-01 06:00:01;1959-04-01 06:00:00;1959-03;11.0;G
1959-04-01 06:00:01;1959-05-01 06:00:00;1959-04;78.0;G
1959-05-01 06:00:01;1959-06-01 06:00:00;1959-05;22.0;G
1959-06-01 06:00:01;1959-07-01 06:00:00;1959-06;30.0;G
1959-07-01 06:00:01;1959-08-01 06:00:00;1959-07;69.0;G
1959-08-01 06:00:01;1959-09-01 06:00:00;1959-08;48.0;G
1959-09-01 06:00:01;1959-10-01 06:00:00;1959-09;24.0;G
1959-10-01 06:00:01;1959-11-01 06:00:00;1959-10;41.0;G
1959-11-01 06:00:01;1959-12-01 06:00:00;1959-11;62.0;G
1959-12-01 06:00:01;1960-01-01 06:00:00;1959-12;56.0;G
1960-01-01 06:00:01;1960-02-01 06:00:00;1960-01;41.0;G
1960-02-01 06:00:01;1960-03-01 06:00:00;1960-02;21.0;G
1960-03-01 06:00:01;1960-04-01 06:00:00;1960-03;13.0;G
1960-04-01 06:00:01;1960-05-01 06:00:00;1960-04;29.0;G
1960-05-01 06:00:01;1960-06-01 06:00:00;1960-05;42.0;G
1960-06-01 06:00:01;1960-07-01 06:00:00;1960-06;93.0;G
1960-07-01 06:00:01;1960-08-01 06:00:00;1960-07;106.0;G
1960-08-01 06:00:01;1960-09-01 06:00:00;1960-08;188.0;G
1960-09-01 06:00:01;1960-10-01 06:00:00;1960-09;58.0;G
1960-10-01 06:00:01;1960-11-01 06:00:00;1960-10;87.0;G
1960-11-01 06:00:01;1960-12-01 06:00:00;1960-11;100.0;G
1960-12-01 06:00:01;1961-01-01 06:00:00;1960-12;63.0;G
1961-01-01 06:00:01;1961-02-01 06:00:00;1961-01;17.0;G
1961-02-01 06:00:01;1961-03-01 06:00:00;1961-02;18.0;G
1961-03-01 06:00:01;1961-04-01 06:00:00;1961-03;44.0;G
1961-04-01 06:00:01;1961-05-01 06:00:00;1961-04;8.0;G
1961-05-01 06:00:01;1961-06-01 06:00:00;1961-05;30.0;G
1961-06-01 06:00:01;1961-07-01 06:00:00;1961-06;84.0;G
1961-07-01 06:00:01;1961-08-01 06:00:00;1961-07;99.0;G
1961-08-01 06:00:01;1961-09-01 06:00:00;1961-08;85.0;G
1961-09-01 06:00:01;1961-10-01 06:00:00;1961-09;53.0;G
1961-10-01 06:00:01;1961-11-01 06:00:00;1961-10;32.0;G
1961-11-01 06:00:01;1961-12-01 06:00:00;1961-11;18.0;G
1961-12-01 06:00:01;1962-01-01 06:00:00;1961-12;55.0;G
1962-01-01 06:00:01;1962-02-01 06:00:00;1962-01;49.0;G
1962-02-01 06:00:01;1962-03-01 06:00:00;1962-02;26.0;G
1962-03-01 06:00:01;1962-04-01 06:00:00;1962-03;28.0;G
1962-04-01 06:00:01;1962-05-01 06:00:00;1962-04;72.0;G
1962-05-01 06:00:01;1962-06-01 06:00:00;1962-05;39.0;G
1962-06-01 06:00:01;1962-07-01 06:00:00;1962-06;85.0;G
1962-07-01 06:00:01;1962-08-01 06:00:00;1962-07;89.0;G
1962-08-01 06:00:01;1962-09-01 06:00:00;1962-08;95.0;G
1962-09-01 06:00:01;1962-10-01 06:00:00;1962-09;54.0;G
1962-10-01 06:00:01;1962-11-01 06:00:00;1962-10;19.0;G
1962-11-01 06:00:01;1962-12-01 06:00:00;1962-11;24.0;G
1962-12-01 06:00:01;1963-01-01 06:00:00;1962-12;21.0;G
1963-01-01 06:00:01;1963-02-01 06:00:00;1963-01;11.0;G
1963-02-01 06:00:01;1963-03-01 06:00:00;1963-02;18.0;G
1963-03-01 06:00:01;1963-04-01 06:00:00;1963-03;36.0;G
1963-04-01 06:00:01;1963-05-01 06:00:00;1963-04;26.0;G
1963-05-01 06:00:01;1963-06-01 06:00:00;1963-05;33.0;G
1963-06-01 06:00:01;1963-07-01 06:00:00;1963-06;71.0;G
1963-07-01 06:00:01;1963-08-01 06:00:00;1963-07;48.0;G
1963-08-01 06:00:01;1963-09-01 06:00:00;1963-08;66.0;G
1963-09-01 06:00:01;1963-10-01 06:00:00;1963-09;51.0;G
1963-10-01 06:00:01;1963-11-01 06:00:00;1963-10;26.0;G
1963-11-01 06:00:01;1963-12-01 06:00:00;1963-11;53.0;G
1963-12-01 06:00:01;1964-01-01 06:00:00;1963-12;30.0;G
1964-01-01 06:00:01;1964-02-01 06:00:00;1964-01;9.0;G
1964-02-01 06:00:01;1964-03-01 06:00:00;1964-02;24.0;G
1964-03-01 06:00:01;1964-04-01 06:00:00;1964-03;2.0;G
1964-04-01 06:00:01;1964-05-01 06:00:00;1964-04;10.0;G
1964-05-01 06:00:01;1964-06-01 06:00:00;1964-05;23.0;G
1964-06-01 06:00:01;1964-07-01 06:00:00;1964-06;93.0;G
1964-07-01 06:00:01;1964-08-01 06:00:00;1964-07;90.0;G
1964-08-01 06:00:01;1964-09-01 06:00:00;1964-08;136.0;G
1964-09-01 06:00:01;1964-10-01 06:00:00;1964-09;78.0;G
1964-10-01 06:00:01;1964-11-01 06:00:00;1964-10;42.0;G
1964-11-01 06:00:01;1964-12-01 06:00:00;1964-11;26.0;G
1964-12-01 06:00:01;1965-01-01 06:00:00;1964-12;22.0;G
1965-01-01 06:00:01;1965-02-01 06:00:00;1965-01;39.3;Y
1965-02-01 06:00:01;1965-03-01 06:00:00;1965-02;32.7;Y
1965-03-01 06:00:01;1965-04-01 06:00:00;1965-03;17.9;Y
1965-04-01 06:00:01;1965-05-01 06:00:00;1965-04;17.6;Y
1965-05-01 06:00:01;1965-06-01 06:00:00;1965-05;4.9;Y
1965-06-01 06:00:01;1965-07-01 06:00:00;1965-06;35.8;Y
1965-07-01 06:00:01;1965-08-01 06:00:00;1965-07;73.8;Y
