Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Tullus D;134190;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1990-09-01 00:00:00;2018-05-01 15:00:00;340.0;63.3085;14.3174

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;54.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;93.8;Y;;Tidsperiod (fr.o.m.) = 1990-09-01 00:00:00 (UTC)
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;17.9;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;34.3;Y;;Värdet är summerat över = 1 månad
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;33.9;Y;;
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;21.1;Y;;Kvalitetskoderna:
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;16.4;Y;;Grön (G) = Kontrollerade och godkända värden.
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;37.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;11.3;Y;;
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;23.8;Y;;Orsaker till saknade data:
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;106.5;Y;;  stationen eller givaren har varit ur funktion.
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;76.8;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;53.1;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;58.7;Y
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;31.3;Y
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;31.2;Y
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;32.4;Y
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;46.6;Y
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;36.0;Y
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;21.9;Y
1992-04-01 06:00:01;1992-05-01 06:00:00;1992-04;82.4;Y
1992-05-01 06:00:01;1992-06-01 06:00:00;1992-05;13.9;Y
1992-06-01 06:00:01;1992-07-01 06:00:00;1992-06;30.1;Y
1992-07-01 06:00:01;1992-08-01 06:00:00;1992-07;95.8;Y
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;91.6;Y
