Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Långan D;134270;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2006-02-01 00:00:00;2018-04-30 23:59:59;300.0;63.4555;14.4859

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2006-01-01 06:00:01;2006-02-01 06:00:00;2006-01;23.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;16.1;Y;;Tidsperiod (fr.o.m.) = 2006-02-01 00:00:00 (UTC)
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;42.6;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;36.9;Y;;Värdet är summerat över = 1 månad
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;65.7;Y;;
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;26.1;Y;;Kvalitetskoderna:
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;56.1;Y;;Grön (G) = Kontrollerade och godkända värden.
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;68.4;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;63.4;Y;;
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;174.7;Y;;Orsaker till saknade data:
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;59.8;Y;;  stationen eller givaren har varit ur funktion.
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;63.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;50.3;Y
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;21.1;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;28.5;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;10.5;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;47.4;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;12.1;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;69.8;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;31.1;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;49.7;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;37.0;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;65.1;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;33.0;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;76.2;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;32.4;Y
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;26.8;Y
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;34.0;Y
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;51.6;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;59.4;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;27.9;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;112.4;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;20.3;Y
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;43.3;Y
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;47.7;Y
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;40.6;Y
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;25.8;Y
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;53.7;Y
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;17.3;Y
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;24.1;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;37.2;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;58.2;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;117.8;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;57.9;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;53.9;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;35.3;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;76.9;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;35.5;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;21.5;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;34.6;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;19.8;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;27.7;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;114.8;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;136.0;Y
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;85.2;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;72.7;Y
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;60.8;Y
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;17.8;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;18.0;Y
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;37.3;Y
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;40.3;Y
2011-02-01 06:00:01;2011-03-01 06:00:00;2011-02;29.0;Y
2011-03-01 06:00:01;2011-04-01 06:00:00;2011-03;27.1;Y
2011-04-01 06:00:01;2011-05-01 06:00:00;2011-04;19.7;Y
2011-05-01 06:00:01;2011-06-01 06:00:00;2011-05;91.6;Y
2011-06-01 06:00:01;2011-07-01 06:00:00;2011-06;28.7;Y
2011-07-01 06:00:01;2011-08-01 06:00:00;2011-07;84.1;Y
2011-08-01 06:00:01;2011-09-01 06:00:00;2011-08;98.6;Y
2011-09-01 06:00:01;2011-10-01 06:00:00;2011-09;106.4;Y
2011-10-01 06:00:01;2011-11-01 06:00:00;2011-10;22.3;Y
2011-11-01 06:00:01;2011-12-01 06:00:00;2011-11;26.0;Y
2011-12-01 06:00:01;2012-01-01 06:00:00;2011-12;86.8;Y
2012-01-01 06:00:01;2012-02-01 06:00:00;2012-01;71.5;Y
2012-02-01 06:00:01;2012-03-01 06:00:00;2012-02;28.4;Y
2012-03-01 06:00:01;2012-04-01 06:00:00;2012-03;19.2;Y
2012-04-01 06:00:01;2012-05-01 06:00:00;2012-04;28.6;Y
2012-05-01 06:00:01;2012-06-01 06:00:00;2012-05;43.5;Y
2012-06-01 06:00:01;2012-07-01 06:00:00;2012-06;68.5;Y
2012-07-01 06:00:01;2012-08-01 06:00:00;2012-07;109.4;Y
2012-08-01 06:00:01;2012-09-01 06:00:00;2012-08;70.9;Y
2012-09-01 06:00:01;2012-10-01 06:00:00;2012-09;58.6;Y
2012-10-01 06:00:01;2012-11-01 06:00:00;2012-10;50.8;Y
2012-11-01 06:00:01;2012-12-01 06:00:00;2012-11;33.6;Y
2012-12-01 06:00:01;2013-01-01 06:00:00;2012-12;50.9;Y
2013-01-01 06:00:01;2013-02-01 06:00:00;2013-01;25.6;Y
2013-02-01 06:00:01;2013-03-01 06:00:00;2013-02;13.9;Y
2013-03-01 06:00:01;2013-04-01 06:00:00;2013-03;23.5;Y
2013-04-01 06:00:01;2013-05-01 06:00:00;2013-04;20.7;Y
2013-05-01 06:00:01;2013-06-01 06:00:00;2013-05;34.9;Y
2013-06-01 06:00:01;2013-07-01 06:00:00;2013-06;70.5;Y
2013-07-01 06:00:01;2013-08-01 06:00:00;2013-07;83.4;Y
2013-08-01 06:00:01;2013-09-01 06:00:00;2013-08;81.4;Y
2013-09-01 06:00:01;2013-10-01 06:00:00;2013-09;50.1;Y
2013-10-01 06:00:01;2013-11-01 06:00:00;2013-10;59.9;Y
2013-11-01 06:00:01;2013-12-01 06:00:00;2013-11;31.6;Y
2013-12-01 06:00:01;2014-01-01 06:00:00;2013-12;57.3;Y
2014-01-01 06:00:01;2014-02-01 06:00:00;2014-01;22.0;Y
2014-02-01 06:00:01;2014-03-01 06:00:00;2014-02;38.3;Y
2014-03-01 06:00:01;2014-04-01 06:00:00;2014-03;43.1;Y
2014-04-01 06:00:01;2014-05-01 06:00:00;2014-04;13.5;Y
