Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Föllinge A;134410;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-01-01 00:00:00;2018-05-01 15:00:00;362.0;63.677;14.6079

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;8.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;7.5;Y;;Tidsperiod (fr.o.m.) = 1996-01-01 00:00:00 (UTC)
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;12.0;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;7.7;Y;;Värdet är summerat över = 1 månad
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;33.8;Y;;
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;42.1;Y;;Kvalitetskoderna:
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;79.8;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;46.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;36.8;Y;;
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;29.4;Y;;Orsaker till saknade data:
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;54.9;Y;;  stationen eller givaren har varit ur funktion.
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;51.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;32.4;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;13.4;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;47.1;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;40.8;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;25.1;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;30.4;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;37.6;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;87.7;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;94.3;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;27.0;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;33.8;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;34.0;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;17.2;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;37.1;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;62.7;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;27.2;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;32.4;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;6.7;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;78.0;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;132.6;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;127.8;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;62.6;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;77.1;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;29.5;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;32.3;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;41.4;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;41.0;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;33.9;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;34.1;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;24.7;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;68.4;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;63.9;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;56.7;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;62.9;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;50.0;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;42.4;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;35.4;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;35.2;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;32.6;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;16.1;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;59.9;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;40.2;Y
2000-06-01 06:00:01;2000-07-01 06:00:00;2000-06;63.6;Y
2000-07-01 06:00:01;2000-08-01 06:00:00;2000-07;153.4;Y
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;71.3;Y
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;36.0;Y
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;92.9;Y
2000-11-01 06:00:01;2000-12-01 06:00:00;2000-11;69.5;Y
2000-12-01 06:00:01;2001-01-01 06:00:00;2000-12;48.7;Y
2001-01-01 06:00:01;2001-02-01 06:00:00;2001-01;24.0;Y
2001-02-01 06:00:01;2001-03-01 06:00:00;2001-02;17.1;Y
2001-03-01 06:00:01;2001-04-01 06:00:00;2001-03;25.9;Y
2001-04-01 06:00:01;2001-05-01 06:00:00;2001-04;36.9;Y
2001-05-01 06:00:01;2001-06-01 06:00:00;2001-05;29.2;Y
2001-06-01 06:00:01;2001-07-01 06:00:00;2001-06;27.1;Y
2001-07-01 06:00:01;2001-08-01 06:00:00;2001-07;178.2;Y
2001-08-01 06:00:01;2001-09-01 06:00:00;2001-08;104.4;Y
2001-09-01 06:00:01;2001-10-01 06:00:00;2001-09;77.0;Y
2001-10-01 06:00:01;2001-11-01 06:00:00;2001-10;60.3;Y
2001-11-01 06:00:01;2001-12-01 06:00:00;2001-11;45.0;Y
2001-12-01 06:00:01;2002-01-01 06:00:00;2001-12;29.7;Y
2002-01-01 06:00:01;2002-02-01 06:00:00;2002-01;31.3;Y
2002-02-01 06:00:01;2002-03-01 06:00:00;2002-02;36.9;Y
2002-03-01 06:00:01;2002-04-01 06:00:00;2002-03;37.2;Y
2002-04-01 06:00:01;2002-05-01 06:00:00;2002-04;17.8;Y
2002-05-01 06:00:01;2002-06-01 06:00:00;2002-05;13.5;Y
2002-06-01 06:00:01;2002-07-01 06:00:00;2002-06;74.1;Y
2002-07-01 06:00:01;2002-08-01 06:00:00;2002-07;56.3;Y
2002-08-01 06:00:01;2002-09-01 06:00:00;2002-08;36.5;Y
2002-09-01 06:00:01;2002-10-01 06:00:00;2002-09;29.3;Y
2002-10-01 06:00:01;2002-11-01 06:00:00;2002-10;30.9;Y
2002-11-01 06:00:01;2002-12-01 06:00:00;2002-11;17.6;Y
2002-12-01 06:00:01;2003-01-01 06:00:00;2002-12;15.5;Y
2003-01-01 06:00:01;2003-02-01 06:00:00;2003-01;62.3;Y
2003-02-01 06:00:01;2003-03-01 06:00:00;2003-02;8.9;Y
2003-03-01 06:00:01;2003-04-01 06:00:00;2003-03;5.3;Y
2003-04-01 06:00:01;2003-05-01 06:00:00;2003-04;39.2;Y
2003-05-01 06:00:01;2003-06-01 06:00:00;2003-05;60.9;Y
2003-06-01 06:00:01;2003-07-01 06:00:00;2003-06;77.5;Y
2003-07-01 06:00:01;2003-08-01 06:00:00;2003-07;109.1;Y
2003-08-01 06:00:01;2003-09-01 06:00:00;2003-08;86.2;Y
2003-09-01 06:00:01;2003-10-01 06:00:00;2003-09;63.2;Y
2003-10-01 06:00:01;2003-11-01 06:00:00;2003-10;17.5;Y
2003-11-01 06:00:01;2003-12-01 06:00:00;2003-11;56.0;Y
2003-12-01 06:00:01;2004-01-01 06:00:00;2003-12;45.9;Y
2004-01-01 06:00:01;2004-02-01 06:00:00;2004-01;22.5;Y
2004-02-01 06:00:01;2004-03-01 06:00:00;2004-02;18.4;Y
2004-03-01 06:00:01;2004-04-01 06:00:00;2004-03;16.3;Y
2004-04-01 06:00:01;2004-05-01 06:00:00;2004-04;8.2;Y
2004-05-01 06:00:01;2004-06-01 06:00:00;2004-05;8.7;Y
2004-06-01 06:00:01;2004-07-01 06:00:00;2004-06;59.9;Y
2004-07-01 06:00:01;2004-08-01 06:00:00;2004-07;60.1;Y
2004-08-01 06:00:01;2004-09-01 06:00:00;2004-08;37.4;Y
2004-09-01 06:00:01;2004-10-01 06:00:00;2004-09;90.2;Y
2004-10-01 06:00:01;2004-11-01 06:00:00;2004-10;33.9;Y
2004-11-01 06:00:01;2004-12-01 06:00:00;2004-11;47.7;Y
2004-12-01 06:00:01;2005-01-01 06:00:00;2004-12;34.5;Y
2005-01-01 06:00:01;2005-02-01 06:00:00;2005-01;47.9;Y
2005-02-01 06:00:01;2005-03-01 06:00:00;2005-02;13.4;Y
2005-03-01 06:00:01;2005-04-01 06:00:00;2005-03;12.9;Y
2005-04-01 06:00:01;2005-05-01 06:00:00;2005-04;20.1;Y
2005-05-01 06:00:01;2005-06-01 06:00:00;2005-05;59.0;Y
2005-06-01 06:00:01;2005-07-01 06:00:00;2005-06;52.8;Y
2005-07-01 06:00:01;2005-08-01 06:00:00;2005-07;88.0;Y
2005-08-01 06:00:01;2005-09-01 06:00:00;2005-08;87.0;Y
2005-09-01 06:00:01;2005-10-01 06:00:00;2005-09;40.4;Y
2005-10-01 06:00:01;2005-11-01 06:00:00;2005-10;35.8;Y
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;24.6;Y
2005-12-01 06:00:01;2006-01-01 06:00:00;2005-12;34.5;Y
2006-01-01 06:00:01;2006-02-01 06:00:00;2006-01;15.6;Y
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;17.5;Y
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;35.0;Y
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;36.3;Y
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;54.0;Y
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;25.6;Y
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;33.6;Y
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;60.5;Y
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;60.6;Y
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;121.4;Y
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;61.7;Y
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;49.2;Y
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;42.9;Y
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;13.4;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;21.8;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;7.2;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;36.2;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;5.3;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;50.9;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;39.8;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;44.9;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;32.2;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;56.9;Y
