Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Almdalen;134590;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1972-07-01 00:00:00;2018-03-31 23:59:59;615.0;63.9967;14.6701
1965-01-01 00:00:00;1969-04-01 06:00:00;615.0;63.9967;14.6701

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1964-12-01 06:00:01;1965-01-01 06:00:00;1964-12;72.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1965-01-01 06:00:01;1965-02-01 06:00:00;1965-01;70.4;Y;;Tidsperiod (fr.o.m.) = 1965-01-01 00:00:00 (UTC)
1965-02-01 06:00:01;1965-03-01 06:00:00;1965-02;42.8;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1965-03-01 06:00:01;1965-04-01 06:00:00;1965-03;69.4;Y;;Värdet är summerat över = 1 månad
1965-04-01 06:00:01;1965-05-01 06:00:00;1965-04;46.0;Y;;
1965-05-01 06:00:01;1965-06-01 06:00:00;1965-05;15.0;G;;Kvalitetskoderna:
1965-06-01 06:00:01;1965-07-01 06:00:00;1965-06;89.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1965-07-01 06:00:01;1965-08-01 06:00:00;1965-07;111.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1965-08-01 06:00:01;1965-09-01 06:00:00;1965-08;72.2;Y;;
1965-09-01 06:00:01;1965-10-01 06:00:00;1965-09;120.7;Y;;Orsaker till saknade data:
1965-10-01 06:00:01;1965-11-01 06:00:00;1965-10;56.3;Y;;  stationen eller givaren har varit ur funktion.
1965-11-01 06:00:01;1965-12-01 06:00:00;1965-11;61.1;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1965-12-01 06:00:01;1966-01-01 06:00:00;1965-12;68.8;Y
1966-01-01 06:00:01;1966-02-01 06:00:00;1966-01;43.7;Y
1966-02-01 06:00:01;1966-03-01 06:00:00;1966-02;59.5;Y
1966-03-01 06:00:01;1966-04-01 06:00:00;1966-03;85.5;Y
1966-04-01 06:00:01;1966-05-01 06:00:00;1966-04;30.4;Y
1966-05-01 06:00:01;1966-06-01 06:00:00;1966-05;66.4;Y
1966-06-01 06:00:01;1966-07-01 06:00:00;1966-06;31.6;Y
1966-07-01 06:00:01;1966-08-01 06:00:00;1966-07;110.6;Y
1966-08-01 06:00:01;1966-09-01 06:00:00;1966-08;92.8;Y
1966-09-01 06:00:01;1966-10-01 06:00:00;1966-09;92.6;Y
1966-10-01 06:00:01;1966-11-01 06:00:00;1966-10;75.8;Y
1966-11-01 06:00:01;1966-12-01 06:00:00;1966-11;36.3;Y
1966-12-01 06:00:01;1967-01-01 06:00:00;1966-12;127.6;Y
1967-01-01 06:00:01;1967-02-01 06:00:00;1967-01;44.3;Y
1967-02-01 06:00:01;1967-03-01 06:00:00;1967-02;57.4;Y
1967-05-01 06:00:01;1967-06-01 06:00:00;1967-05;107.8;Y
1967-06-01 06:00:01;1967-07-01 06:00:00;1967-06;48.1;Y
1967-07-01 06:00:01;1967-08-01 06:00:00;1967-07;77.3;Y
1967-08-01 06:00:01;1967-09-01 06:00:00;1967-08;107.3;Y
1967-09-01 06:00:01;1967-10-01 06:00:00;1967-09;30.6;Y
1967-10-01 06:00:01;1967-11-01 06:00:00;1967-10;124.0;G
1967-11-01 06:00:01;1967-12-01 06:00:00;1967-11;102.4;Y
1967-12-01 06:00:01;1968-01-01 06:00:00;1967-12;86.4;Y
1968-01-01 06:00:01;1968-02-01 06:00:00;1968-01;77.6;Y
1968-02-01 06:00:01;1968-03-01 06:00:00;1968-02;40.3;Y
1968-05-01 06:00:01;1968-06-01 06:00:00;1968-05;47.1;Y
1968-06-01 06:00:01;1968-07-01 06:00:00;1968-06;45.3;Y
1968-07-01 06:00:01;1968-08-01 06:00:00;1968-07;12.6;Y
1968-08-01 06:00:01;1968-09-01 06:00:00;1968-08;13.4;Y
1968-09-01 06:00:01;1968-10-01 06:00:00;1968-09;81.2;Y
1968-10-01 06:00:01;1968-11-01 06:00:00;1968-10;91.6;Y
1968-12-01 06:00:01;1969-01-01 06:00:00;1968-12;40.9;Y
1969-01-01 06:00:01;1969-02-01 06:00:00;1969-01;73.2;Y
1969-02-01 06:00:01;1969-03-01 06:00:00;1969-02;40.2;Y
1969-03-01 06:00:01;1969-04-01 06:00:00;1969-03;20.8;Y
1972-06-01 06:00:01;1972-07-01 06:00:00;1972-06;118.6;Y
1972-07-01 06:00:01;1972-08-01 06:00:00;1972-07;126.9;Y
1972-08-01 06:00:01;1972-09-01 06:00:00;1972-08;76.5;Y
1972-09-01 06:00:01;1972-10-01 06:00:00;1972-09;78.2;Y
1972-10-01 06:00:01;1972-11-01 06:00:00;1972-10;52.6;Y
1972-11-01 06:00:01;1972-12-01 06:00:00;1972-11;100.2;Y
1972-12-01 06:00:01;1973-01-01 06:00:00;1972-12;50.3;Y
1973-01-01 06:00:01;1973-02-01 06:00:00;1973-01;27.6;Y
1973-02-01 06:00:01;1973-03-01 06:00:00;1973-02;58.6;Y
1973-03-01 06:00:01;1973-04-01 06:00:00;1973-03;33.1;Y
1973-04-01 06:00:01;1973-05-01 06:00:00;1973-04;71.8;Y
1973-05-01 06:00:01;1973-06-01 06:00:00;1973-05;72.1;Y
1973-06-01 06:00:01;1973-07-01 06:00:00;1973-06;38.4;Y
1973-07-01 06:00:01;1973-08-01 06:00:00;1973-07;103.5;Y
1973-08-01 06:00:01;1973-09-01 06:00:00;1973-08;62.0;Y
1973-09-01 06:00:01;1973-10-01 06:00:00;1973-09;83.9;Y
1973-10-01 06:00:01;1973-11-01 06:00:00;1973-10;72.8;Y
1973-11-01 06:00:01;1973-12-01 06:00:00;1973-11;78.0;Y
1973-12-01 06:00:01;1974-01-01 06:00:00;1973-12;106.3;Y
1974-01-01 06:00:01;1974-02-01 06:00:00;1974-01;88.3;Y
1974-02-01 06:00:01;1974-03-01 06:00:00;1974-02;70.3;Y
1974-03-01 06:00:01;1974-04-01 06:00:00;1974-03;20.0;Y
1974-04-01 06:00:01;1974-05-01 06:00:00;1974-04;19.0;Y
1974-05-01 06:00:01;1974-06-01 06:00:00;1974-05;19.0;Y
1974-06-01 06:00:01;1974-07-01 06:00:00;1974-06;55.3;Y
1974-07-01 06:00:01;1974-08-01 06:00:00;1974-07;167.2;Y
1974-08-01 06:00:01;1974-09-01 06:00:00;1974-08;44.6;Y
1974-09-01 06:00:01;1974-10-01 06:00:00;1974-09;129.2;Y
1974-10-01 06:00:01;1974-11-01 06:00:00;1974-10;66.8;Y
1974-11-01 06:00:01;1974-12-01 06:00:00;1974-11;101.2;Y
1974-12-01 06:00:01;1975-01-01 06:00:00;1974-12;88.2;Y
1975-01-01 06:00:01;1975-02-01 06:00:00;1975-01;140.5;Y
1975-02-01 06:00:01;1975-03-01 06:00:00;1975-02;38.6;Y
1975-03-01 06:00:01;1975-04-01 06:00:00;1975-03;19.8;Y
1975-04-01 06:00:01;1975-05-01 06:00:00;1975-04;42.6;Y
1975-05-01 06:00:01;1975-06-01 06:00:00;1975-05;77.8;Y
1975-06-01 06:00:01;1975-07-01 06:00:00;1975-06;33.6;Y
1975-07-01 06:00:01;1975-08-01 06:00:00;1975-07;65.6;Y
1975-08-01 06:00:01;1975-09-01 06:00:00;1975-08;51.5;Y
1975-09-01 06:00:01;1975-10-01 06:00:00;1975-09;160.2;Y
1975-10-01 06:00:01;1975-11-01 06:00:00;1975-10;101.4;Y
1975-11-01 06:00:01;1975-12-01 06:00:00;1975-11;42.6;Y
1975-12-01 06:00:01;1976-01-01 06:00:00;1975-12;226.1;Y
1976-01-01 06:00:01;1976-02-01 06:00:00;1976-01;72.3;Y
1976-02-01 06:00:01;1976-03-01 06:00:00;1976-02;64.5;Y
1976-03-01 06:00:01;1976-04-01 06:00:00;1976-03;26.0;Y
1976-04-01 06:00:01;1976-05-01 06:00:00;1976-04;46.1;Y
1976-05-01 06:00:01;1976-06-01 06:00:00;1976-05;31.0;Y
1976-06-01 06:00:01;1976-07-01 06:00:00;1976-06;68.7;Y
1976-07-01 06:00:01;1976-08-01 06:00:00;1976-07;81.3;Y
1976-08-01 06:00:01;1976-09-01 06:00:00;1976-08;19.4;Y
