Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Västerövsjö D;135020;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2008-07-01 00:00:00;2018-05-01 15:00:00;285.0;63.0421;15.9347

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;73.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;47.6;Y;;Tidsperiod (fr.o.m.) = 2008-07-01 00:00:00 (UTC)
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;134.8;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;23.0;Y;;Värdet är summerat över = 1 månad
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;41.9;Y;;
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;49.2;Y;;Kvalitetskoderna:
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;59.9;Y;;Grön (G) = Kontrollerade och godkända värden.
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;34.1;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;67.4;Y;;
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;25.5;Y;;Orsaker till saknade data:
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;26.5;Y;;  stationen eller givaren har varit ur funktion.
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;27.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;67.3;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;173.9;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;113.5;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;64.1;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;82.6;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;69.9;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;36.4;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;28.6;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;40.3;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;30.1;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;19.8;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;60.6;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;121.3;Y
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;62.6;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;106.6;Y
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;107.3;Y
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;44.6;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;25.4;Y
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;48.0;Y
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;39.7;Y
2011-02-01 06:00:01;2011-03-01 06:00:00;2011-02;26.8;Y
2011-03-01 06:00:01;2011-04-01 06:00:00;2011-03;21.0;Y
2011-04-01 06:00:01;2011-05-01 06:00:00;2011-04;19.1;Y
2011-05-01 06:00:01;2011-06-01 06:00:00;2011-05;78.0;Y
2011-06-01 06:00:01;2011-07-01 06:00:00;2011-06;45.4;Y
2011-07-01 06:00:01;2011-08-01 06:00:00;2011-07;61.5;Y
2011-08-01 06:00:01;2011-09-01 06:00:00;2011-08;164.8;Y
2011-09-01 06:00:01;2011-10-01 06:00:00;2011-09;88.7;Y
2011-10-01 06:00:01;2011-11-01 06:00:00;2011-10;23.0;Y
2011-11-01 06:00:01;2011-12-01 06:00:00;2011-11;30.8;Y
2011-12-01 06:00:01;2012-01-01 06:00:00;2011-12;76.8;Y
2012-04-01 06:00:01;2012-05-01 06:00:00;2012-04;42.5;Y
2012-05-01 06:00:01;2012-06-01 06:00:00;2012-05;64.6;Y
2012-06-01 06:00:01;2012-07-01 06:00:00;2012-06;53.2;Y
2012-07-01 06:00:01;2012-08-01 06:00:00;2012-07;69.4;Y
2012-08-01 06:00:01;2012-09-01 06:00:00;2012-08;65.1;Y
2012-09-01 06:00:01;2012-10-01 06:00:00;2012-09;74.0;Y
2012-10-01 06:00:01;2012-11-01 06:00:00;2012-10;103.8;Y
2012-11-01 06:00:01;2012-12-01 06:00:00;2012-11;30.1;Y
2012-12-01 06:00:01;2013-01-01 06:00:00;2012-12;59.1;Y
2013-01-01 06:00:01;2013-02-01 06:00:00;2013-01;24.9;Y
2013-02-01 06:00:01;2013-03-01 06:00:00;2013-02;21.5;Y
2013-03-01 06:00:01;2013-04-01 06:00:00;2013-03;23.3;Y
2013-04-01 06:00:01;2013-05-01 06:00:00;2013-04;23.2;Y
2013-05-01 06:00:01;2013-06-01 06:00:00;2013-05;59.3;Y
2013-06-01 06:00:01;2013-07-01 06:00:00;2013-06;92.5;Y
2013-07-01 06:00:01;2013-08-01 06:00:00;2013-07;113.9;Y
2013-08-01 06:00:01;2013-09-01 06:00:00;2013-08;79.6;Y
2013-09-01 06:00:01;2013-10-01 06:00:00;2013-09;104.1;Y
2013-10-01 06:00:01;2013-11-01 06:00:00;2013-10;40.0;Y
2013-11-01 06:00:01;2013-12-01 06:00:00;2013-11;26.8;Y
2013-12-01 06:00:01;2014-01-01 06:00:00;2013-12;48.9;Y
2014-01-01 06:00:01;2014-02-01 06:00:00;2014-01;38.0;Y
2014-02-01 06:00:01;2014-03-01 06:00:00;2014-02;56.8;Y
2014-03-01 06:00:01;2014-04-01 06:00:00;2014-03;20.7;Y
2014-04-01 06:00:01;2014-05-01 06:00:00;2014-04;9.5;Y
2014-05-01 06:00:01;2014-06-01 06:00:00;2014-05;56.6;Y
2014-06-01 06:00:01;2014-07-01 06:00:00;2014-06;79.5;Y
2014-07-01 06:00:01;2014-08-01 06:00:00;2014-07;28.1;Y
