Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Rissna D;135040;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1998-05-01 00:00:00;2018-05-01 15:00:00;300.0;63.0593;15.3441
1969-12-01 00:00:00;1998-04-30 23:59:59;300.0;63.0608;15.3446

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1969-11-01 06:00:01;1969-12-01 06:00:00;1969-11;51.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1969-12-01 06:00:01;1970-01-01 06:00:00;1969-12;16.5;Y;;Tidsperiod (fr.o.m.) = 1969-12-01 00:00:00 (UTC)
1970-01-01 06:00:01;1970-02-01 06:00:00;1970-01;24.5;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1970-02-01 06:00:01;1970-03-01 06:00:00;1970-02;19.2;Y;;Värdet är summerat över = 1 månad
1970-03-01 06:00:01;1970-04-01 06:00:00;1970-03;40.6;Y;;
1970-04-01 06:00:01;1970-05-01 06:00:00;1970-04;49.2;Y;;Kvalitetskoderna:
1970-05-01 06:00:01;1970-06-01 06:00:00;1970-05;24.8;Y;;Grön (G) = Kontrollerade och godkända värden.
1970-06-01 06:00:01;1970-07-01 06:00:00;1970-06;17.1;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1970-07-01 06:00:01;1970-08-01 06:00:00;1970-07;148.6;Y;;
1970-08-01 06:00:01;1970-09-01 06:00:00;1970-08;27.0;Y;;Orsaker till saknade data:
1970-09-01 06:00:01;1970-10-01 06:00:00;1970-09;93.5;Y;;  stationen eller givaren har varit ur funktion.
1970-10-01 06:00:01;1970-11-01 06:00:00;1970-10;91.7;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1970-11-01 06:00:01;1970-12-01 06:00:00;1970-11;60.9;Y
1970-12-01 06:00:01;1971-01-01 06:00:00;1970-12;11.2;Y
1971-01-01 06:00:01;1971-02-01 06:00:00;1971-01;37.6;Y
1971-02-01 06:00:01;1971-03-01 06:00:00;1971-02;36.4;Y
1971-03-01 06:00:01;1971-04-01 06:00:00;1971-03;42.3;Y
1971-04-01 06:00:01;1971-05-01 06:00:00;1971-04;28.8;Y
1971-05-01 06:00:01;1971-06-01 06:00:00;1971-05;24.0;Y
1971-06-01 06:00:01;1971-07-01 06:00:00;1971-06;45.6;Y
1971-07-01 06:00:01;1971-08-01 06:00:00;1971-07;55.2;Y
1971-08-01 06:00:01;1971-09-01 06:00:00;1971-08;41.1;Y
1971-09-01 06:00:01;1971-10-01 06:00:00;1971-09;72.0;Y
1971-10-01 06:00:01;1971-11-01 06:00:00;1971-10;52.8;Y
1971-11-01 06:00:01;1971-12-01 06:00:00;1971-11;60.7;Y
1971-12-01 06:00:01;1972-01-01 06:00:00;1971-12;34.5;Y
1972-01-01 06:00:01;1972-02-01 06:00:00;1972-01;12.7;Y
1972-02-01 06:00:01;1972-03-01 06:00:00;1972-02;17.0;Y
1972-03-01 06:00:01;1972-04-01 06:00:00;1972-03;25.0;Y
1972-04-01 06:00:01;1972-05-01 06:00:00;1972-04;39.3;Y
1972-05-01 06:00:01;1972-06-01 06:00:00;1972-05;47.8;Y
1972-06-01 06:00:01;1972-07-01 06:00:00;1972-06;65.3;Y
