Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Borgvattnet D;135260;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1969-12-01 00:00:00;2006-12-31 23:59:59;380.0;63.4216;15.8331
2007-01-01 00:00:00;2018-04-30 23:59:59;380.0;63.4248;15.8283

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1969-11-01 06:00:01;1969-12-01 06:00:00;1969-11;54.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1969-12-01 06:00:01;1970-01-01 06:00:00;1969-12;20.5;Y;;Tidsperiod (fr.o.m.) = 1969-12-01 00:00:00 (UTC)
1970-01-01 06:00:01;1970-02-01 06:00:00;1970-01;32.0;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1970-02-01 06:00:01;1970-03-01 06:00:00;1970-02;23.1;Y;;Värdet är summerat över = 1 månad
1970-03-01 06:00:01;1970-04-01 06:00:00;1970-03;51.8;Y;;
1970-04-01 06:00:01;1970-05-01 06:00:00;1970-04;44.7;Y;;Kvalitetskoderna:
1970-05-01 06:00:01;1970-06-01 06:00:00;1970-05;25.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1970-06-01 06:00:01;1970-07-01 06:00:00;1970-06;17.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1970-07-01 06:00:01;1970-08-01 06:00:00;1970-07;134.2;Y;;
1970-08-01 06:00:01;1970-09-01 06:00:00;1970-08;11.5;Y;;Orsaker till saknade data:
1970-09-01 06:00:01;1970-10-01 06:00:00;1970-09;90.4;Y;;  stationen eller givaren har varit ur funktion.
1970-10-01 06:00:01;1970-11-01 06:00:00;1970-10;99.8;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1970-11-01 06:00:01;1970-12-01 06:00:00;1970-11;94.3;Y
1970-12-01 06:00:01;1971-01-01 06:00:00;1970-12;19.2;Y
1971-01-01 06:00:01;1971-02-01 06:00:00;1971-01;44.9;Y
1971-02-01 06:00:01;1971-03-01 06:00:00;1971-02;38.0;Y
1971-03-01 06:00:01;1971-04-01 06:00:00;1971-03;42.8;Y
1971-04-01 06:00:01;1971-05-01 06:00:00;1971-04;34.4;Y
1971-05-01 06:00:01;1971-06-01 06:00:00;1971-05;36.4;Y
1971-06-01 06:00:01;1971-07-01 06:00:00;1971-06;37.4;Y
1971-07-01 06:00:01;1971-08-01 06:00:00;1971-07;53.6;Y
1971-08-01 06:00:01;1971-09-01 06:00:00;1971-08;23.1;Y
1971-09-01 06:00:01;1971-10-01 06:00:00;1971-09;70.6;Y
1971-10-01 06:00:01;1971-11-01 06:00:00;1971-10;54.9;Y
1971-11-01 06:00:01;1971-12-01 06:00:00;1971-11;62.6;Y
1971-12-01 06:00:01;1972-01-01 06:00:00;1971-12;39.8;Y
1972-01-01 06:00:01;1972-02-01 06:00:00;1972-01;14.5;Y
1972-02-01 06:00:01;1972-03-01 06:00:00;1972-02;18.0;Y
1972-03-01 06:00:01;1972-04-01 06:00:00;1972-03;25.2;Y
1972-04-01 06:00:01;1972-05-01 06:00:00;1972-04;44.7;Y
1972-05-01 06:00:01;1972-06-01 06:00:00;1972-05;53.2;Y
1972-06-01 06:00:01;1972-07-01 06:00:00;1972-06;91.0;Y
1972-07-01 06:00:01;1972-08-01 06:00:00;1972-07;148.5;Y
1972-08-01 06:00:01;1972-09-01 06:00:00;1972-08;31.4;Y
1972-09-01 06:00:01;1972-10-01 06:00:00;1972-09;57.8;Y
1972-10-01 06:00:01;1972-11-01 06:00:00;1972-10;28.9;Y
1972-11-01 06:00:01;1972-12-01 06:00:00;1972-11;66.1;Y
1972-12-01 06:00:01;1973-01-01 06:00:00;1972-12;27.8;Y
1973-01-01 06:00:01;1973-02-01 06:00:00;1973-01;21.5;Y
1973-02-01 06:00:01;1973-03-01 06:00:00;1973-02;28.3;Y
1973-03-01 06:00:01;1973-04-01 06:00:00;1973-03;15.8;Y
1973-04-01 06:00:01;1973-05-01 06:00:00;1973-04;99.8;Y
1973-05-01 06:00:01;1973-06-01 06:00:00;1973-05;45.9;Y
1973-06-01 06:00:01;1973-07-01 06:00:00;1973-06;51.2;Y
1973-07-01 06:00:01;1973-08-01 06:00:00;1973-07;103.1;Y
1973-08-01 06:00:01;1973-09-01 06:00:00;1973-08;50.7;Y
1973-09-01 06:00:01;1973-10-01 06:00:00;1973-09;49.6;Y
1973-10-01 06:00:01;1973-11-01 06:00:00;1973-10;27.5;Y
1973-11-01 06:00:01;1973-12-01 06:00:00;1973-11;53.1;Y
1973-12-01 06:00:01;1974-01-01 06:00:00;1973-12;62.0;Y
1974-01-01 06:00:01;1974-02-01 06:00:00;1974-01;26.1;Y
1974-02-01 06:00:01;1974-03-01 06:00:00;1974-02;54.0;Y
1974-03-01 06:00:01;1974-04-01 06:00:00;1974-03;2.4;Y
1974-04-01 06:00:01;1974-05-01 06:00:00;1974-04;22.3;Y
1974-05-01 06:00:01;1974-06-01 06:00:00;1974-05;24.1;Y
1974-06-01 06:00:01;1974-07-01 06:00:00;1974-06;47.2;Y
1974-07-01 06:00:01;1974-08-01 06:00:00;1974-07;211.9;Y
