Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Hammerdal D;135350;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1962-03-01 00:00:00;1963-08-01 23:59:59;310.0;63.575;15.368500000000001
1985-01-01 00:00:00;2018-05-01 15:00:00;330.0;63.575;15.368500000000001

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1962-02-01 06:00:01;1962-03-01 06:00:00;1962-02;22.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1962-04-01 06:00:01;1962-05-01 06:00:00;1962-04;38.8;Y;;Tidsperiod (fr.o.m.) = 1962-03-01 00:00:00 (UTC)
1962-09-01 06:00:01;1962-10-01 06:00:00;1962-09;69.2;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1962-11-01 06:00:01;1962-12-01 06:00:00;1962-11;18.1;Y;;Värdet är summerat över = 1 månad
1963-01-01 06:00:01;1963-02-01 06:00:00;1963-01;5.5;Y;;
1963-04-01 06:00:01;1963-05-01 06:00:00;1963-04;30.6;Y;;Kvalitetskoderna:
1963-05-01 06:00:01;1963-06-01 06:00:00;1963-05;30.4;Y;;Grön (G) = Kontrollerade och godkända värden.
1963-07-01 06:00:01;1963-08-01 06:00:00;1963-07;32.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1984-12-01 06:00:01;1985-01-01 06:00:00;1984-12;19.5;Y;;
1985-01-01 06:00:01;1985-02-01 06:00:00;1985-01;28.4;Y;;Orsaker till saknade data:
1985-02-01 06:00:01;1985-03-01 06:00:00;1985-02;32.4;Y;;  stationen eller givaren har varit ur funktion.
1985-03-01 06:00:01;1985-04-01 06:00:00;1985-03;29.0;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1985-04-01 06:00:01;1985-05-01 06:00:00;1985-04;12.0;Y
1985-05-01 06:00:01;1985-06-01 06:00:00;1985-05;44.5;Y
1985-06-01 06:00:01;1985-07-01 06:00:00;1985-06;63.4;Y
1985-07-01 06:00:01;1985-08-01 06:00:00;1985-07;112.6;Y
1985-08-01 06:00:01;1985-09-01 06:00:00;1985-08;98.2;Y
1985-09-01 06:00:01;1985-10-01 06:00:00;1985-09;88.6;Y
1985-10-01 06:00:01;1985-11-01 06:00:00;1985-10;46.5;Y
1985-11-01 06:00:01;1985-12-01 06:00:00;1985-11;45.8;Y
1985-12-01 06:00:01;1986-01-01 06:00:00;1985-12;58.7;Y
1986-01-01 06:00:01;1986-02-01 06:00:00;1986-01;38.5;Y
1986-02-01 06:00:01;1986-03-01 06:00:00;1986-02;1.4;Y
1986-03-01 06:00:01;1986-04-01 06:00:00;1986-03;16.9;Y
1986-04-01 06:00:01;1986-05-01 06:00:00;1986-04;40.2;Y
1986-05-01 06:00:01;1986-06-01 06:00:00;1986-05;36.1;Y
1986-06-01 06:00:01;1986-07-01 06:00:00;1986-06;37.6;Y
1986-07-01 06:00:01;1986-08-01 06:00:00;1986-07;74.7;Y
1986-08-01 06:00:01;1986-09-01 06:00:00;1986-08;101.2;Y
1986-09-01 06:00:01;1986-10-01 06:00:00;1986-09;36.7;Y
1986-10-01 06:00:01;1986-11-01 06:00:00;1986-10;47.8;Y
1986-11-01 06:00:01;1986-12-01 06:00:00;1986-11;37.1;Y
1986-12-01 06:00:01;1987-01-01 06:00:00;1986-12;52.4;Y
1987-01-01 06:00:01;1987-02-01 06:00:00;1987-01;19.6;Y
1987-02-01 06:00:01;1987-03-01 06:00:00;1987-02;37.4;Y
1987-03-01 06:00:01;1987-04-01 06:00:00;1987-03;22.0;Y
1987-04-01 06:00:01;1987-05-01 06:00:00;1987-04;5.0;Y
1987-05-01 06:00:01;1987-06-01 06:00:00;1987-05;51.5;Y
1987-06-01 06:00:01;1987-07-01 06:00:00;1987-06;105.0;Y
1987-07-01 06:00:01;1987-08-01 06:00:00;1987-07;65.6;Y
1987-08-01 06:00:01;1987-09-01 06:00:00;1987-08;85.6;Y
1987-09-01 06:00:01;1987-10-01 06:00:00;1987-09;106.0;Y
1987-10-01 06:00:01;1987-11-01 06:00:00;1987-10;35.6;Y
1987-11-01 06:00:01;1987-12-01 06:00:00;1987-11;34.0;Y
1987-12-01 06:00:01;1988-01-01 06:00:00;1987-12;44.9;Y
1988-01-01 06:00:01;1988-02-01 06:00:00;1988-01;58.6;Y
1988-02-01 06:00:01;1988-03-01 06:00:00;1988-02;65.3;Y
1988-03-01 06:00:01;1988-04-01 06:00:00;1988-03;38.2;Y
1988-04-01 06:00:01;1988-05-01 06:00:00;1988-04;6.3;Y
1988-05-01 06:00:01;1988-06-01 06:00:00;1988-05;33.1;Y
1988-06-01 06:00:01;1988-07-01 06:00:00;1988-06;23.0;Y
1988-07-01 06:00:01;1988-08-01 06:00:00;1988-07;57.4;Y
1988-08-01 06:00:01;1988-09-01 06:00:00;1988-08;83.3;Y
1988-09-01 06:00:01;1988-10-01 06:00:00;1988-09;83.8;Y
1988-10-01 06:00:01;1988-11-01 06:00:00;1988-10;31.2;Y
1988-11-01 06:00:01;1988-12-01 06:00:00;1988-11;11.5;Y
1988-12-01 06:00:01;1989-01-01 06:00:00;1988-12;25.9;Y
1989-01-01 06:00:01;1989-02-01 06:00:00;1989-01;31.6;Y
1989-02-01 06:00:01;1989-03-01 06:00:00;1989-02;33.9;Y
1989-03-01 06:00:01;1989-04-01 06:00:00;1989-03;36.6;Y
1989-04-01 06:00:01;1989-05-01 06:00:00;1989-04;54.9;Y
1989-05-01 06:00:01;1989-06-01 06:00:00;1989-05;43.5;Y
1989-06-01 06:00:01;1989-07-01 06:00:00;1989-06;28.6;Y
1989-07-01 06:00:01;1989-08-01 06:00:00;1989-07;61.8;Y
1989-08-01 06:00:01;1989-09-01 06:00:00;1989-08;122.1;Y
1989-09-01 06:00:01;1989-10-01 06:00:00;1989-09;22.0;Y
1989-10-01 06:00:01;1989-11-01 06:00:00;1989-10;12.1;Y
1989-11-01 06:00:01;1989-12-01 06:00:00;1989-11;44.0;Y
1989-12-01 06:00:01;1990-01-01 06:00:00;1989-12;32.5;Y
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;61.1;Y
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;31.9;Y
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;12.7;Y
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;33.9;Y
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;7.1;Y
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;26.6;Y
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;117.1;Y
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;62.7;Y
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;84.4;Y
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;23.3;Y
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;28.4;Y
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;26.3;Y
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;24.8;Y
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;6.9;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;28.9;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;11.8;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;46.6;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;153.3;Y
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;63.8;Y
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;45.8;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;52.1;Y
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;41.4;Y
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;37.1;Y
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;26.0;Y
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;24.4;Y
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;22.8;Y
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;25.5;Y
1992-04-01 06:00:01;1992-05-01 06:00:00;1992-04;86.2;Y
1992-05-01 06:00:01;1992-06-01 06:00:00;1992-05;36.5;Y
1992-06-01 06:00:01;1992-07-01 06:00:00;1992-06;28.1;Y
1992-07-01 06:00:01;1992-08-01 06:00:00;1992-07;156.9;Y
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;117.4;Y
1992-09-01 06:00:01;1992-10-01 06:00:00;1992-09;34.0;Y
1992-10-01 06:00:01;1992-11-01 06:00:00;1992-10;27.1;Y
1992-11-01 06:00:01;1992-12-01 06:00:00;1992-11;80.8;Y
1992-12-01 06:00:01;1993-01-01 06:00:00;1992-12;31.6;Y
1993-01-01 06:00:01;1993-02-01 06:00:00;1993-01;28.1;Y
1993-02-01 06:00:01;1993-03-01 06:00:00;1993-02;16.5;Y
1993-03-01 06:00:01;1993-04-01 06:00:00;1993-03;8.1;Y
1993-04-01 06:00:01;1993-05-01 06:00:00;1993-04;5.8;Y
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;67.4;Y
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;84.3;Y
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;174.6;Y
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;111.7;Y
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;36.6;Y
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;63.1;Y
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;24.6;Y
1993-12-01 06:00:01;1994-01-01 06:00:00;1993-12;59.9;Y
1994-01-01 06:00:01;1994-02-01 06:00:00;1994-01;83.2;Y
1994-02-01 06:00:01;1994-03-01 06:00:00;1994-02;2.4;Y
1994-03-01 06:00:01;1994-04-01 06:00:00;1994-03;30.9;Y
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;17.8;Y
1994-05-01 06:00:01;1994-06-01 06:00:00;1994-05;8.9;Y
1994-06-01 06:00:01;1994-07-01 06:00:00;1994-06;69.8;Y
1994-07-01 06:00:01;1994-08-01 06:00:00;1994-07;13.7;Y
1994-08-01 06:00:01;1994-09-01 06:00:00;1994-08;36.4;Y
1994-09-01 06:00:01;1994-10-01 06:00:00;1994-09;56.5;Y
1994-10-01 06:00:01;1994-11-01 06:00:00;1994-10;64.8;Y
1994-11-01 06:00:01;1994-12-01 06:00:00;1994-11;43.4;Y
1994-12-01 06:00:01;1995-01-01 06:00:00;1994-12;40.9;Y
1995-01-01 06:00:01;1995-02-01 06:00:00;1995-01;30.3;Y
1995-02-01 06:00:01;1995-03-01 06:00:00;1995-02;27.2;Y
1995-03-01 06:00:01;1995-04-01 06:00:00;1995-03;41.9;Y
1995-04-01 06:00:01;1995-05-01 06:00:00;1995-04;43.6;Y
1995-05-01 06:00:01;1995-06-01 06:00:00;1995-05;40.4;Y
1995-06-01 06:00:01;1995-07-01 06:00:00;1995-06;52.8;Y
1995-07-01 06:00:01;1995-08-01 06:00:00;1995-07;73.9;Y
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;87.5;Y
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;38.0;Y
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;29.9;Y
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;53.8;Y
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;8.3;Y
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;7.0;Y
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;7.7;Y
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;8.9;Y
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;34.0;Y
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;37.3;Y
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;117.6;Y
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;53.5;Y
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;50.8;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;31.9;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;70.3;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;69.9;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;44.8;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;9.7;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;34.0;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;27.4;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;51.2;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;34.2;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;63.1;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;106.7;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;88.6;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;23.4;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;19.9;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;47.4;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;22.0;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;36.5;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;44.6;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;18.1;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;30.4;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;15.8;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;110.8;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;186.8;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;136.2;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;58.3;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;72.9;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;15.7;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;35.0;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;48.2;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;31.8;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;27.7;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;38.1;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;24.6;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;81.2;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;57.0;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;38.5;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;79.9;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;52.0;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;38.1;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;47.9;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;45.1;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;23.7;Y
