Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Lövberga D;135580;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1921-08-01 00:00:00;1988-05-30 23:59:59;267.0;63.9685;15.8515
1988-06-01 00:00:00;2018-05-01 15:00:00;267.0;63.9664;15.8533

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1921-07-01 07:00:01;1921-08-01 07:00:00;1921-07;96.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1921-08-01 07:00:01;1921-09-01 07:00:00;1921-08;238.0;G;;Tidsperiod (fr.o.m.) = 1921-08-01 00:00:00 (UTC)
1921-09-01 07:00:01;1921-10-01 07:00:00;1921-09;34.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1921-10-01 07:00:01;1921-11-01 07:00:00;1921-10;66.0;G;;Värdet är summerat över = 1 månad
1921-11-01 07:00:01;1921-12-01 07:00:00;1921-11;9.0;G;;
1921-12-01 07:00:01;1922-01-01 07:00:00;1921-12;52.0;G;;Kvalitetskoderna:
1922-01-01 07:00:01;1922-02-01 07:00:00;1922-01;19.0;G;;Grön (G) = Kontrollerade och godkända värden.
1922-02-01 07:00:01;1922-03-01 07:00:00;1922-02;34.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1922-03-01 07:00:01;1922-04-01 07:00:00;1922-03;23.0;G;;
1922-04-01 07:00:01;1922-05-01 07:00:00;1922-04;41.0;G;;Orsaker till saknade data:
1922-05-01 07:00:01;1922-06-01 07:00:00;1922-05;43.0;G;;  stationen eller givaren har varit ur funktion.
1922-06-01 07:00:01;1922-07-01 07:00:00;1922-06;114.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1922-07-01 07:00:01;1922-08-01 07:00:00;1922-07;63.0;G
1922-08-01 07:00:01;1922-09-01 07:00:00;1922-08;64.0;G
1922-09-01 07:00:01;1922-10-01 07:00:00;1922-09;28.0;G
1922-10-01 07:00:01;1922-11-01 07:00:00;1922-10;22.0;G
1922-11-01 07:00:01;1922-12-01 07:00:00;1922-11;17.0;G
1922-12-01 07:00:01;1923-01-01 07:00:00;1922-12;54.0;G
1923-01-01 07:00:01;1923-02-01 07:00:00;1923-01;40.0;G
1923-02-01 07:00:01;1923-03-01 07:00:00;1923-02;9.0;G
1923-03-01 07:00:01;1923-04-01 07:00:00;1923-03;5.0;G
1923-04-01 07:00:01;1923-05-01 07:00:00;1923-04;11.0;G
