Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Krångede A;136090;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-12-01 00:00:00;2018-05-01 15:00:00;183.0;63.1521;16.1733
1965-09-01 00:00:00;1980-01-09 23:59:59;170.0;63.161;16.1718
1980-02-01 00:00:00;1995-09-01 23:59:59;220.0;63.161;16.1718
1965-02-01 00:00:00;1965-08-29 23:59:59;160.0;63.161;16.1718

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1965-01-01 06:00:01;1965-02-01 06:00:00;1965-01;50.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1965-02-01 06:00:01;1965-03-01 06:00:00;1965-02;30.0;G;;Tidsperiod (fr.o.m.) = 1965-02-01 00:00:00 (UTC)
1965-03-01 06:00:01;1965-04-01 06:00:00;1965-03;25.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1965-04-01 06:00:01;1965-05-01 06:00:00;1965-04;22.1;Y;;Värdet är summerat över = 1 månad
1965-05-01 06:00:01;1965-06-01 06:00:00;1965-05;14.7;Y;;
1965-06-01 06:00:01;1965-07-01 06:00:00;1965-06;68.7;Y;;Kvalitetskoderna:
1965-07-01 06:00:01;1965-08-01 06:00:00;1965-07;79.8;Y;;Grön (G) = Kontrollerade och godkända värden.
1965-08-01 06:00:01;1965-09-01 06:00:00;1965-08;51.5;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1965-09-01 06:00:01;1965-10-01 06:00:00;1965-09;70.7;Y;;
1965-10-01 06:00:01;1965-11-01 06:00:00;1965-10;19.9;Y;;Orsaker till saknade data:
1965-11-01 06:00:01;1965-12-01 06:00:00;1965-11;17.5;Y;;  stationen eller givaren har varit ur funktion.
1965-12-01 06:00:01;1966-01-01 06:00:00;1965-12;51.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1966-01-01 06:00:01;1966-02-01 06:00:00;1966-01;27.3;Y
1966-02-01 06:00:01;1966-03-01 06:00:00;1966-02;40.6;Y
1966-03-01 06:00:01;1966-04-01 06:00:00;1966-03;58.6;Y
1966-04-01 06:00:01;1966-05-01 06:00:00;1966-04;24.6;Y
1966-05-01 06:00:01;1966-06-01 06:00:00;1966-05;47.6;Y
1966-06-01 06:00:01;1966-07-01 06:00:00;1966-06;22.6;Y
1966-07-01 06:00:01;1966-08-01 06:00:00;1966-07;57.4;Y
1966-08-01 06:00:01;1966-09-01 06:00:00;1966-08;69.5;Y
1966-09-01 06:00:01;1966-10-01 06:00:00;1966-09;41.5;Y
1966-10-01 06:00:01;1966-11-01 06:00:00;1966-10;24.9;Y
1966-11-01 06:00:01;1966-12-01 06:00:00;1966-11;34.9;Y
1966-12-01 06:00:01;1967-01-01 06:00:00;1966-12;71.5;Y
1967-01-01 06:00:01;1967-02-01 06:00:00;1967-01;32.9;Y
1967-02-01 06:00:01;1967-03-01 06:00:00;1967-02;31.1;Y
1967-03-01 06:00:01;1967-04-01 06:00:00;1967-03;33.2;Y
1967-04-01 06:00:01;1967-05-01 06:00:00;1967-04;12.7;Y
1967-05-01 06:00:01;1967-06-01 06:00:00;1967-05;89.4;Y
1967-06-01 06:00:01;1967-07-01 06:00:00;1967-06;34.8;Y
1967-07-01 06:00:01;1967-08-01 06:00:00;1967-07;92.0;Y
1967-08-01 06:00:01;1967-09-01 06:00:00;1967-08;70.8;Y
1967-09-01 06:00:01;1967-10-01 06:00:00;1967-09;18.9;Y
1967-10-01 06:00:01;1967-11-01 06:00:00;1967-10;83.5;Y
1967-11-01 06:00:01;1967-12-01 06:00:00;1967-11;49.1;Y
1967-12-01 06:00:01;1968-01-01 06:00:00;1967-12;59.2;Y
1968-01-01 06:00:01;1968-02-01 06:00:00;1968-01;23.9;Y
1968-02-01 06:00:01;1968-03-01 06:00:00;1968-02;19.7;Y
1968-03-01 06:00:01;1968-04-01 06:00:00;1968-03;26.8;Y
1968-04-01 06:00:01;1968-05-01 06:00:00;1968-04;22.2;Y
1968-05-01 06:00:01;1968-06-01 06:00:00;1968-05;76.8;Y
1968-06-01 06:00:01;1968-07-01 06:00:00;1968-06;29.1;Y
1968-07-01 06:00:01;1968-08-01 06:00:00;1968-07;18.7;Y
1968-08-01 06:00:01;1968-09-01 06:00:00;1968-08;34.7;Y
1968-09-01 06:00:01;1968-10-01 06:00:00;1968-09;33.4;Y
1968-10-01 06:00:01;1968-11-01 06:00:00;1968-10;60.0;Y
1968-11-01 06:00:01;1968-12-01 06:00:00;1968-11;23.1;Y
1968-12-01 06:00:01;1969-01-01 06:00:00;1968-12;29.5;Y
1969-01-01 06:00:01;1969-02-01 06:00:00;1969-01;33.7;Y
1969-02-01 06:00:01;1969-03-01 06:00:00;1969-02;28.0;Y
1969-03-01 06:00:01;1969-04-01 06:00:00;1969-03;17.1;Y
