Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Edsele;136240;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1993-01-01 00:00:00;2016-12-01 23:59:59;165.0;63.4047;16.55
1949-12-01 00:00:00;1992-12-31 23:59:59;150.0;63.4054;16.5606

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1949-11-01 06:00:01;1949-12-01 06:00:00;1949-11;77.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1949-12-01 06:00:01;1950-01-01 06:00:00;1949-12;74.2;Y;;Tidsperiod (fr.o.m.) = 1949-12-01 00:00:00 (UTC)
1950-01-01 06:00:01;1950-02-01 06:00:00;1950-01;47.8;Y;;Tidsperiod (t.o.m.) = 2016-12-01 23:59:59 (UTC)
1950-02-01 06:00:01;1950-03-01 06:00:00;1950-02;13.8;Y;;Värdet är summerat över = 1 månad
1950-03-01 06:00:01;1950-04-01 06:00:00;1950-03;20.6;Y;;
1950-04-01 06:00:01;1950-05-01 06:00:00;1950-04;79.7;Y;;Kvalitetskoderna:
1950-05-01 06:00:01;1950-06-01 06:00:00;1950-05;71.6;Y;;Grön (G) = Kontrollerade och godkända värden.
1950-06-01 06:00:01;1950-07-01 06:00:00;1950-06;73.6;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1950-07-01 06:00:01;1950-08-01 06:00:00;1950-07;139.3;Y;;
1950-08-01 06:00:01;1950-09-01 06:00:00;1950-08;39.8;Y;;Orsaker till saknade data:
1950-09-01 06:00:01;1950-10-01 06:00:00;1950-09;65.0;G;;  stationen eller givaren har varit ur funktion.
1950-10-01 06:00:01;1950-11-01 06:00:00;1950-10;41.5;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1950-11-01 06:00:01;1950-12-01 06:00:00;1950-11;62.4;Y
1950-12-01 06:00:01;1951-01-01 06:00:00;1950-12;48.9;Y
1951-01-01 06:00:01;1951-02-01 06:00:00;1951-01;22.4;Y
1951-02-01 06:00:01;1951-03-01 06:00:00;1951-02;53.0;G
1951-03-01 06:00:01;1951-04-01 06:00:00;1951-03;12.4;Y
1951-04-01 06:00:01;1951-05-01 06:00:00;1951-04;39.7;Y
1951-05-01 06:00:01;1951-06-01 06:00:00;1951-05;8.2;Y
1951-06-01 06:00:01;1951-07-01 06:00:00;1951-06;72.1;Y
1951-07-01 06:00:01;1951-08-01 06:00:00;1951-07;60.4;Y
1951-08-01 06:00:01;1951-09-01 06:00:00;1951-08;118.6;Y
1951-09-01 06:00:01;1951-10-01 06:00:00;1951-09;51.4;Y
1951-10-01 06:00:01;1951-11-01 06:00:00;1951-10;13.9;Y
1951-11-01 06:00:01;1951-12-01 06:00:00;1951-11;85.2;Y
1951-12-01 06:00:01;1952-01-01 06:00:00;1951-12;39.2;Y
1952-01-01 06:00:01;1952-02-01 06:00:00;1952-01;19.7;Y
1952-02-01 06:00:01;1952-03-01 06:00:00;1952-02;46.8;Y
1952-03-01 06:00:01;1952-04-01 06:00:00;1952-03;18.1;Y
1952-04-01 06:00:01;1952-05-01 06:00:00;1952-04;34.0;G
1952-05-01 06:00:01;1952-06-01 06:00:00;1952-05;24.7;Y
1952-06-01 06:00:01;1952-07-01 06:00:00;1952-06;96.7;Y
1952-07-01 06:00:01;1952-08-01 06:00:00;1952-07;67.1;Y
1952-08-01 06:00:01;1952-09-01 06:00:00;1952-08;86.0;Y
1952-09-01 06:00:01;1952-10-01 06:00:00;1952-09;75.9;Y
1952-10-01 06:00:01;1952-11-01 06:00:00;1952-10;66.1;Y
1952-11-01 06:00:01;1952-12-01 06:00:00;1952-11;64.0;Y
1952-12-01 06:00:01;1953-01-01 06:00:00;1952-12;49.0;G
1953-01-01 06:00:01;1953-02-01 06:00:00;1953-01;24.9;Y
1953-02-01 06:00:01;1953-03-01 06:00:00;1953-02;32.9;Y
1953-03-01 06:00:01;1953-04-01 06:00:00;1953-03;12.9;Y
1953-04-01 06:00:01;1953-05-01 06:00:00;1953-04;36.6;Y
1953-05-01 06:00:01;1953-06-01 06:00:00;1953-05;61.6;Y
1953-06-01 06:00:01;1953-07-01 06:00:00;1953-06;64.3;Y
1953-07-01 06:00:01;1953-08-01 06:00:00;1953-07;52.3;Y
1953-08-01 06:00:01;1953-09-01 06:00:00;1953-08;73.9;Y
1953-09-01 06:00:01;1953-10-01 06:00:00;1953-09;35.5;Y
1953-10-01 06:00:01;1953-11-01 06:00:00;1953-10;22.5;Y
1953-11-01 06:00:01;1953-12-01 06:00:00;1953-11;20.5;Y
1953-12-01 06:00:01;1954-01-01 06:00:00;1953-12;16.9;Y
1954-01-01 06:00:01;1954-02-01 06:00:00;1954-01;24.1;Y
1954-02-01 06:00:01;1954-03-01 06:00:00;1954-02;15.4;Y
1954-03-01 06:00:01;1954-04-01 06:00:00;1954-03;38.7;Y
1954-04-01 06:00:01;1954-05-01 06:00:00;1954-04;22.3;Y
1954-05-01 06:00:01;1954-06-01 06:00:00;1954-05;21.0;G
1954-06-01 06:00:01;1954-07-01 06:00:00;1954-06;85.0;G
1954-07-01 06:00:01;1954-08-01 06:00:00;1954-07;74.8;Y
1954-08-01 06:00:01;1954-09-01 06:00:00;1954-08;145.6;Y
1954-09-01 06:00:01;1954-10-01 06:00:00;1954-09;74.2;Y
1954-10-01 06:00:01;1954-11-01 06:00:00;1954-10;54.6;Y
1954-11-01 06:00:01;1954-12-01 06:00:00;1954-11;29.3;Y
1954-12-01 06:00:01;1955-01-01 06:00:00;1954-12;60.0;Y
