Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Näsåker;136260;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-11-01 00:00:00;2018-03-31 23:59:59;130.0;63.4188;16.9563
1994-07-01 00:00:00;1996-08-01 23:59:59;135.0;63.4394;16.9154

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1994-06-01 06:00:01;1994-07-01 06:00:00;1994-06;75.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1994-07-01 06:00:01;1994-08-01 06:00:00;1994-07;16.0;Y;;Tidsperiod (fr.o.m.) = 1994-07-01 00:00:00 (UTC)
1994-08-01 06:00:01;1994-09-01 06:00:00;1994-08;15.6;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1994-09-01 06:00:01;1994-10-01 06:00:00;1994-09;56.5;Y;;Värdet är summerat över = 1 månad
1994-10-01 06:00:01;1994-11-01 06:00:00;1994-10;42.2;Y;;
1994-11-01 06:00:01;1994-12-01 06:00:00;1994-11;35.7;Y;;Kvalitetskoderna:
1994-12-01 06:00:01;1995-01-01 06:00:00;1994-12;51.7;Y;;Grön (G) = Kontrollerade och godkända värden.
1995-01-01 06:00:01;1995-02-01 06:00:00;1995-01;47.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1995-02-01 06:00:01;1995-03-01 06:00:00;1995-02;25.7;Y;;
1995-03-01 06:00:01;1995-04-01 06:00:00;1995-03;44.1;Y;;Orsaker till saknade data:
1995-04-01 06:00:01;1995-05-01 06:00:00;1995-04;32.2;Y;;  stationen eller givaren har varit ur funktion.
1995-05-01 06:00:01;1995-06-01 06:00:00;1995-05;54.7;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1995-06-01 06:00:01;1995-07-01 06:00:00;1995-06;42.3;Y
1995-07-01 06:00:01;1995-08-01 06:00:00;1995-07;87.5;Y
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;65.1;Y
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;15.8;Y
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;38.1;Y
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;41.4;Y
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;4.4;Y
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;6.6;Y
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;7.5;Y
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;27.8;Y
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;18.8;Y
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;40.4;Y
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;77.9;Y
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;95.9;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;83.6;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;79.0;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;46.7;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;12.5;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;35.7;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;33.3;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;48.6;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;17.7;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;64.5;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;83.7;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;50.8;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;41.0;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;20.8;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;44.1;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;39.0;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;54.1;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;53.0;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;22.9;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;34.1;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;40.6;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;66.0;Y
