Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Storfinnforsen;136360;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1957-02-01 00:00:00;2018-04-30 23:59:59;232.0;63.595;16.1846

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1957-01-01 06:00:01;1957-02-01 06:00:00;1957-01;30.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1957-02-01 06:00:01;1957-03-01 06:00:00;1957-02;36.0;G;;Tidsperiod (fr.o.m.) = 1957-02-01 00:00:00 (UTC)
1957-03-01 06:00:01;1957-04-01 06:00:00;1957-03;42.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1957-04-01 06:00:01;1957-05-01 06:00:00;1957-04;8.0;G;;Värdet är summerat över = 1 månad
1957-05-01 06:00:01;1957-06-01 06:00:00;1957-05;41.0;G;;
1957-06-01 06:00:01;1957-07-01 06:00:00;1957-06;48.0;G;;Kvalitetskoderna:
1957-07-01 06:00:01;1957-08-01 06:00:00;1957-07;121.0;G;;Grön (G) = Kontrollerade och godkända värden.
1957-08-01 06:00:01;1957-09-01 06:00:00;1957-08;65.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1957-09-01 06:00:01;1957-10-01 06:00:00;1957-09;77.0;G;;
1957-10-01 06:00:01;1957-11-01 06:00:00;1957-10;51.0;G;;Orsaker till saknade data:
1957-11-01 06:00:01;1957-12-01 06:00:00;1957-11;25.0;G;;  stationen eller givaren har varit ur funktion.
1957-12-01 06:00:01;1958-01-01 06:00:00;1957-12;33.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1958-01-01 06:00:01;1958-02-01 06:00:00;1958-01;26.0;G
1958-02-01 06:00:01;1958-03-01 06:00:00;1958-02;15.0;G
1958-03-01 06:00:01;1958-04-01 06:00:00;1958-03;14.0;G
1958-04-01 06:00:01;1958-05-01 06:00:00;1958-04;30.0;G
1958-05-01 06:00:01;1958-06-01 06:00:00;1958-05;34.0;G
1958-06-01 06:00:01;1958-07-01 06:00:00;1958-06;64.0;G
1958-07-01 06:00:01;1958-08-01 06:00:00;1958-07;60.0;G
1958-08-01 06:00:01;1958-09-01 06:00:00;1958-08;80.0;G
1958-09-01 06:00:01;1958-10-01 06:00:00;1958-09;37.0;G
1958-10-01 06:00:01;1958-11-01 06:00:00;1958-10;109.0;G
1958-11-01 06:00:01;1958-12-01 06:00:00;1958-11;39.0;G
1958-12-01 06:00:01;1959-01-01 06:00:00;1958-12;53.0;G
1959-01-01 06:00:01;1959-02-01 06:00:00;1959-01;66.0;G
1959-02-01 06:00:01;1959-03-01 06:00:00;1959-02;15.0;G
1959-03-01 06:00:01;1959-04-01 06:00:00;1959-03;19.0;G
1959-04-01 06:00:01;1959-05-01 06:00:00;1959-04;34.0;G
1959-05-01 06:00:01;1959-06-01 06:00:00;1959-05;66.0;G
1959-06-01 06:00:01;1959-07-01 06:00:00;1959-06;44.0;G
1959-07-01 06:00:01;1959-08-01 06:00:00;1959-07;35.0;G
1959-08-01 06:00:01;1959-09-01 06:00:00;1959-08;34.0;G
1959-09-01 06:00:01;1959-10-01 06:00:00;1959-09;15.0;G
1959-10-01 06:00:01;1959-11-01 06:00:00;1959-10;55.0;G
1959-11-01 06:00:01;1959-12-01 06:00:00;1959-11;87.0;G
1959-12-01 06:00:01;1960-01-01 06:00:00;1959-12;41.0;G
1960-01-01 06:00:01;1960-02-01 06:00:00;1960-01;32.0;G
1960-02-01 06:00:01;1960-03-01 06:00:00;1960-02;29.0;G
1960-03-01 06:00:01;1960-04-01 06:00:00;1960-03;18.0;G
