Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Aspeå;137220;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1974-08-01 00:00:00;1979-07-31 23:59:59;249.0;63.3989;17.4943
2008-04-01 00:00:00;2018-04-30 23:59:59;249.0;63.4002;17.4947
1979-08-01 00:00:00;2008-02-01 23:59:59;249.0;63.3976;17.4942

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1974-07-01 06:00:01;1974-08-01 06:00:00;1974-07;37.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1974-08-01 06:00:01;1974-09-01 06:00:00;1974-08;17.7;Y;;Tidsperiod (fr.o.m.) = 1974-08-01 00:00:00 (UTC)
1974-09-01 06:00:01;1974-10-01 06:00:00;1974-09;16.2;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1974-10-01 06:00:01;1974-11-01 06:00:00;1974-10;15.2;Y;;Värdet är summerat över = 1 månad
1974-11-01 06:00:01;1974-12-01 06:00:00;1974-11;8.6;Y;;
1974-12-01 06:00:01;1975-01-01 06:00:00;1974-12;9.5;Y;;Kvalitetskoderna:
1975-01-01 06:00:01;1975-02-01 06:00:00;1975-01;66.6;Y;;Grön (G) = Kontrollerade och godkända värden.
1975-02-01 06:00:01;1975-03-01 06:00:00;1975-02;35.1;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1975-03-01 06:00:01;1975-04-01 06:00:00;1975-03;26.3;Y;;
1975-04-01 06:00:01;1975-05-01 06:00:00;1975-04;45.7;Y;;Orsaker till saknade data:
1975-05-01 06:00:01;1975-06-01 06:00:00;1975-05;86.1;Y;;  stationen eller givaren har varit ur funktion.
1975-06-01 06:00:01;1975-07-01 06:00:00;1975-06;57.8;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1975-07-01 06:00:01;1975-08-01 06:00:00;1975-07;36.5;Y
1975-08-01 06:00:01;1975-09-01 06:00:00;1975-08;68.0;Y
1975-09-01 06:00:01;1975-10-01 06:00:00;1975-09;102.9;Y
1975-10-01 06:00:01;1975-11-01 06:00:00;1975-10;42.6;Y
1975-11-01 06:00:01;1975-12-01 06:00:00;1975-11;36.7;Y
1975-12-01 06:00:01;1976-01-01 06:00:00;1975-12;66.1;Y
1976-01-01 06:00:01;1976-02-01 06:00:00;1976-01;61.5;Y
1976-02-01 06:00:01;1976-03-01 06:00:00;1976-02;36.5;Y
1976-03-01 06:00:01;1976-04-01 06:00:00;1976-03;21.1;Y
1976-04-01 06:00:01;1976-05-01 06:00:00;1976-04;23.5;Y
1976-05-01 06:00:01;1976-06-01 06:00:00;1976-05;15.0;Y
1976-06-01 06:00:01;1976-07-01 06:00:00;1976-06;40.0;Y
1976-07-01 06:00:01;1976-08-01 06:00:00;1976-07;92.0;Y
1976-08-01 06:00:01;1976-09-01 06:00:00;1976-08;33.7;Y
1976-09-01 06:00:01;1976-10-01 06:00:00;1976-09;55.1;Y
1976-10-01 06:00:01;1976-11-01 06:00:00;1976-10;25.3;Y
1976-11-01 06:00:01;1976-12-01 06:00:00;1976-11;65.2;Y
1976-12-01 06:00:01;1977-01-01 06:00:00;1976-12;68.7;Y
1977-01-01 06:00:01;1977-02-01 06:00:00;1977-01;68.6;Y
1977-02-01 06:00:01;1977-03-01 06:00:00;1977-02;35.0;Y
1977-03-01 06:00:01;1977-04-01 06:00:00;1977-03;27.0;Y
1977-04-01 06:00:01;1977-05-01 06:00:00;1977-04;66.0;Y
1977-05-01 06:00:01;1977-06-01 06:00:00;1977-05;33.9;Y
1977-06-01 06:00:01;1977-07-01 06:00:00;1977-06;63.4;Y
1977-07-01 06:00:01;1977-08-01 06:00:00;1977-07;104.3;Y
1977-08-01 06:00:01;1977-09-01 06:00:00;1977-08;25.4;Y
1977-09-01 06:00:01;1977-10-01 06:00:00;1977-09;52.1;Y
1977-10-01 06:00:01;1977-11-01 06:00:00;1977-10;40.0;Y
1977-11-01 06:00:01;1977-12-01 06:00:00;1977-11;71.1;Y
1977-12-01 06:00:01;1978-01-01 06:00:00;1977-12;26.8;Y
1978-01-01 06:00:01;1978-02-01 06:00:00;1978-01;40.9;Y
