Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Myckelgensjö;137350;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1988-07-01 00:00:00;2018-04-30 23:59:59;200.0;63.5772;17.5898

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1988-06-01 06:00:01;1988-07-01 06:00:00;1988-06;16.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1988-07-01 06:00:01;1988-08-01 06:00:00;1988-07;67.3;Y;;Tidsperiod (fr.o.m.) = 1988-07-01 00:00:00 (UTC)
1988-08-01 06:00:01;1988-09-01 06:00:00;1988-08;111.2;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1988-09-01 06:00:01;1988-10-01 06:00:00;1988-09;69.2;Y;;Värdet är summerat över = 1 månad
1988-10-01 06:00:01;1988-11-01 06:00:00;1988-10;21.1;Y;;
1988-11-01 06:00:01;1988-12-01 06:00:00;1988-11;16.1;Y;;Kvalitetskoderna:
1988-12-01 06:00:01;1989-01-01 06:00:00;1988-12;43.2;Y;;Grön (G) = Kontrollerade och godkända värden.
1989-01-01 06:00:01;1989-02-01 06:00:00;1989-01;41.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1989-02-01 06:00:01;1989-03-01 06:00:00;1989-02;55.1;Y;;
1989-03-01 06:00:01;1989-04-01 06:00:00;1989-03;66.2;Y;;Orsaker till saknade data:
1989-04-01 06:00:01;1989-05-01 06:00:00;1989-04;83.6;Y;;  stationen eller givaren har varit ur funktion.
1989-05-01 06:00:01;1989-06-01 06:00:00;1989-05;29.8;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1989-06-01 06:00:01;1989-07-01 06:00:00;1989-06;88.8;Y
1989-07-01 06:00:01;1989-08-01 06:00:00;1989-07;39.7;Y
1989-08-01 06:00:01;1989-09-01 06:00:00;1989-08;108.5;Y
1989-09-01 06:00:01;1989-10-01 06:00:00;1989-09;23.8;Y
1989-10-01 06:00:01;1989-11-01 06:00:00;1989-10;11.8;Y
1989-11-01 06:00:01;1989-12-01 06:00:00;1989-11;54.7;Y
1989-12-01 06:00:01;1990-01-01 06:00:00;1989-12;38.0;Y
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;81.6;Y
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;43.2;Y
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;18.0;Y
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;21.8;Y
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;17.2;Y
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;81.2;Y
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;110.8;Y
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;33.4;Y
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;93.0;Y
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;40.0;Y
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;32.4;Y
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;56.8;Y
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;35.7;Y
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;7.9;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;24.2;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;8.0;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;55.3;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;120.6;Y
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;107.8;Y
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;45.8;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;47.4;Y
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;37.5;Y
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;42.3;Y
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;23.7;Y
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;31.9;Y
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;24.5;Y
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;18.1;Y
1992-04-01 06:00:01;1992-05-01 06:00:00;1992-04;55.9;Y
1992-05-01 06:00:01;1992-06-01 06:00:00;1992-05;64.2;Y
1992-06-01 06:00:01;1992-07-01 06:00:00;1992-06;16.8;Y
1992-07-01 06:00:01;1992-08-01 06:00:00;1992-07;108.6;Y
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;169.8;Y
1992-09-01 06:00:01;1992-10-01 06:00:00;1992-09;54.4;Y
1992-10-01 06:00:01;1992-11-01 06:00:00;1992-10;32.0;Y
1992-11-01 06:00:01;1992-12-01 06:00:00;1992-11;96.1;Y
1992-12-01 06:00:01;1993-01-01 06:00:00;1992-12;33.3;Y
1993-01-01 06:00:01;1993-02-01 06:00:00;1993-01;29.4;Y
1993-02-01 06:00:01;1993-03-01 06:00:00;1993-02;15.5;Y
1993-03-01 06:00:01;1993-04-01 06:00:00;1993-03;8.3;Y
1993-04-01 06:00:01;1993-05-01 06:00:00;1993-04;3.8;Y
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;41.3;Y
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;148.7;Y
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;151.7;Y
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;108.9;Y
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;20.8;Y
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;97.9;Y
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;18.8;Y
1993-12-01 06:00:01;1994-01-01 06:00:00;1993-12;79.3;Y
1994-01-01 06:00:01;1994-02-01 06:00:00;1994-01;86.6;Y
1994-02-01 06:00:01;1994-03-01 06:00:00;1994-02;6.5;Y
1994-03-01 06:00:01;1994-04-01 06:00:00;1994-03;28.1;Y
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;18.9;Y
1994-05-01 06:00:01;1994-06-01 06:00:00;1994-05;9.4;Y
1994-06-01 06:00:01;1994-07-01 06:00:00;1994-06;45.9;Y
1994-08-01 06:00:01;1994-09-01 06:00:00;1994-08;17.6;Y
1994-09-01 06:00:01;1994-10-01 06:00:00;1994-09;50.8;Y
1994-10-01 06:00:01;1994-11-01 06:00:00;1994-10;39.4;Y
1994-11-01 06:00:01;1994-12-01 06:00:00;1994-11;31.9;Y
1994-12-01 06:00:01;1995-01-01 06:00:00;1994-12;44.9;Y
1995-01-01 06:00:01;1995-02-01 06:00:00;1995-01;42.6;Y
1995-02-01 06:00:01;1995-03-01 06:00:00;1995-02;29.1;Y
1995-03-01 06:00:01;1995-04-01 06:00:00;1995-03;57.5;Y
1995-04-01 06:00:01;1995-05-01 06:00:00;1995-04;35.8;Y
1995-05-01 06:00:01;1995-06-01 06:00:00;1995-05;45.2;Y
1995-06-01 06:00:01;1995-07-01 06:00:00;1995-06;28.5;Y
1995-07-01 06:00:01;1995-08-01 06:00:00;1995-07;100.2;Y
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;41.0;Y
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;16.4;Y
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;29.3;Y
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;35.6;Y
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;4.5;Y
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;6.0;Y
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;20.6;Y
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;14.3;Y
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;37.8;Y
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;76.8;Y
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;89.7;Y
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;27.7;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;21.6;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;78.5;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;85.2;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;44.1;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;13.8;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;41.5;Y
