Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Bredbyn D;138270;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2006-10-01 00:00:00;2018-05-01 15:00:00;80.0;63.4612;18.0717
1983-05-01 00:00:00;1995-10-01 23:59:59;85.0;63.4608;18.0592
1884-05-01 00:00:00;1983-04-30 23:59:59;75.0;63.4608;18.0592

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1884-04-01 07:00:01;1884-05-01 07:00:00;1884-04;5.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1884-05-01 07:00:01;1884-06-01 07:00:00;1884-05;20.0;G;;Tidsperiod (fr.o.m.) = 1884-05-01 00:00:00 (UTC)
1884-06-01 07:00:01;1884-07-01 07:00:00;1884-06;80.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1884-07-01 07:00:01;1884-08-01 07:00:00;1884-07;53.0;G;;Värdet är summerat över = 1 månad
1884-08-01 07:00:01;1884-09-01 07:00:00;1884-08;4.0;G;;
1884-09-01 07:00:01;1884-10-01 07:00:00;1884-09;55.0;G;;Kvalitetskoderna:
1884-10-01 07:00:01;1884-11-01 07:00:00;1884-10;68.0;G;;Grön (G) = Kontrollerade och godkända värden.
1884-11-01 07:00:01;1884-12-01 07:00:00;1884-11;13.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1884-12-01 07:00:01;1885-01-01 07:00:00;1884-12;25.0;G;;
1885-01-01 07:00:01;1885-02-01 07:00:00;1885-01;15.0;G;;Orsaker till saknade data:
1885-02-01 07:00:01;1885-03-01 07:00:00;1885-02;16.0;G;;  stationen eller givaren har varit ur funktion.
1885-03-01 07:00:01;1885-04-01 07:00:00;1885-03;0.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1885-04-01 07:00:01;1885-05-01 07:00:00;1885-04;51.0;G
1885-05-01 07:00:01;1885-06-01 07:00:00;1885-05;30.0;G
1885-07-01 07:00:01;1885-08-01 07:00:00;1885-07;35.0;G
1885-08-01 07:00:01;1885-09-01 07:00:00;1885-08;70.0;G
1885-09-01 07:00:01;1885-10-01 07:00:00;1885-09;66.0;G
1885-10-01 07:00:01;1885-11-01 07:00:00;1885-10;85.0;G
1885-11-01 07:00:01;1885-12-01 07:00:00;1885-11;23.0;G
1885-12-01 07:00:01;1886-01-01 07:00:00;1885-12;26.0;G
1886-01-01 07:00:01;1886-02-01 07:00:00;1886-01;27.0;G
1886-02-01 07:00:01;1886-03-01 07:00:00;1886-02;25.0;G
1886-03-01 07:00:01;1886-04-01 07:00:00;1886-03;10.0;G
1886-04-01 07:00:01;1886-05-01 07:00:00;1886-04;20.0;G
1886-05-01 07:00:01;1886-06-01 07:00:00;1886-05;101.0;G
1886-06-01 07:00:01;1886-07-01 07:00:00;1886-06;57.0;G
1886-07-01 07:00:01;1886-08-01 07:00:00;1886-07;198.0;G
1886-08-01 07:00:01;1886-09-01 07:00:00;1886-08;25.0;G
1886-09-01 07:00:01;1886-10-01 07:00:00;1886-09;60.0;G
1886-10-01 07:00:01;1886-11-01 07:00:00;1886-10;13.0;G
1886-11-01 07:00:01;1886-12-01 07:00:00;1886-11;43.0;G
1886-12-01 07:00:01;1887-01-01 07:00:00;1886-12;58.0;G
1887-01-01 07:00:01;1887-02-01 07:00:00;1887-01;33.0;G
1887-02-01 07:00:01;1887-03-01 07:00:00;1887-02;4.0;G
1887-03-01 07:00:01;1887-04-01 07:00:00;1887-03;7.0;G
1887-04-01 07:00:01;1887-05-01 07:00:00;1887-04;11.0;G
1887-05-01 07:00:01;1887-06-01 07:00:00;1887-05;29.0;G
1887-06-01 07:00:01;1887-07-01 07:00:00;1887-06;6.0;G
1887-07-01 07:00:01;1887-08-01 07:00:00;1887-07;53.0;G
1887-08-01 07:00:01;1887-09-01 07:00:00;1887-08;111.0;G
1887-09-01 07:00:01;1887-10-01 07:00:00;1887-09;40.0;G
1887-10-01 07:00:01;1887-11-01 07:00:00;1887-10;31.0;G
1887-11-01 07:00:01;1887-12-01 07:00:00;1887-11;36.0;G
1887-12-01 07:00:01;1888-01-01 07:00:00;1887-12;56.0;G
1888-01-01 07:00:01;1888-02-01 07:00:00;1888-01;13.0;G
1888-02-01 07:00:01;1888-03-01 07:00:00;1888-02;12.0;G
1888-03-01 07:00:01;1888-04-01 07:00:00;1888-03;15.0;G
1888-04-01 07:00:01;1888-05-01 07:00:00;1888-04;10.0;G
1888-05-01 07:00:01;1888-06-01 07:00:00;1888-05;38.0;G
1888-06-01 07:00:01;1888-07-01 07:00:00;1888-06;2.0;G
1888-07-01 07:00:01;1888-08-01 07:00:00;1888-07;86.0;G
1888-09-01 07:00:01;1888-10-01 07:00:00;1888-09;24.0;G
1888-10-01 07:00:01;1888-11-01 07:00:00;1888-10;71.0;G
1888-11-01 07:00:01;1888-12-01 07:00:00;1888-11;23.0;G
1888-12-01 07:00:01;1889-01-01 07:00:00;1888-12;48.0;G
1889-01-01 07:00:01;1889-02-01 07:00:00;1889-01;30.0;G
1889-02-01 07:00:01;1889-03-01 07:00:00;1889-02;19.0;G
1889-03-01 07:00:01;1889-04-01 07:00:00;1889-03;29.0;G
1889-04-01 07:00:01;1889-05-01 07:00:00;1889-04;0.0;G
1889-05-01 07:00:01;1889-06-01 07:00:00;1889-05;50.0;G
1889-06-01 07:00:01;1889-07-01 07:00:00;1889-06;10.0;G
1889-07-01 07:00:01;1889-08-01 07:00:00;1889-07;56.0;G
1889-08-01 07:00:01;1889-09-01 07:00:00;1889-08;86.0;G
1889-09-01 07:00:01;1889-10-01 07:00:00;1889-09;63.0;G
1889-10-01 07:00:01;1889-11-01 07:00:00;1889-10;64.0;G
1889-11-01 07:00:01;1889-12-01 07:00:00;1889-11;36.0;G
1889-12-01 07:00:01;1890-01-01 07:00:00;1889-12;20.0;G
1890-01-01 07:00:01;1890-02-01 07:00:00;1890-01;68.0;G
1890-02-01 07:00:01;1890-03-01 07:00:00;1890-02;4.0;G
1890-03-01 07:00:01;1890-04-01 07:00:00;1890-03;23.0;G
1890-04-01 07:00:01;1890-05-01 07:00:00;1890-04;36.0;G
1890-05-01 07:00:01;1890-06-01 07:00:00;1890-05;25.0;G
1890-06-01 07:00:01;1890-07-01 07:00:00;1890-06;39.0;G
1890-07-01 07:00:01;1890-08-01 07:00:00;1890-07;72.0;G
1890-08-01 07:00:01;1890-09-01 07:00:00;1890-08;75.0;G
1890-09-01 07:00:01;1890-10-01 07:00:00;1890-09;29.0;G
1890-10-01 07:00:01;1890-11-01 07:00:00;1890-10;40.0;G
1899-08-01 07:00:01;1899-09-01 07:00:00;1899-08;24.0;G
1899-09-01 07:00:01;1899-10-01 07:00:00;1899-09;105.0;G
1899-10-01 07:00:01;1899-11-01 07:00:00;1899-10;67.0;G
1899-11-01 07:00:01;1899-12-01 07:00:00;1899-11;32.0;G
1899-12-01 07:00:01;1900-01-01 07:00:00;1899-12;33.0;G
1900-01-01 07:00:01;1900-02-01 07:00:00;1900-01;54.0;G
1900-02-01 07:00:01;1900-03-01 07:00:00;1900-02;45.0;G
1900-03-01 07:00:01;1900-04-01 07:00:00;1900-03;14.0;G
1900-04-01 07:00:01;1900-05-01 07:00:00;1900-04;16.0;G
1900-05-01 07:00:01;1900-06-01 07:00:00;1900-05;22.0;G
1900-06-01 07:00:01;1900-07-01 07:00:00;1900-06;24.0;G
1900-07-01 07:00:01;1900-08-01 07:00:00;1900-07;36.0;G
1900-08-01 07:00:01;1900-09-01 07:00:00;1900-08;63.0;G
1900-09-01 07:00:01;1900-10-01 07:00:00;1900-09;27.0;G
1900-10-01 07:00:01;1900-11-01 07:00:00;1900-10;65.0;G
1900-11-01 07:00:01;1900-12-01 07:00:00;1900-11;52.0;G
1900-12-01 07:00:01;1901-01-01 07:00:00;1900-12;26.0;G
1901-01-01 07:00:01;1901-02-01 07:00:00;1901-01;10.0;G
1901-02-01 07:00:01;1901-03-01 07:00:00;1901-02;14.0;G
1901-03-01 07:00:01;1901-04-01 07:00:00;1901-03;9.0;G
1901-04-01 07:00:01;1901-05-01 07:00:00;1901-04;16.0;G
1901-05-01 07:00:01;1901-06-01 07:00:00;1901-05;16.0;G
1901-06-01 07:00:01;1901-07-01 07:00:00;1901-06;68.0;G
1901-07-01 07:00:01;1901-08-01 07:00:00;1901-07;22.0;G
1901-08-01 07:00:01;1901-09-01 07:00:00;1901-08;44.0;G
1901-09-01 07:00:01;1901-10-01 07:00:00;1901-09;23.0;G
1901-10-01 07:00:01;1901-11-01 07:00:00;1901-10;84.0;G
1901-11-01 07:00:01;1901-12-01 07:00:00;1901-11;8.0;G
1901-12-01 07:00:01;1902-01-01 07:00:00;1901-12;42.0;G
1902-01-01 07:00:01;1902-02-01 07:00:00;1902-01;36.0;G
1902-02-01 07:00:01;1902-03-01 07:00:00;1902-02;10.0;G
1902-03-01 07:00:01;1902-04-01 07:00:00;1902-03;17.0;G
1902-04-01 07:00:01;1902-05-01 07:00:00;1902-04;0.0;G
1902-05-01 07:00:01;1902-06-01 07:00:00;1902-05;22.0;G
1902-06-01 07:00:01;1902-07-01 07:00:00;1902-06;15.0;G
1902-07-01 07:00:01;1902-08-01 07:00:00;1902-07;79.0;G
1902-08-01 07:00:01;1902-09-01 07:00:00;1902-08;120.0;G
1902-09-01 07:00:01;1902-10-01 07:00:00;1902-09;59.0;G
1902-10-01 07:00:01;1902-11-01 07:00:00;1902-10;6.0;G
1902-11-01 07:00:01;1902-12-01 07:00:00;1902-11;15.0;G
1902-12-01 07:00:01;1903-01-01 07:00:00;1902-12;6.0;G
1903-01-01 07:00:01;1903-02-01 07:00:00;1903-01;32.0;G
1903-02-01 07:00:01;1903-03-01 07:00:00;1903-02;12.0;G
1903-03-01 07:00:01;1903-04-01 07:00:00;1903-03;36.0;G
1903-04-01 07:00:01;1903-05-01 07:00:00;1903-04;36.0;G
1903-05-01 07:00:01;1903-06-01 07:00:00;1903-05;15.0;G
1903-06-01 07:00:01;1903-07-01 07:00:00;1903-06;14.0;G
1903-07-01 07:00:01;1903-08-01 07:00:00;1903-07;64.0;G
1903-08-01 07:00:01;1903-09-01 07:00:00;1903-08;96.0;G
1903-09-01 07:00:01;1903-10-01 07:00:00;1903-09;31.0;G
1903-10-01 07:00:01;1903-11-01 07:00:00;1903-10;40.0;G
1903-11-01 07:00:01;1903-12-01 07:00:00;1903-11;20.0;G
1903-12-01 07:00:01;1904-01-01 07:00:00;1903-12;21.0;G
1904-01-01 07:00:01;1904-02-01 07:00:00;1904-01;10.0;G
1904-02-01 07:00:01;1904-03-01 07:00:00;1904-02;18.0;G
1904-03-01 07:00:01;1904-04-01 07:00:00;1904-03;18.0;G
1904-04-01 07:00:01;1904-05-01 07:00:00;1904-04;48.0;G
1904-05-01 07:00:01;1904-06-01 07:00:00;1904-05;29.0;G
1904-06-01 07:00:01;1904-07-01 07:00:00;1904-06;51.0;G
1904-07-01 07:00:01;1904-08-01 07:00:00;1904-07;35.0;G
1904-08-01 07:00:01;1904-09-01 07:00:00;1904-08;121.0;G
1904-09-01 07:00:01;1904-10-01 07:00:00;1904-09;17.0;G
1904-10-01 07:00:01;1904-11-01 07:00:00;1904-10;48.0;G
1904-11-01 07:00:01;1904-12-01 07:00:00;1904-11;19.0;G
1904-12-01 07:00:01;1905-01-01 07:00:00;1904-12;9.0;G
1905-01-01 07:00:01;1905-02-01 07:00:00;1905-01;45.0;G
1905-02-01 07:00:01;1905-03-01 07:00:00;1905-02;6.0;G
1905-03-01 07:00:01;1905-04-01 07:00:00;1905-03;28.0;G
1905-04-01 07:00:01;1905-05-01 07:00:00;1905-04;29.0;G
1905-05-01 07:00:01;1905-06-01 07:00:00;1905-05;24.0;G
1905-06-01 07:00:01;1905-07-01 07:00:00;1905-06;22.0;G
1905-07-01 07:00:01;1905-08-01 07:00:00;1905-07;49.0;G
1905-08-01 07:00:01;1905-09-01 07:00:00;1905-08;89.0;G
1905-09-01 07:00:01;1905-10-01 07:00:00;1905-09;37.0;G
1905-10-01 07:00:01;1905-11-01 07:00:00;1905-10;30.0;G
1905-11-01 07:00:01;1905-12-01 07:00:00;1905-11;35.0;G
1905-12-01 07:00:01;1906-01-01 07:00:00;1905-12;12.0;G
1906-01-01 07:00:01;1906-02-01 07:00:00;1906-01;35.0;G
1906-02-01 07:00:01;1906-03-01 07:00:00;1906-02;29.0;G
1906-03-01 07:00:01;1906-04-01 07:00:00;1906-03;41.0;G
1906-04-01 07:00:01;1906-05-01 07:00:00;1906-04;18.0;G
1906-05-01 07:00:01;1906-06-01 07:00:00;1906-05;71.0;G
1906-06-01 07:00:01;1906-07-01 07:00:00;1906-06;15.0;G
1906-07-01 07:00:01;1906-08-01 07:00:00;1906-07;35.0;G
1906-08-01 07:00:01;1906-09-01 07:00:00;1906-08;44.0;G
1906-09-01 07:00:01;1906-10-01 07:00:00;1906-09;10.0;G
