Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Södersel D;138450;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1974-08-01 00:00:00;2018-05-01 15:00:00;385.0;63.747;18.1689

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1974-07-01 06:00:01;1974-08-01 06:00:00;1974-07;208.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1974-08-01 06:00:01;1974-09-01 06:00:00;1974-08;72.7;Y;;Tidsperiod (fr.o.m.) = 1974-08-01 00:00:00 (UTC)
1974-09-01 06:00:01;1974-10-01 06:00:00;1974-09;94.6;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1974-10-01 06:00:01;1974-11-01 06:00:00;1974-10;74.2;Y;;Värdet är summerat över = 1 månad
1974-11-01 06:00:01;1974-12-01 06:00:00;1974-11;82.7;Y;;
1974-12-01 06:00:01;1975-01-01 06:00:00;1974-12;51.7;Y;;Kvalitetskoderna:
1975-01-01 06:00:01;1975-02-01 06:00:00;1975-01;71.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1975-02-01 06:00:01;1975-03-01 06:00:00;1975-02;23.1;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1975-03-01 06:00:01;1975-04-01 06:00:00;1975-03;11.6;Y;;
1975-04-01 06:00:01;1975-05-01 06:00:00;1975-04;16.5;Y;;Orsaker till saknade data:
1975-05-01 06:00:01;1975-06-01 06:00:00;1975-05;36.0;Y;;  stationen eller givaren har varit ur funktion.
1975-06-01 06:00:01;1975-07-01 06:00:00;1975-06;54.5;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1975-07-01 06:00:01;1975-08-01 06:00:00;1975-07;35.6;Y
1975-08-01 06:00:01;1975-09-01 06:00:00;1975-08;36.6;Y
1975-09-01 06:00:01;1975-10-01 06:00:00;1975-09;92.2;Y
1975-10-01 06:00:01;1975-11-01 06:00:00;1975-10;34.7;Y
1975-11-01 06:00:01;1975-12-01 06:00:00;1975-11;44.3;Y
1975-12-01 06:00:01;1976-01-01 06:00:00;1975-12;55.0;Y
