Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Skagsudde A;139120;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-12-01 00:00:00;2018-05-01 15:00:00;11.0;63.1886;19.0202

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;16.5;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;8.8;Y;;Tidsperiod (fr.o.m.) = 1995-12-01 00:00:00 (UTC)
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;3.7;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;6.3;Y;;Värdet är summerat över = 1 månad
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;15.4;Y;;
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;7.9;Y;;Kvalitetskoderna:
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;44.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;62.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;67.5;Y;;
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;11.0;Y;;Orsaker till saknade data:
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;17.5;Y;;  stationen eller givaren har varit ur funktion.
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;41.7;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;89.7;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;30.4;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;10.6;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;20.4;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;13.0;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;24.2;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;13.9;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;32.3;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;136.7;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;50.7;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;30.8;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;29.4;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;92.5;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;21.3;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;55.4;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;34.6;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;22.5;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;26.8;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;41.4;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;49.0;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;72.7;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;74.1;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;25.0;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;73.9;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;20.7;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;26.3;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;25.8;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;33.7;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;24.6;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;41.6;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;8.7;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;49.7;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;35.4;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;36.8;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;40.2;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;56.9;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;30.8;Y
