Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Kasa D;139200;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1910-08-01 00:00:00;2015-12-01 23:59:59;30.0;63.3266;19.0532

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1910-07-01 07:00:01;1910-08-01 07:00:00;1910-07;64.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1910-08-01 07:00:01;1910-09-01 07:00:00;1910-08;14.0;G;;Tidsperiod (fr.o.m.) = 1910-08-01 00:00:00 (UTC)
1910-09-01 07:00:01;1910-10-01 07:00:00;1910-09;54.0;G;;Tidsperiod (t.o.m.) = 2015-12-01 23:59:59 (UTC)
1910-10-01 07:00:01;1910-11-01 07:00:00;1910-10;35.0;G;;Värdet är summerat över = 1 månad
1910-11-01 07:00:01;1910-12-01 07:00:00;1910-11;62.0;G;;
1910-12-01 07:00:01;1911-01-01 07:00:00;1910-12;57.0;G;;Kvalitetskoderna:
1911-01-01 07:00:01;1911-02-01 07:00:00;1911-01;9.0;G;;Grön (G) = Kontrollerade och godkända värden.
1911-02-01 07:00:01;1911-03-01 07:00:00;1911-02;16.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1911-03-01 07:00:01;1911-04-01 07:00:00;1911-03;6.0;G;;
1911-04-01 07:00:01;1911-05-01 07:00:00;1911-04;44.0;G;;Orsaker till saknade data:
1911-05-01 07:00:01;1911-06-01 07:00:00;1911-05;8.0;G;;  stationen eller givaren har varit ur funktion.
1911-06-01 07:00:01;1911-07-01 07:00:00;1911-06;46.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1911-07-01 07:00:01;1911-08-01 07:00:00;1911-07;30.0;G
1911-08-01 07:00:01;1911-09-01 07:00:00;1911-08;30.0;G
1911-09-01 07:00:01;1911-10-01 07:00:00;1911-09;52.0;G
1911-10-01 07:00:01;1911-11-01 07:00:00;1911-10;73.0;G
1911-11-01 07:00:01;1911-12-01 07:00:00;1911-11;36.0;G
1911-12-01 07:00:01;1912-01-01 07:00:00;1911-12;27.0;G
1912-01-01 07:00:01;1912-02-01 07:00:00;1912-01;20.0;G
1912-02-01 07:00:01;1912-03-01 07:00:00;1912-02;8.0;G
1912-03-01 07:00:01;1912-04-01 07:00:00;1912-03;42.0;G
1912-04-01 07:00:01;1912-05-01 07:00:00;1912-04;2.0;G
1912-05-01 07:00:01;1912-06-01 07:00:00;1912-05;69.0;G
1912-06-01 07:00:01;1912-07-01 07:00:00;1912-06;67.0;G
1912-07-01 07:00:01;1912-08-01 07:00:00;1912-07;1.0;G
1912-08-01 07:00:01;1912-09-01 07:00:00;1912-08;72.0;G
1912-09-01 07:00:01;1912-10-01 07:00:00;1912-09;37.0;G
