Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Järnäsklubb A;139260;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-01-01 00:00:00;2018-05-01 15:00:00;6.0;63.4359;19.6768

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;5.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;11.7;Y;;Tidsperiod (fr.o.m.) = 1996-01-01 00:00:00 (UTC)
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;14.9;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;10.9;Y;;Värdet är summerat över = 1 månad
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;47.8;Y;;
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;63.4;Y;;Kvalitetskoderna:
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;81.2;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;18.4;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;29.1;Y;;
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;51.3;Y;;Orsaker till saknade data:
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;109.5;Y;;  stationen eller givaren har varit ur funktion.
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;50.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;11.6;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;37.1;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;26.6;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;37.2;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;12.8;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;23.4;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;69.9;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;25.0;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;46.9;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;35.5;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;85.9;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;18.7;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;66.4;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;50.9;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;38.0;Y
