Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Torrböle D;139420;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1976-01-01 00:00:00;2018-03-31 23:59:59;75.0;63.7076;19.5932

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1975-12-01 06:00:01;1976-01-01 06:00:00;1975-12;40.5;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1976-01-01 06:00:01;1976-02-01 06:00:00;1976-01;39.2;Y;;Tidsperiod (fr.o.m.) = 1976-01-01 00:00:00 (UTC)
1976-02-01 06:00:01;1976-03-01 06:00:00;1976-02;46.5;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1976-03-01 06:00:01;1976-04-01 06:00:00;1976-03;33.3;Y;;Värdet är summerat över = 1 månad
1976-04-01 06:00:01;1976-05-01 06:00:00;1976-04;24.9;Y;;
1976-05-01 06:00:01;1976-06-01 06:00:00;1976-05;20.2;Y;;Kvalitetskoderna:
1976-06-01 06:00:01;1976-07-01 06:00:00;1976-06;32.3;Y;;Grön (G) = Kontrollerade och godkända värden.
1976-07-01 06:00:01;1976-08-01 06:00:00;1976-07;51.8;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1976-08-01 06:00:01;1976-09-01 06:00:00;1976-08;10.8;Y;;
1976-09-01 06:00:01;1976-10-01 06:00:00;1976-09;72.8;Y;;Orsaker till saknade data:
1976-10-01 06:00:01;1976-11-01 06:00:00;1976-10;26.5;Y;;  stationen eller givaren har varit ur funktion.
1976-11-01 06:00:01;1976-12-01 06:00:00;1976-11;82.7;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1976-12-01 06:00:01;1977-01-01 06:00:00;1976-12;79.0;Y
1977-01-01 06:00:01;1977-02-01 06:00:00;1977-01;103.1;Y
1977-02-01 06:00:01;1977-03-01 06:00:00;1977-02;51.2;Y
1977-03-01 06:00:01;1977-04-01 06:00:00;1977-03;41.2;Y
1977-04-01 06:00:01;1977-05-01 06:00:00;1977-04;81.5;Y
1977-05-01 06:00:01;1977-06-01 06:00:00;1977-05;63.1;Y
1977-06-01 06:00:01;1977-07-01 06:00:00;1977-06;76.4;Y
1977-07-01 06:00:01;1977-08-01 06:00:00;1977-07;88.6;Y
1977-08-01 06:00:01;1977-09-01 06:00:00;1977-08;48.0;Y
1977-09-01 06:00:01;1977-10-01 06:00:00;1977-09;43.6;Y
1977-10-01 06:00:01;1977-11-01 06:00:00;1977-10;40.0;Y
1977-11-01 06:00:01;1977-12-01 06:00:00;1977-11;103.9;Y
1977-12-01 06:00:01;1978-01-01 06:00:00;1977-12;30.7;Y
1978-01-01 06:00:01;1978-02-01 06:00:00;1978-01;65.5;Y
1978-02-01 06:00:01;1978-03-01 06:00:00;1978-02;20.6;Y
1978-03-01 06:00:01;1978-04-01 06:00:00;1978-03;67.7;Y
1978-04-01 06:00:01;1978-05-01 06:00:00;1978-04;17.9;Y
1978-05-01 06:00:01;1978-06-01 06:00:00;1978-05;7.6;Y
1978-06-01 06:00:01;1978-07-01 06:00:00;1978-06;55.1;Y
1978-07-01 06:00:01;1978-08-01 06:00:00;1978-07;34.0;Y
1978-08-01 06:00:01;1978-09-01 06:00:00;1978-08;59.6;Y
1978-09-01 06:00:01;1978-10-01 06:00:00;1978-09;101.3;Y
1978-10-01 06:00:01;1978-11-01 06:00:00;1978-10;50.9;Y
1978-11-01 06:00:01;1978-12-01 06:00:00;1978-11;57.4;Y
1978-12-01 06:00:01;1979-01-01 06:00:00;1978-12;18.2;Y
1979-01-01 06:00:01;1979-02-01 06:00:00;1979-01;23.9;Y
1979-02-01 06:00:01;1979-03-01 06:00:00;1979-02;22.5;Y
1979-03-01 06:00:01;1979-04-01 06:00:00;1979-03;76.1;Y
1979-04-01 06:00:01;1979-05-01 06:00:00;1979-04;48.2;Y
1979-05-01 06:00:01;1979-06-01 06:00:00;1979-05;51.5;Y
1979-06-01 06:00:01;1979-07-01 06:00:00;1979-06;29.1;Y
1979-07-01 06:00:01;1979-08-01 06:00:00;1979-07;138.6;Y
1979-08-01 06:00:01;1979-09-01 06:00:00;1979-08;120.1;Y
1979-09-01 06:00:01;1979-10-01 06:00:00;1979-09;60.9;Y
1979-10-01 06:00:01;1979-11-01 06:00:00;1979-10;56.5;Y
1979-11-01 06:00:01;1979-12-01 06:00:00;1979-11;127.6;Y
1979-12-01 06:00:01;1980-01-01 06:00:00;1979-12;96.1;Y
1980-01-01 06:00:01;1980-02-01 06:00:00;1980-01;15.9;Y
1980-02-01 06:00:01;1980-03-01 06:00:00;1980-02;13.3;Y
1980-03-01 06:00:01;1980-04-01 06:00:00;1980-03;28.8;Y
1980-04-01 06:00:01;1980-05-01 06:00:00;1980-04;30.2;Y
1980-05-01 06:00:01;1980-06-01 06:00:00;1980-05;16.3;Y
1980-06-01 06:00:01;1980-07-01 06:00:00;1980-06;66.4;Y
1980-07-01 06:00:01;1980-08-01 06:00:00;1980-07;81.3;Y
1980-08-01 06:00:01;1980-09-01 06:00:00;1980-08;109.8;Y
1980-09-01 06:00:01;1980-10-01 06:00:00;1980-09;76.3;Y
1980-10-01 06:00:01;1980-11-01 06:00:00;1980-10;157.7;Y
1980-11-01 06:00:01;1980-12-01 06:00:00;1980-11;46.5;Y
1980-12-01 06:00:01;1981-01-01 06:00:00;1980-12;58.8;Y
1981-01-01 06:00:01;1981-02-01 06:00:00;1981-01;64.2;Y
1981-02-01 06:00:01;1981-03-01 06:00:00;1981-02;35.7;Y
1981-03-01 06:00:01;1981-04-01 06:00:00;1981-03;51.0;Y
1981-04-01 06:00:01;1981-05-01 06:00:00;1981-04;7.6;Y
1981-05-01 06:00:01;1981-06-01 06:00:00;1981-05;9.4;Y
1981-06-01 06:00:01;1981-07-01 06:00:00;1981-06;64.3;Y
1981-07-01 06:00:01;1981-08-01 06:00:00;1981-07;131.9;Y
1981-08-01 06:00:01;1981-09-01 06:00:00;1981-08;39.7;Y
1981-09-01 06:00:01;1981-10-01 06:00:00;1981-09;43.6;Y
1981-10-01 06:00:01;1981-11-01 06:00:00;1981-10;142.2;Y
1981-11-01 06:00:01;1981-12-01 06:00:00;1981-11;122.9;Y
1981-12-01 06:00:01;1982-01-01 06:00:00;1981-12;64.8;Y
1982-01-01 06:00:01;1982-02-01 06:00:00;1982-01;20.0;Y
1982-02-01 06:00:01;1982-03-01 06:00:00;1982-02;20.9;Y
1982-03-01 06:00:01;1982-04-01 06:00:00;1982-03;43.4;Y
1982-04-01 06:00:01;1982-05-01 06:00:00;1982-04;14.7;Y
1982-05-01 06:00:01;1982-06-01 06:00:00;1982-05;55.7;Y
1982-06-01 06:00:01;1982-07-01 06:00:00;1982-06;29.3;Y
1982-07-01 06:00:01;1982-08-01 06:00:00;1982-07;31.8;Y
1982-08-01 06:00:01;1982-09-01 06:00:00;1982-08;71.1;Y
1982-09-01 06:00:01;1982-10-01 06:00:00;1982-09;103.8;Y
1982-10-01 06:00:01;1982-11-01 06:00:00;1982-10;46.7;Y
1982-11-01 06:00:01;1982-12-01 06:00:00;1982-11;97.2;Y
1982-12-01 06:00:01;1983-01-01 06:00:00;1982-12;73.0;Y
1983-01-01 06:00:01;1983-02-01 06:00:00;1983-01;65.3;Y
1983-02-01 06:00:01;1983-03-01 06:00:00;1983-02;6.1;Y
1983-03-01 06:00:01;1983-04-01 06:00:00;1983-03;51.4;Y
1983-04-01 06:00:01;1983-05-01 06:00:00;1983-04;24.3;Y
1983-05-01 06:00:01;1983-06-01 06:00:00;1983-05;51.4;Y
1983-06-01 06:00:01;1983-07-01 06:00:00;1983-06;27.3;Y
1983-07-01 06:00:01;1983-08-01 06:00:00;1983-07;45.5;Y
1983-08-01 06:00:01;1983-09-01 06:00:00;1983-08;18.1;Y
1983-09-01 06:00:01;1983-10-01 06:00:00;1983-09;153.5;Y
1983-10-01 06:00:01;1983-11-01 06:00:00;1983-10;109.3;Y
1983-11-01 06:00:01;1983-12-01 06:00:00;1983-11;27.1;Y
1983-12-01 06:00:01;1984-01-01 06:00:00;1983-12;48.7;Y
1984-01-01 06:00:01;1984-02-01 06:00:00;1984-01;71.8;Y
1984-02-01 06:00:01;1984-03-01 06:00:00;1984-02;50.9;Y
1984-03-01 06:00:01;1984-04-01 06:00:00;1984-03;14.3;Y
1984-04-01 06:00:01;1984-05-01 06:00:00;1984-04;7.3;Y
1984-05-01 06:00:01;1984-06-01 06:00:00;1984-05;40.2;Y
