Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Balsjö D;139570;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1945-02-01 00:00:00;1948-07-01 23:59:59;195.0;63.925;19.0611
2007-01-01 00:00:00;2018-05-01 15:00:00;200.0;63.9206;19.0703

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1945-01-01 07:00:01;1945-02-01 07:00:00;1945-01;65.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1945-02-01 07:00:01;1945-03-01 07:00:00;1945-02;53.5;Y;;Tidsperiod (fr.o.m.) = 1945-02-01 00:00:00 (UTC)
1945-03-01 07:00:01;1945-04-01 07:00:00;1945-03;20.5;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1945-04-01 07:00:01;1945-05-01 07:00:00;1945-04;27.6;Y;;Värdet är summerat över = 1 månad
1945-05-01 07:00:01;1945-06-01 07:00:00;1945-05;21.0;Y;;
1945-06-01 07:00:01;1945-07-01 07:00:00;1945-06;83.0;Y;;Kvalitetskoderna:
1945-07-01 07:00:01;1945-08-01 07:00:00;1945-07;141.3;Y;;Grön (G) = Kontrollerade och godkända värden.
1945-08-01 07:00:01;1945-09-01 07:00:00;1945-08;100.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1945-09-01 07:00:01;1945-10-01 07:00:00;1945-09;28.6;Y;;
1945-10-01 07:00:01;1945-11-01 07:00:00;1945-10;23.3;Y;;Orsaker till saknade data:
1945-11-01 07:00:01;1945-12-01 07:00:00;1945-11;21.0;Y;;  stationen eller givaren har varit ur funktion.
1945-12-01 07:00:01;1946-01-01 07:00:00;1945-12;27.5;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1946-01-01 07:00:01;1946-02-01 07:00:00;1946-01;17.2;Y
1946-02-01 07:00:01;1946-03-01 07:00:00;1946-02;29.6;Y
1946-03-01 07:00:01;1946-04-01 07:00:00;1946-03;24.5;Y
1946-04-01 07:00:01;1946-05-01 07:00:00;1946-04;17.0;Y
1946-05-01 07:00:01;1946-06-01 07:00:00;1946-05;9.1;Y
1946-06-01 07:00:01;1946-07-01 07:00:00;1946-06;58.1;Y
1946-07-01 07:00:01;1946-08-01 07:00:00;1946-07;32.7;Y
1946-08-01 07:00:01;1946-09-01 07:00:00;1946-08;75.7;Y
1946-09-01 07:00:01;1946-10-01 07:00:00;1946-09;72.8;Y
1946-10-01 07:00:01;1946-11-01 07:00:00;1946-10;17.0;Y
1946-11-01 07:00:01;1946-12-01 07:00:00;1946-11;39.5;Y
1946-12-01 07:00:01;1947-01-01 07:00:00;1946-12;44.8;Y
1947-01-01 06:00:01;1947-02-01 06:00:00;1947-01;31.0;Y
1947-02-01 06:00:01;1947-03-01 06:00:00;1947-02;6.5;Y
1947-03-01 06:00:01;1947-04-01 06:00:00;1947-03;7.5;Y
1947-04-01 06:00:01;1947-05-01 06:00:00;1947-04;29.8;Y
1947-05-01 06:00:01;1947-06-01 06:00:00;1947-05;15.0;Y
1947-06-01 06:00:01;1947-07-01 06:00:00;1947-06;86.5;Y
1947-07-01 06:00:01;1947-08-01 06:00:00;1947-07;44.0;Y
1947-08-01 06:00:01;1947-09-01 06:00:00;1947-08;6.5;Y
1947-09-01 06:00:01;1947-10-01 06:00:00;1947-09;131.8;Y
1947-10-01 06:00:01;1947-11-01 06:00:00;1947-10;24.2;Y
1947-11-01 06:00:01;1947-12-01 06:00:00;1947-11;24.5;Y
1947-12-01 06:00:01;1948-01-01 06:00:00;1947-12;59.1;Y
1948-01-01 06:00:01;1948-02-01 06:00:00;1948-01;58.0;Y
1948-02-01 06:00:01;1948-03-01 06:00:00;1948-02;0.0;Y
1948-03-01 06:00:01;1948-04-01 06:00:00;1948-03;9.5;Y
1948-04-01 06:00:01;1948-05-01 06:00:00;1948-04;11.0;Y
1948-05-01 06:00:01;1948-06-01 06:00:00;1948-05;62.0;Y
