Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Frostviken D;144220;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2008-07-01 00:00:00;2018-04-30 23:59:59;330.0;64.3866;14.3169

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;48.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;28.1;Y;;Tidsperiod (fr.o.m.) = 2008-07-01 00:00:00 (UTC)
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;91.0;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;29.3;Y;;Värdet är summerat över = 1 månad
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;46.7;Y;;
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;59.0;Y;;Kvalitetskoderna:
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;45.3;Y;;Grön (G) = Kontrollerade och godkända värden.
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;40.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;53.1;Y;;
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;24.2;Y;;Orsaker till saknade data:
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;32.0;Y;;  stationen eller givaren har varit ur funktion.
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;52.8;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;59.0;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;110.0;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;40.1;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;85.8;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;26.0;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;56.1;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;30.2;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;21.7;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;39.1;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;57.0;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;31.1;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;107.4;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;75.2;Y
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;152.0;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;19.8;Y
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;37.4;Y
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;20.2;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;24.2;Y
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;33.9;Y
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;50.5;Y
2011-02-01 06:00:01;2011-03-01 06:00:00;2011-02;28.9;Y
2011-03-01 06:00:01;2011-04-01 06:00:00;2011-03;86.2;Y
2011-04-01 06:00:01;2011-05-01 06:00:00;2011-04;22.8;Y
2011-05-01 06:00:01;2011-06-01 06:00:00;2011-05;65.8;Y
2011-06-01 06:00:01;2011-07-01 06:00:00;2011-06;46.0;Y
2011-07-01 06:00:01;2011-08-01 06:00:00;2011-07;55.0;Y
2011-08-01 06:00:01;2011-09-01 06:00:00;2011-08;162.9;Y
2011-09-01 06:00:01;2011-10-01 06:00:00;2011-09;125.3;Y
2011-10-01 06:00:01;2011-11-01 06:00:00;2011-10;31.4;Y
2011-11-01 06:00:01;2011-12-01 06:00:00;2011-11;49.8;Y
2011-12-01 06:00:01;2012-01-01 06:00:00;2011-12;139.4;Y
2012-01-01 06:00:01;2012-02-01 06:00:00;2012-01;76.7;Y
2012-02-01 06:00:01;2012-03-01 06:00:00;2012-02;33.1;Y
2012-03-01 06:00:01;2012-04-01 06:00:00;2012-03;64.1;Y
2012-04-01 06:00:01;2012-05-01 06:00:00;2012-04;33.2;Y
2012-05-01 06:00:01;2012-06-01 06:00:00;2012-05;31.2;Y
2012-06-01 06:00:01;2012-07-01 06:00:00;2012-06;43.1;Y
2012-07-01 06:00:01;2012-08-01 06:00:00;2012-07;62.8;Y
2012-08-01 06:00:01;2012-09-01 06:00:00;2012-08;33.4;Y
2012-09-01 06:00:01;2012-10-01 06:00:00;2012-09;52.6;Y
2012-10-01 06:00:01;2012-11-01 06:00:00;2012-10;67.9;Y
2012-11-01 06:00:01;2012-12-01 06:00:00;2012-11;46.0;Y
2012-12-01 06:00:01;2013-01-01 06:00:00;2012-12;40.1;Y
2013-01-01 06:00:01;2013-02-01 06:00:00;2013-01;29.8;Y
2013-02-01 06:00:01;2013-03-01 06:00:00;2013-02;23.4;Y
2013-03-01 06:00:01;2013-04-01 06:00:00;2013-03;32.5;Y
2013-04-01 06:00:01;2013-05-01 06:00:00;2013-04;10.9;Y
2013-05-01 06:00:01;2013-06-01 06:00:00;2013-05;40.7;Y
2013-06-01 06:00:01;2013-07-01 06:00:00;2013-06;66.2;Y
2013-07-01 06:00:01;2013-08-01 06:00:00;2013-07;73.1;Y
2013-08-01 06:00:01;2013-09-01 06:00:00;2013-08;73.3;Y
2013-09-01 06:00:01;2013-10-01 06:00:00;2013-09;162.6;Y
2013-10-01 06:00:01;2013-11-01 06:00:00;2013-10;46.4;Y
2013-11-01 06:00:01;2013-12-01 06:00:00;2013-11;84.8;Y
2013-12-01 06:00:01;2014-01-01 06:00:00;2013-12;64.8;Y
2014-01-01 06:00:01;2014-02-01 06:00:00;2014-01;30.2;Y
2014-02-01 06:00:01;2014-03-01 06:00:00;2014-02;39.7;Y
2014-03-01 06:00:01;2014-04-01 06:00:00;2014-03;63.1;Y
2014-04-01 06:00:01;2014-05-01 06:00:00;2014-04;8.2;Y
2014-05-01 06:00:01;2014-06-01 06:00:00;2014-05;58.0;Y
2014-06-01 06:00:01;2014-07-01 06:00:00;2014-06;39.0;Y
2014-07-01 06:00:01;2014-08-01 06:00:00;2014-07;38.1;Y
2014-08-01 06:00:01;2014-09-01 06:00:00;2014-08;70.6;Y
2014-09-01 06:00:01;2014-10-01 06:00:00;2014-09;47.6;Y
2014-10-01 06:00:01;2014-11-01 06:00:00;2014-10;77.2;Y
2014-11-01 06:00:01;2014-12-01 06:00:00;2014-11;25.1;Y
2014-12-01 06:00:01;2015-01-01 06:00:00;2014-12;92.0;Y
2015-01-01 06:00:01;2015-02-01 06:00:00;2015-01;55.4;Y
2015-02-01 06:00:01;2015-03-01 06:00:00;2015-02;61.1;Y
2015-03-01 06:00:01;2015-04-01 06:00:00;2015-03;47.2;Y
2015-04-01 06:00:01;2015-05-01 06:00:00;2015-04;77.3;Y
2015-05-01 06:00:01;2015-06-01 06:00:00;2015-05;62.3;Y
2015-06-01 06:00:01;2015-07-01 06:00:00;2015-06;48.8;Y
2015-07-01 06:00:01;2015-08-01 06:00:00;2015-07;147.9;Y
2015-08-01 06:00:01;2015-09-01 06:00:00;2015-08;37.7;Y
2015-09-01 06:00:01;2015-10-01 06:00:00;2015-09;54.5;Y
2015-10-01 06:00:01;2015-11-01 06:00:00;2015-10;66.2;Y
2015-11-01 06:00:01;2015-12-01 06:00:00;2015-11;50.9;Y
2015-12-01 06:00:01;2016-01-01 06:00:00;2015-12;36.8;Y
2016-01-01 06:00:01;2016-02-01 06:00:00;2016-01;33.9;Y
2016-02-01 06:00:01;2016-03-01 06:00:00;2016-02;26.0;Y
2016-03-01 06:00:01;2016-04-01 06:00:00;2016-03;38.6;Y
2016-04-01 06:00:01;2016-05-01 06:00:00;2016-04;55.1;Y
2016-05-01 06:00:01;2016-06-01 06:00:00;2016-05;14.4;Y
2016-06-01 06:00:01;2016-07-01 06:00:00;2016-06;34.8;Y
2016-07-01 06:00:01;2016-08-01 06:00:00;2016-07;116.6;Y
2016-08-01 06:00:01;2016-09-01 06:00:00;2016-08;105.6;Y
2016-09-01 06:00:01;2016-10-01 06:00:00;2016-09;54.7;Y
2016-10-01 06:00:01;2016-11-01 06:00:00;2016-10;12.8;Y
2016-11-01 06:00:01;2016-12-01 06:00:00;2016-11;77.2;Y
2016-12-01 06:00:01;2017-01-01 06:00:00;2016-12;77.2;Y
2017-01-01 06:00:01;2017-02-01 06:00:00;2017-01;42.7;Y
2017-02-01 06:00:01;2017-03-01 06:00:00;2017-02;47.2;Y
2017-03-01 06:00:01;2017-04-01 06:00:00;2017-03;37.3;Y
2017-04-01 06:00:01;2017-05-01 06:00:00;2017-04;44.3;Y
2017-05-01 06:00:01;2017-06-01 06:00:00;2017-05;23.2;Y
