Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Håkafot D;144230;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2007-11-01 00:00:00;2018-04-30 23:59:59;310.0;64.3914;14.3913
2004-12-01 00:00:00;2007-10-31 23:59:59;320.0;64.3943;14.3683

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2004-11-01 06:00:01;2004-12-01 06:00:00;2004-11;54.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2004-12-01 06:00:01;2005-01-01 06:00:00;2004-12;43.9;Y;;Tidsperiod (fr.o.m.) = 2004-12-01 00:00:00 (UTC)
2005-01-01 06:00:01;2005-02-01 06:00:00;2005-01;66.1;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2005-02-01 06:00:01;2005-03-01 06:00:00;2005-02;17.4;Y;;Värdet är summerat över = 1 månad
2005-03-01 06:00:01;2005-04-01 06:00:00;2005-03;22.9;Y;;
2005-04-01 06:00:01;2005-05-01 06:00:00;2005-04;16.5;Y;;Kvalitetskoderna:
2005-05-01 06:00:01;2005-06-01 06:00:00;2005-05;45.8;Y;;Grön (G) = Kontrollerade och godkända värden.
2005-06-01 06:00:01;2005-07-01 06:00:00;2005-06;72.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2005-07-01 06:00:01;2005-08-01 06:00:00;2005-07;56.0;Y;;
2005-08-01 06:00:01;2005-09-01 06:00:00;2005-08;119.4;Y;;Orsaker till saknade data:
2005-09-01 06:00:01;2005-10-01 06:00:00;2005-09;38.5;Y;;  stationen eller givaren har varit ur funktion.
