Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Leipikvattnet;144560;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1914-02-01 00:00:00;2018-05-01 15:00:00;475.0;64.9298;14.1592

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1914-01-01 07:00:01;1914-02-01 07:00:00;1914-01;198.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1914-02-01 07:00:01;1914-03-01 07:00:00;1914-02;152.0;G;;Tidsperiod (fr.o.m.) = 1914-02-01 00:00:00 (UTC)
1914-03-01 07:00:01;1914-04-01 07:00:00;1914-03;40.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1914-04-01 07:00:01;1914-05-01 07:00:00;1914-04;126.0;G;;Värdet är summerat över = 1 månad
1914-05-01 07:00:01;1914-06-01 07:00:00;1914-05;71.0;G;;
1914-06-01 07:00:01;1914-07-01 07:00:00;1914-06;37.0;G;;Kvalitetskoderna:
1914-07-01 07:00:01;1914-08-01 07:00:00;1914-07;100.0;G;;Grön (G) = Kontrollerade och godkända värden.
1914-08-01 07:00:01;1914-09-01 07:00:00;1914-08;91.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1914-09-01 07:00:01;1914-10-01 07:00:00;1914-09;132.0;G;;
1914-10-01 07:00:01;1914-11-01 07:00:00;1914-10;32.0;G;;Orsaker till saknade data:
1914-11-01 07:00:01;1914-12-01 07:00:00;1914-11;87.0;G;;  stationen eller givaren har varit ur funktion.
1914-12-01 07:00:01;1915-01-01 07:00:00;1914-12;44.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1915-01-01 07:00:01;1915-02-01 07:00:00;1915-01;54.0;G
1915-02-01 07:00:01;1915-03-01 07:00:00;1915-02;49.0;G
1915-03-01 07:00:01;1915-04-01 07:00:00;1915-03;58.0;G
1915-04-01 07:00:01;1915-05-01 07:00:00;1915-04;95.0;G
1915-05-01 07:00:01;1915-06-01 07:00:00;1915-05;33.0;G
1915-06-01 07:00:01;1915-07-01 07:00:00;1915-06;19.0;G
1915-07-01 07:00:01;1915-08-01 07:00:00;1915-07;206.0;G
1915-08-01 07:00:01;1915-09-01 07:00:00;1915-08;106.0;G
1915-09-01 07:00:01;1915-10-01 07:00:00;1915-09;38.0;G
1915-10-01 07:00:01;1915-11-01 07:00:00;1915-10;3.0;G
1915-11-01 07:00:01;1915-12-01 07:00:00;1915-11;106.0;G
1915-12-01 07:00:01;1916-01-01 07:00:00;1915-12;29.0;G
1916-01-01 07:00:01;1916-02-01 07:00:00;1916-01;129.0;G
1916-02-01 07:00:01;1916-03-01 07:00:00;1916-02;39.0;G
1916-03-01 07:00:01;1916-04-01 07:00:00;1916-03;43.0;G
1916-04-01 07:00:01;1916-05-01 07:00:00;1916-04;43.0;G
1916-05-01 07:00:01;1916-06-01 07:00:00;1916-05;59.0;G
1916-06-01 07:00:01;1916-07-01 07:00:00;1916-06;43.0;G
1916-07-01 07:00:01;1916-08-01 07:00:00;1916-07;83.0;G
1916-08-01 07:00:01;1916-09-01 07:00:00;1916-08;72.0;G
1916-09-01 07:00:01;1916-10-01 07:00:00;1916-09;95.0;G
1916-10-01 07:00:01;1916-11-01 07:00:00;1916-10;70.0;G
1916-11-01 07:00:01;1916-12-01 07:00:00;1916-11;114.0;G
1916-12-01 07:00:01;1917-01-01 07:00:00;1916-12;57.0;G
1917-01-01 07:00:01;1917-02-01 07:00:00;1917-01;24.0;G
1917-02-01 07:00:01;1917-03-01 07:00:00;1917-02;101.0;G
1917-03-01 07:00:01;1917-04-01 07:00:00;1917-03;26.0;G
1917-04-01 07:00:01;1917-05-01 07:00:00;1917-04;25.0;G
1917-05-01 07:00:01;1917-06-01 07:00:00;1917-05;50.0;G
1917-06-01 07:00:01;1917-07-01 07:00:00;1917-06;104.0;G
1917-07-01 07:00:01;1917-08-01 07:00:00;1917-07;44.0;G
1917-08-01 07:00:01;1917-09-01 07:00:00;1917-08;73.0;G
1917-09-01 07:00:01;1917-10-01 07:00:00;1917-09;151.0;G
1917-10-01 07:00:01;1917-11-01 07:00:00;1917-10;103.0;G
1917-11-01 07:00:01;1917-12-01 07:00:00;1917-11;60.0;G
1917-12-01 07:00:01;1918-01-01 07:00:00;1917-12;122.0;G
