Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Gubbhögen A;145130;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-01-01 00:00:00;2018-03-31 23:59:59;310.0;64.2182;15.5561

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;10.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;9.9;Y;;Tidsperiod (fr.o.m.) = 1996-01-01 00:00:00 (UTC)
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;6.2;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;24.2;Y;;Värdet är summerat över = 1 månad
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;19.8;Y;;
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;94.6;Y;;Kvalitetskoderna:
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;76.1;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;46.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;37.4;Y;;
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;60.0;Y;;Orsaker till saknade data:
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;55.6;Y;;  stationen eller givaren har varit ur funktion.
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;47.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;20.5;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;40.7;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;41.9;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;31.5;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;20.8;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;76.8;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;77.2;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;36.3;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;34.1;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;21.7;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;33.8;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;18.0;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;49.3;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;62.0;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;27.4;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;28.9;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;14.3;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;77.0;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;131.4;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;139.2;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;61.9;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;73.1;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;26.5;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;28.5;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;34.0;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;43.1;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;28.4;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;39.6;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;31.6;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;74.3;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;59.4;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;50.4;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;56.2;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;41.7;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;31.3;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;35.8;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;54.0;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;36.6;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;14.4;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;46.9;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;41.9;Y
2000-06-01 06:00:01;2000-07-01 06:00:00;2000-06;61.9;Y
2000-07-01 06:00:01;2000-08-01 06:00:00;2000-07;119.3;Y
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;105.1;Y
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;29.7;Y
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;92.0;Y
2000-11-01 06:00:01;2000-12-01 06:00:00;2000-11;89.0;Y
2000-12-01 06:00:01;2001-01-01 06:00:00;2000-12;57.5;Y
2001-01-01 06:00:01;2001-02-01 06:00:00;2001-01;30.3;Y
2001-02-01 06:00:01;2001-03-01 06:00:00;2001-02;25.8;Y
2001-03-01 06:00:01;2001-04-01 06:00:00;2001-03;21.2;Y
2001-04-01 06:00:01;2001-05-01 06:00:00;2001-04;34.9;Y
2001-05-01 06:00:01;2001-06-01 06:00:00;2001-05;38.0;Y
2001-06-01 06:00:01;2001-07-01 06:00:00;2001-06;51.1;Y
2001-07-01 06:00:01;2001-08-01 06:00:00;2001-07;149.5;Y
2001-08-01 06:00:01;2001-09-01 06:00:00;2001-08;158.6;Y
2001-09-01 06:00:01;2001-10-01 06:00:00;2001-09;120.3;Y
2001-10-01 06:00:01;2001-11-01 06:00:00;2001-10;69.6;Y
2001-11-01 06:00:01;2001-12-01 06:00:00;2001-11;53.0;Y
2001-12-01 06:00:01;2002-01-01 06:00:00;2001-12;30.5;Y
2002-01-01 06:00:01;2002-02-01 06:00:00;2002-01;29.5;Y
2002-02-01 06:00:01;2002-03-01 06:00:00;2002-02;33.6;Y
2002-03-01 06:00:01;2002-04-01 06:00:00;2002-03;33.4;Y
2002-04-01 06:00:01;2002-05-01 06:00:00;2002-04;21.6;Y
