Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Avasjö-Borgafjäll D;145500;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1911-02-01 00:00:00;2018-05-01 15:00:00;530.0;64.8366;15.0918

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1911-01-01 07:00:01;1911-02-01 07:00:00;1911-01;80.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1911-02-01 07:00:01;1911-03-01 07:00:00;1911-02;45.0;G;;Tidsperiod (fr.o.m.) = 1911-02-01 00:00:00 (UTC)
1911-03-01 07:00:01;1911-04-01 07:00:00;1911-03;20.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1911-04-01 07:00:01;1911-05-01 07:00:00;1911-04;15.0;G;;Värdet är summerat över = 1 månad
1911-05-01 07:00:01;1911-06-01 07:00:00;1911-05;5.0;G;;
1911-06-01 07:00:01;1911-07-01 07:00:00;1911-06;55.0;G;;Kvalitetskoderna:
1911-07-01 07:00:01;1911-08-01 07:00:00;1911-07;75.0;G;;Grön (G) = Kontrollerade och godkända värden.
1911-08-01 07:00:01;1911-09-01 07:00:00;1911-08;70.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1911-09-01 07:00:01;1911-10-01 07:00:00;1911-09;110.0;G;;
1911-10-01 07:00:01;1911-11-01 07:00:00;1911-10;30.0;G;;Orsaker till saknade data:
1911-11-01 07:00:01;1911-12-01 07:00:00;1911-11;20.0;G;;  stationen eller givaren har varit ur funktion.
1911-12-01 07:00:01;1912-01-01 07:00:00;1911-12;15.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1912-01-01 07:00:01;1912-02-01 07:00:00;1912-01;25.0;G
1912-02-01 07:00:01;1912-03-01 07:00:00;1912-02;25.0;G
1912-03-01 07:00:01;1912-04-01 07:00:00;1912-03;55.0;G
1912-04-01 07:00:01;1912-05-01 07:00:00;1912-04;5.0;G
1912-05-01 07:00:01;1912-06-01 07:00:00;1912-05;50.0;G
1912-06-01 07:00:01;1912-07-01 07:00:00;1912-06;35.0;G
1912-07-01 07:00:01;1912-08-01 07:00:00;1912-07;25.0;G
1912-08-01 07:00:01;1912-09-01 07:00:00;1912-08;115.0;G
1912-09-01 07:00:01;1912-10-01 07:00:00;1912-09;90.0;G
1912-10-01 07:00:01;1912-11-01 07:00:00;1912-10;60.0;G
1912-11-01 07:00:01;1912-12-01 07:00:00;1912-11;65.0;G
1912-12-01 07:00:01;1913-01-01 07:00:00;1912-12;80.0;G
1913-01-01 07:00:01;1913-02-01 07:00:00;1913-01;20.0;G
1913-02-01 07:00:01;1913-03-01 07:00:00;1913-02;30.0;G
1913-03-01 07:00:01;1913-04-01 07:00:00;1913-03;15.0;G
1913-04-01 07:00:01;1913-05-01 07:00:00;1913-04;40.0;G
1913-05-01 07:00:01;1913-06-01 07:00:00;1913-05;35.0;G
1913-06-01 07:00:01;1913-07-01 07:00:00;1913-06;35.0;G
1913-07-01 07:00:01;1913-08-01 07:00:00;1913-07;95.0;G
1913-08-01 07:00:01;1913-09-01 07:00:00;1913-08;37.0;G
1913-09-01 07:00:01;1913-10-01 07:00:00;1913-09;9.0;G
1913-10-01 07:00:01;1913-11-01 07:00:00;1913-10;15.0;G
1913-11-01 07:00:01;1913-12-01 07:00:00;1913-11;73.0;G
1913-12-01 07:00:01;1914-01-01 07:00:00;1913-12;57.0;G
1914-01-01 07:00:01;1914-02-01 07:00:00;1914-01;76.0;G
1914-02-01 07:00:01;1914-03-01 07:00:00;1914-02;50.0;G
1914-03-01 07:00:01;1914-04-01 07:00:00;1914-03;32.0;G
1914-04-01 07:00:01;1914-05-01 07:00:00;1914-04;47.0;G
1914-05-01 07:00:01;1914-06-01 07:00:00;1914-05;21.0;G
1914-06-01 07:00:01;1914-07-01 07:00:00;1914-06;42.0;G
1914-07-01 07:00:01;1914-08-01 07:00:00;1914-07;99.0;G
1914-08-01 07:00:01;1914-09-01 07:00:00;1914-08;32.0;G
1914-09-01 07:00:01;1914-10-01 07:00:00;1914-09;67.0;G
1914-10-01 07:00:01;1914-11-01 07:00:00;1914-10;27.0;G
1914-11-01 07:00:01;1914-12-01 07:00:00;1914-11;34.0;G
1914-12-01 07:00:01;1915-01-01 07:00:00;1914-12;58.0;G
1915-01-01 07:00:01;1915-02-01 07:00:00;1915-01;42.0;G
1915-02-01 07:00:01;1915-03-01 07:00:00;1915-02;41.0;G
1915-03-01 07:00:01;1915-04-01 07:00:00;1915-03;27.0;G
1915-04-01 07:00:01;1915-05-01 07:00:00;1915-04;59.0;G
1915-05-01 07:00:01;1915-06-01 07:00:00;1915-05;36.0;G
1915-06-01 07:00:01;1915-07-01 07:00:00;1915-06;17.0;G
1915-07-01 07:00:01;1915-08-01 07:00:00;1915-07;150.0;G
1915-08-01 07:00:01;1915-09-01 07:00:00;1915-08;89.0;G
1915-09-01 07:00:01;1915-10-01 07:00:00;1915-09;35.0;G
1915-10-01 07:00:01;1915-11-01 07:00:00;1915-10;7.0;G
1915-11-01 07:00:01;1915-12-01 07:00:00;1915-11;65.0;G
1915-12-01 07:00:01;1916-01-01 07:00:00;1915-12;18.0;G
1916-01-01 07:00:01;1916-02-01 07:00:00;1916-01;89.0;G
1916-02-01 07:00:01;1916-03-01 07:00:00;1916-02;20.0;G
1916-03-01 07:00:01;1916-04-01 07:00:00;1916-03;52.0;G
1916-04-01 07:00:01;1916-05-01 07:00:00;1916-04;53.0;G
1916-05-01 07:00:01;1916-06-01 07:00:00;1916-05;40.0;G
1916-06-01 07:00:01;1916-07-01 07:00:00;1916-06;95.0;G
1916-07-01 07:00:01;1916-08-01 07:00:00;1916-07;60.0;G
1916-08-01 07:00:01;1916-09-01 07:00:00;1916-08;63.0;G
1916-09-01 07:00:01;1916-10-01 07:00:00;1916-09;44.0;G
1916-10-01 07:00:01;1916-11-01 07:00:00;1916-10;66.0;G
1916-11-01 07:00:01;1916-12-01 07:00:00;1916-11;99.0;G
1916-12-01 07:00:01;1917-01-01 07:00:00;1916-12;61.0;G
1917-01-01 07:00:01;1917-02-01 07:00:00;1917-01;10.0;G
