Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Ytterrissjö D;147020;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1985-11-01 00:00:00;1988-02-29 23:59:59;365.0;64.0294;17.7852
1988-07-01 00:00:00;1993-05-31 23:59:59;365.0;64.0313;17.781
1993-06-01 00:00:00;2014-05-31 23:59:59;340.0;64.0321;17.7655
2014-06-01 00:00:00;2018-03-31 23:59:59;370.0;64.0302;17.777

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1985-10-01 06:00:01;1985-11-01 06:00:00;1985-10;63.5;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1985-11-01 06:00:01;1985-12-01 06:00:00;1985-11;41.1;Y;;Tidsperiod (fr.o.m.) = 1985-11-01 00:00:00 (UTC)
1985-12-01 06:00:01;1986-01-01 06:00:00;1985-12;39.6;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1986-01-01 06:00:01;1986-02-01 06:00:00;1986-01;40.5;Y;;Värdet är summerat över = 1 månad
1986-02-01 06:00:01;1986-03-01 06:00:00;1986-02;6.3;Y;;
1986-03-01 06:00:01;1986-04-01 06:00:00;1986-03;53.6;Y;;Kvalitetskoderna:
1986-05-01 06:00:01;1986-06-01 06:00:00;1986-05;47.9;Y;;Grön (G) = Kontrollerade och godkända värden.
1986-06-01 06:00:01;1986-07-01 06:00:00;1986-06;17.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1986-07-01 06:00:01;1986-08-01 06:00:00;1986-07;64.9;Y;;
1986-08-01 06:00:01;1986-09-01 06:00:00;1986-08;60.1;Y;;Orsaker till saknade data:
1986-09-01 06:00:01;1986-10-01 06:00:00;1986-09;71.4;Y;;  stationen eller givaren har varit ur funktion.
1986-10-01 06:00:01;1986-11-01 06:00:00;1986-10;51.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1986-11-01 06:00:01;1986-12-01 06:00:00;1986-11;70.6;Y
1986-12-01 06:00:01;1987-01-01 06:00:00;1986-12;33.0;Y
1987-01-01 06:00:01;1987-02-01 06:00:00;1987-01;34.7;Y
1987-02-01 06:00:01;1987-03-01 06:00:00;1987-02;31.3;Y
1987-03-01 06:00:01;1987-04-01 06:00:00;1987-03;20.2;Y
1987-04-01 06:00:01;1987-05-01 06:00:00;1987-04;3.8;Y
1987-05-01 06:00:01;1987-06-01 06:00:00;1987-05;32.4;Y
1987-06-01 06:00:01;1987-07-01 06:00:00;1987-06;79.6;Y
1987-07-01 06:00:01;1987-08-01 06:00:00;1987-07;104.7;Y
1987-08-01 06:00:01;1987-09-01 06:00:00;1987-08;71.0;Y
1987-09-01 06:00:01;1987-10-01 06:00:00;1987-09;75.9;Y
1987-10-01 06:00:01;1987-11-01 06:00:00;1987-10;48.5;Y
1987-11-01 06:00:01;1987-12-01 06:00:00;1987-11;59.5;Y
1987-12-01 06:00:01;1988-01-01 06:00:00;1987-12;36.1;Y
1988-01-01 06:00:01;1988-02-01 06:00:00;1988-01;50.2;Y
1988-06-01 06:00:01;1988-07-01 06:00:00;1988-06;15.0;Y
1988-07-01 06:00:01;1988-08-01 06:00:00;1988-07;80.3;Y
1988-08-01 06:00:01;1988-09-01 06:00:00;1988-08;107.6;Y
1988-09-01 06:00:01;1988-10-01 06:00:00;1988-09;71.3;Y
1988-10-01 06:00:01;1988-11-01 06:00:00;1988-10;31.0;Y
1988-11-01 06:00:01;1988-12-01 06:00:00;1988-11;15.3;Y
1988-12-01 06:00:01;1989-01-01 06:00:00;1988-12;44.0;Y
1989-01-01 06:00:01;1989-02-01 06:00:00;1989-01;33.6;Y
1989-02-01 06:00:01;1989-03-01 06:00:00;1989-02;40.9;Y
1989-03-01 06:00:01;1989-04-01 06:00:00;1989-03;84.1;Y
1989-04-01 06:00:01;1989-05-01 06:00:00;1989-04;88.1;Y
1989-05-01 06:00:01;1989-06-01 06:00:00;1989-05;40.0;Y
1989-06-01 06:00:01;1989-07-01 06:00:00;1989-06;75.4;Y
1989-07-01 06:00:01;1989-08-01 06:00:00;1989-07;33.0;Y
1989-08-01 06:00:01;1989-09-01 06:00:00;1989-08;141.1;Y
1989-09-01 06:00:01;1989-10-01 06:00:00;1989-09;18.5;Y
1989-10-01 06:00:01;1989-11-01 06:00:00;1989-10;29.2;Y
1989-11-01 06:00:01;1989-12-01 06:00:00;1989-11;56.2;Y
1989-12-01 06:00:01;1990-01-01 06:00:00;1989-12;41.9;Y
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;93.9;Y
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;49.7;Y
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;27.5;Y
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;22.4;Y
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;18.7;Y
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;69.4;Y
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;107.4;Y
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;40.8;Y
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;65.6;Y
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;30.5;Y
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;55.5;Y
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;54.1;Y
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;44.4;Y
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;17.0;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;37.7;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;11.6;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;52.6;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;135.8;Y
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;75.4;Y
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;46.3;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;66.6;Y
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;47.5;Y
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;60.0;Y
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;35.3;Y
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;44.1;Y
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;22.8;Y
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;32.2;Y
1992-04-01 06:00:01;1992-05-01 06:00:00;1992-04;53.9;Y
1992-05-01 06:00:01;1992-06-01 06:00:00;1992-05;31.7;Y
1992-06-01 06:00:01;1992-07-01 06:00:00;1992-06;53.4;Y
1992-07-01 06:00:01;1992-08-01 06:00:00;1992-07;108.4;Y
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;162.6;Y
1992-09-01 06:00:01;1992-10-01 06:00:00;1992-09;58.5;Y
1992-10-01 06:00:01;1992-11-01 06:00:00;1992-10;44.6;Y
1992-11-01 06:00:01;1992-12-01 06:00:00;1992-11;96.1;Y
1992-12-01 06:00:01;1993-01-01 06:00:00;1992-12;45.2;Y
1993-01-01 06:00:01;1993-02-01 06:00:00;1993-01;48.5;Y
1993-02-01 06:00:01;1993-03-01 06:00:00;1993-02;16.5;Y
1993-03-01 06:00:01;1993-04-01 06:00:00;1993-03;16.3;Y
1993-04-01 06:00:01;1993-05-01 06:00:00;1993-04;4.9;Y
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;48.2;G
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;92.2;Y
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;132.3;Y
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;129.2;Y
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;36.4;Y
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;73.7;Y
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;24.8;Y
1993-12-01 06:00:01;1994-01-01 06:00:00;1993-12;91.5;Y
1994-01-01 06:00:01;1994-02-01 06:00:00;1994-01;64.0;Y
1994-02-01 06:00:01;1994-03-01 06:00:00;1994-02;3.9;Y
1994-03-01 06:00:01;1994-04-01 06:00:00;1994-03;42.2;Y
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;23.6;Y
1994-05-01 06:00:01;1994-06-01 06:00:00;1994-05;9.0;Y
1994-06-01 06:00:01;1994-07-01 06:00:00;1994-06;64.3;Y
1994-07-01 06:00:01;1994-08-01 06:00:00;1994-07;29.2;Y
1994-08-01 06:00:01;1994-09-01 06:00:00;1994-08;25.4;Y
1994-09-01 06:00:01;1994-10-01 06:00:00;1994-09;52.5;Y
1994-10-01 06:00:01;1994-11-01 06:00:00;1994-10;36.2;Y
1994-11-01 06:00:01;1994-12-01 06:00:00;1994-11;36.6;Y
1994-12-01 06:00:01;1995-01-01 06:00:00;1994-12;63.7;Y
1995-01-01 06:00:01;1995-02-01 06:00:00;1995-01;46.1;Y
1995-02-01 06:00:01;1995-03-01 06:00:00;1995-02;36.6;Y
1995-03-01 06:00:01;1995-04-01 06:00:00;1995-03;74.6;Y
1995-04-01 06:00:01;1995-05-01 06:00:00;1995-04;43.8;Y
1995-05-01 06:00:01;1995-06-01 06:00:00;1995-05;54.8;Y
1995-06-01 06:00:01;1995-07-01 06:00:00;1995-06;36.2;Y
1995-07-01 06:00:01;1995-08-01 06:00:00;1995-07;105.0;Y
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;34.4;Y
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;16.0;Y
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;25.4;Y
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;33.0;Y
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;8.7;Y
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;7.2;Y
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;16.0;Y
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;18.6;Y
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;39.0;Y
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;34.9;Y
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;75.6;Y
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;63.5;Y
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;25.5;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;40.5;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;86.0;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;93.4;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;55.5;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;17.7;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;40.5;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;34.6;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;30.8;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;21.0;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;44.1;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;100.9;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;32.8;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;47.3;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;16.4;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;50.0;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;34.0;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;52.4;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;53.7;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;32.1;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;35.3;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;38.5;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;58.6;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;114.8;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;159.5;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;37.2;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;100.9;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;28.3;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;34.2;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;63.7;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;72.1;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;35.1;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;45.5;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;38.9;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;101.2;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;74.7;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;37.1;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;30.4;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;41.6;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;45.5;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;48.6;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;53.2;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;36.2;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;18.6;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;57.3;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;75.4;Y
2000-06-01 06:00:01;2000-07-01 06:00:00;2000-06;85.0;Y
2000-07-01 06:00:01;2000-08-01 06:00:00;2000-07;139.5;Y
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;169.7;Y
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;34.9;Y
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;75.2;Y
2000-11-01 06:00:01;2000-12-01 06:00:00;2000-11;105.5;Y
2000-12-01 06:00:01;2001-01-01 06:00:00;2000-12;60.2;Y
2001-01-01 06:00:01;2001-02-01 06:00:00;2001-01;44.1;Y
2001-02-01 06:00:01;2001-03-01 06:00:00;2001-02;23.9;Y
2001-03-01 06:00:01;2001-04-01 06:00:00;2001-03;23.7;Y
2001-04-01 06:00:01;2001-05-01 06:00:00;2001-04;50.9;Y
2001-05-01 06:00:01;2001-06-01 06:00:00;2001-05;54.7;Y
2001-06-01 06:00:01;2001-07-01 06:00:00;2001-06;47.1;Y
2001-07-01 06:00:01;2001-08-01 06:00:00;2001-07;110.3;Y
2001-08-01 06:00:01;2001-09-01 06:00:00;2001-08;120.5;Y
2001-09-01 06:00:01;2001-10-01 06:00:00;2001-09;99.2;Y
2001-10-01 06:00:01;2001-11-01 06:00:00;2001-10;65.4;Y
2001-11-01 06:00:01;2001-12-01 06:00:00;2001-11;50.5;Y
2001-12-01 06:00:01;2002-01-01 06:00:00;2001-12;33.9;Y
2002-01-01 06:00:01;2002-02-01 06:00:00;2002-01;46.3;Y
2002-02-01 06:00:01;2002-03-01 06:00:00;2002-02;46.0;Y
2002-03-01 06:00:01;2002-04-01 06:00:00;2002-03;37.7;Y
2002-04-01 06:00:01;2002-05-01 06:00:00;2002-04;18.1;Y
2002-05-01 06:00:01;2002-06-01 06:00:00;2002-05;26.4;Y
2002-06-01 06:00:01;2002-07-01 06:00:00;2002-06;69.1;Y
2002-07-01 06:00:01;2002-08-01 06:00:00;2002-07;59.7;Y
2002-08-01 06:00:01;2002-09-01 06:00:00;2002-08;28.7;Y
2002-09-01 06:00:01;2002-10-01 06:00:00;2002-09;36.8;Y
2002-10-01 06:00:01;2002-11-01 06:00:00;2002-10;48.7;Y
2002-11-01 06:00:01;2002-12-01 06:00:00;2002-11;26.8;Y
2002-12-01 06:00:01;2003-01-01 06:00:00;2002-12;15.6;Y
2003-01-01 06:00:01;2003-02-01 06:00:00;2003-01;63.5;Y
2003-02-01 06:00:01;2003-03-01 06:00:00;2003-02;10.2;Y
2003-03-01 06:00:01;2003-04-01 06:00:00;2003-03;13.2;Y
2003-04-01 06:00:01;2003-05-01 06:00:00;2003-04;46.1;Y
2003-05-01 06:00:01;2003-06-01 06:00:00;2003-05;71.4;Y
2003-06-01 06:00:01;2003-07-01 06:00:00;2003-06;36.6;Y
2003-07-01 06:00:01;2003-08-01 06:00:00;2003-07;98.2;Y
2003-08-01 06:00:01;2003-09-01 06:00:00;2003-08;158.6;Y
2003-09-01 06:00:01;2003-10-01 06:00:00;2003-09;74.9;Y
2003-10-01 06:00:01;2003-11-01 06:00:00;2003-10;44.3;Y
2003-11-01 06:00:01;2003-12-01 06:00:00;2003-11;38.6;Y
2003-12-01 06:00:01;2004-01-01 06:00:00;2003-12;38.8;Y
2004-01-01 06:00:01;2004-02-01 06:00:00;2004-01;29.0;Y
2004-02-01 06:00:01;2004-03-01 06:00:00;2004-02;35.5;Y
2004-03-01 06:00:01;2004-04-01 06:00:00;2004-03;30.6;Y
2004-04-01 06:00:01;2004-05-01 06:00:00;2004-04;13.1;Y
2004-05-01 06:00:01;2004-06-01 06:00:00;2004-05;38.3;Y
2004-06-01 06:00:01;2004-07-01 06:00:00;2004-06;55.6;Y
2004-07-01 06:00:01;2004-08-01 06:00:00;2004-07;137.1;Y
2004-08-01 06:00:01;2004-09-01 06:00:00;2004-08;88.5;Y
2004-09-01 06:00:01;2004-10-01 06:00:00;2004-09;86.8;Y
2004-10-01 06:00:01;2004-11-01 06:00:00;2004-10;36.2;Y
2004-11-01 06:00:01;2004-12-01 06:00:00;2004-11;32.3;Y
2004-12-01 06:00:01;2005-01-01 06:00:00;2004-12;44.3;Y
2005-01-01 06:00:01;2005-02-01 06:00:00;2005-01;47.3;Y
2005-02-01 06:00:01;2005-03-01 06:00:00;2005-02;35.3;Y
2005-03-01 06:00:01;2005-04-01 06:00:00;2005-03;10.6;Y
2005-04-01 06:00:01;2005-05-01 06:00:00;2005-04;17.9;Y
2005-05-01 06:00:01;2005-06-01 06:00:00;2005-05;67.8;Y
2005-06-01 06:00:01;2005-07-01 06:00:00;2005-06;79.4;Y
2005-07-01 06:00:01;2005-08-01 06:00:00;2005-07;99.0;Y
2005-08-01 06:00:01;2005-09-01 06:00:00;2005-08;154.4;Y
2005-09-01 06:00:01;2005-10-01 06:00:00;2005-09;40.8;Y
2005-10-01 06:00:01;2005-11-01 06:00:00;2005-10;42.4;Y
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;28.2;Y
2005-12-01 06:00:01;2006-01-01 06:00:00;2005-12;36.5;Y
2006-01-01 06:00:01;2006-02-01 06:00:00;2006-01;47.3;Y
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;20.3;Y
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;29.8;Y
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;51.1;Y
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;68.2;Y
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;35.8;Y
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;41.3;Y
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;75.1;Y
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;101.9;Y
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;146.9;Y
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;96.3;Y
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;58.3;Y
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;62.1;Y
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;30.5;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;26.0;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;11.1;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;46.2;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;27.8;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;76.5;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;90.3;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;74.1;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;16.5;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;46.7;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;45.9;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;75.7;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;46.7;Y
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;37.6;Y
