Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Åsele A;147090;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-01-01 00:00:00;2018-05-01 15:00:00;307.0;64.1661;17.3188

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;7.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;14.5;Y;;Tidsperiod (fr.o.m.) = 1996-01-01 00:00:00 (UTC)
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;13.8;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;38.6;Y;;Värdet är summerat över = 1 månad
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;33.2;Y;;
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;95.1;Y;;Kvalitetskoderna:
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;52.4;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;26.8;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;23.7;Y;;
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;81.7;Y;;Orsaker till saknade data:
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;42.8;Y;;  stationen eller givaren har varit ur funktion.
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;20.0;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;33.3;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;29.7;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;31.0;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;19.0;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;87.6;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;88.0;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;69.9;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;40.6;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;15.8;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;44.9;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;28.3;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;46.9;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;48.6;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;29.5;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;24.9;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;36.4;Y
