Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Latikberg D;147390;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2008-07-01 00:00:00;2018-05-01 15:00:00;440.0;64.6434;17.0866

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;91.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;20.8;Y;;Tidsperiod (fr.o.m.) = 2008-07-01 00:00:00 (UTC)
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;125.5;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;26.5;Y;;Värdet är summerat över = 1 månad
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;36.8;Y;;
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;52.7;Y;;Kvalitetskoderna:
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;44.7;Y;;Grön (G) = Kontrollerade och godkända värden.
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;26.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;45.4;Y;;
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;13.4;Y;;Orsaker till saknade data:
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;44.2;Y;;  stationen eller givaren har varit ur funktion.
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;40.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;48.0;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;140.2;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;80.3;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;55.1;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;44.0;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;71.2;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;34.9;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;37.3;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;33.5;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;52.2;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;39.3;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;40.9;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;116.8;Y
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;117.5;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;46.4;Y
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;42.1;Y
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;46.8;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;14.4;Y
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;29.1;Y
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;40.3;Y
