Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Gunnarn A;147560;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2008-12-01 00:00:00;2018-05-01 15:00:00;251.0;65.0106;17.7034

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;36.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;43.8;Y;;Tidsperiod (fr.o.m.) = 2008-12-01 00:00:00 (UTC)
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;22.0;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;37.3;Y;;Värdet är summerat över = 1 månad
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;9.2;Y;;
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;33.0;Y;;Kvalitetskoderna:
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;47.1;Y;;Grön (G) = Kontrollerade och godkända värden.
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;39.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;105.6;Y;;
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;73.6;Y;;Orsaker till saknade data:
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;44.3;Y;;  stationen eller givaren har varit ur funktion.
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;37.1;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;67.3;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;41.8;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;36.5;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;32.3;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;47.0;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;25.9;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;32.8;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;87.3;Y
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;99.9;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;39.5;Y
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;37.3;Y
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;29.3;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;19.6;Y
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;23.9;Y
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;45.5;Y
2011-02-01 06:00:01;2011-03-01 06:00:00;2011-02;18.4;Y
2011-03-01 06:00:01;2011-04-01 06:00:00;2011-03;13.3;Y
2011-04-01 06:00:01;2011-05-01 06:00:00;2011-04;8.4;Y
2011-05-01 06:00:01;2011-06-01 06:00:00;2011-05;57.8;Y
2011-06-01 06:00:01;2011-07-01 06:00:00;2011-06;65.4;Y
2011-07-01 06:00:01;2011-08-01 06:00:00;2011-07;57.4;Y
2011-08-01 06:00:01;2011-09-01 06:00:00;2011-08;110.8;Y
2011-09-01 06:00:01;2011-10-01 06:00:00;2011-09;141.6;Y
2011-10-01 06:00:01;2011-11-01 06:00:00;2011-10;47.3;Y
2011-11-01 06:00:01;2011-12-01 06:00:00;2011-11;14.1;Y
2011-12-01 06:00:01;2012-01-01 06:00:00;2011-12;57.2;Y
2012-01-01 06:00:01;2012-02-01 06:00:00;2012-01;39.1;Y
2012-02-01 06:00:01;2012-03-01 06:00:00;2012-02;35.8;Y
2012-03-01 06:00:01;2012-04-01 06:00:00;2012-03;20.4;Y
2012-04-01 06:00:01;2012-05-01 06:00:00;2012-04;49.4;Y
2012-05-01 06:00:01;2012-06-01 06:00:00;2012-05;25.3;Y
2012-06-01 06:00:01;2012-07-01 06:00:00;2012-06;78.7;Y
2012-07-01 06:00:01;2012-08-01 06:00:00;2012-07;109.6;Y
2012-08-01 06:00:01;2012-09-01 06:00:00;2012-08;69.9;Y
2012-09-01 06:00:01;2012-10-01 06:00:00;2012-09;76.0;Y
2012-10-01 06:00:01;2012-11-01 06:00:00;2012-10;62.7;Y
2012-11-01 06:00:01;2012-12-01 06:00:00;2012-11;26.3;Y
2012-12-01 06:00:01;2013-01-01 06:00:00;2012-12;58.1;Y
2013-01-01 06:00:01;2013-02-01 06:00:00;2013-01;21.7;Y
2013-02-01 06:00:01;2013-03-01 06:00:00;2013-02;10.5;Y
2013-03-01 06:00:01;2013-04-01 06:00:00;2013-03;16.8;Y
2013-04-01 06:00:01;2013-05-01 06:00:00;2013-04;16.1;Y
2013-05-01 06:00:01;2013-06-01 06:00:00;2013-05;32.6;Y
2013-06-01 06:00:01;2013-07-01 06:00:00;2013-06;53.4;Y
2013-07-01 06:00:01;2013-08-01 06:00:00;2013-07;83.8;Y
2013-08-01 06:00:01;2013-09-01 06:00:00;2013-08;43.7;Y
2013-09-01 06:00:01;2013-10-01 06:00:00;2013-09;51.8;Y
2013-10-01 06:00:01;2013-11-01 06:00:00;2013-10;42.2;Y
2013-11-01 06:00:01;2013-12-01 06:00:00;2013-11;19.2;Y
2013-12-01 06:00:01;2014-01-01 06:00:00;2013-12;30.8;Y
2014-01-01 06:00:01;2014-02-01 06:00:00;2014-01;15.7;Y
2014-02-01 06:00:01;2014-03-01 06:00:00;2014-02;39.6;Y
2014-03-01 06:00:01;2014-04-01 06:00:00;2014-03;25.9;Y
2014-04-01 06:00:01;2014-05-01 06:00:00;2014-04;4.1;Y
2014-05-01 06:00:01;2014-06-01 06:00:00;2014-05;27.2;Y
2014-06-01 06:00:01;2014-07-01 06:00:00;2014-06;65.5;Y
2014-07-01 06:00:01;2014-08-01 06:00:00;2014-07;71.8;Y
2014-08-01 06:00:01;2014-09-01 06:00:00;2014-08;55.4;Y
2014-09-01 06:00:01;2014-10-01 06:00:00;2014-09;9.7;Y
2014-10-01 06:00:01;2014-11-01 06:00:00;2014-10;37.3;Y
2014-11-01 06:00:01;2014-12-01 06:00:00;2014-11;26.6;Y
2014-12-01 06:00:01;2015-01-01 06:00:00;2014-12;26.4;Y
2015-01-01 06:00:01;2015-02-01 06:00:00;2015-01;69.7;Y
2015-02-01 06:00:01;2015-03-01 06:00:00;2015-02;16.8;Y
2015-03-01 06:00:01;2015-04-01 06:00:00;2015-03;35.6;Y
2015-04-01 06:00:01;2015-05-01 06:00:00;2015-04;35.5;Y
2015-05-01 06:00:01;2015-06-01 06:00:00;2015-05;80.7;Y
2015-06-01 06:00:01;2015-07-01 06:00:00;2015-06;51.7;Y
2015-07-01 06:00:01;2015-08-01 06:00:00;2015-07;91.2;Y
2015-08-01 06:00:01;2015-09-01 06:00:00;2015-08;34.2;Y
2015-09-01 06:00:01;2015-10-01 06:00:00;2015-09;39.8;Y
2015-10-01 06:00:01;2015-11-01 06:00:00;2015-10;11.6;Y
