Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Fredrika A;148040;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-02-01 00:00:00;2018-05-01 15:00:00;327.0;64.0753;18.3656

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;4.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;15.0;Y;;Tidsperiod (fr.o.m.) = 1996-02-01 00:00:00 (UTC)
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;16.5;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;25.5;Y;;Värdet är summerat över = 1 månad
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;32.0;Y;;
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;74.4;Y;;Kvalitetskoderna:
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;71.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;17.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;32.0;Y;;
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;80.2;Y;;Orsaker till saknade data:
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;87.8;Y;;  stationen eller givaren har varit ur funktion.
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;40.3;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;16.8;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;32.2;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;22.4;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;27.2;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;14.6;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;40.3;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;97.8;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;26.7;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;39.6;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;20.8;Y
