Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Granträsk D;148200;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1988-07-01 00:00:00;2018-04-30 23:59:59;455.0;64.3346;18.3756

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1988-06-01 06:00:01;1988-07-01 06:00:00;1988-06;25.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1988-08-01 06:00:01;1988-09-01 06:00:00;1988-08;143.6;Y;;Tidsperiod (fr.o.m.) = 1988-07-01 00:00:00 (UTC)
1988-09-01 06:00:01;1988-10-01 06:00:00;1988-09;44.5;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1988-10-01 06:00:01;1988-11-01 06:00:00;1988-10;40.9;Y;;Värdet är summerat över = 1 månad
1988-11-01 06:00:01;1988-12-01 06:00:00;1988-11;15.5;Y;;
1988-12-01 06:00:01;1989-01-01 06:00:00;1988-12;50.0;Y;;Kvalitetskoderna:
1989-01-01 06:00:01;1989-02-01 06:00:00;1989-01;40.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1989-02-01 06:00:01;1989-03-01 06:00:00;1989-02;55.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1989-03-01 06:00:01;1989-04-01 06:00:00;1989-03;75.3;Y;;
1989-04-01 06:00:01;1989-05-01 06:00:00;1989-04;89.1;Y;;Orsaker till saknade data:
1989-05-01 06:00:01;1989-06-01 06:00:00;1989-05;49.4;Y;;  stationen eller givaren har varit ur funktion.
1989-06-01 06:00:01;1989-07-01 06:00:00;1989-06;67.2;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1989-07-01 06:00:01;1989-08-01 06:00:00;1989-07;50.2;Y
1989-08-01 06:00:01;1989-09-01 06:00:00;1989-08;114.6;Y
1989-09-01 06:00:01;1989-10-01 06:00:00;1989-09;22.8;Y
1989-10-01 06:00:01;1989-11-01 06:00:00;1989-10;25.9;Y
1989-11-01 06:00:01;1989-12-01 06:00:00;1989-11;68.1;Y
1989-12-01 06:00:01;1990-01-01 06:00:00;1989-12;39.8;Y
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;80.5;Y
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;53.8;Y
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;38.1;Y
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;28.4;Y
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;29.1;Y
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;50.9;Y
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;110.3;Y
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;56.2;Y
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;84.1;Y
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;35.3;Y
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;61.2;Y
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;60.0;Y
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;43.3;Y
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;10.1;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;50.1;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;16.5;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;81.6;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;120.2;Y
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;62.8;Y
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;102.9;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;62.6;Y
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;59.4;Y
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;66.7;Y
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;42.7;Y
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;61.9;Y
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;27.3;Y
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;36.2;Y
1992-04-01 06:00:01;1992-05-01 06:00:00;1992-04;53.4;Y
1992-05-01 06:00:01;1992-06-01 06:00:00;1992-05;61.6;Y
1992-06-01 06:00:01;1992-07-01 06:00:00;1992-06;42.2;Y
1992-07-01 06:00:01;1992-08-01 06:00:00;1992-07;93.0;Y
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;192.1;Y
1992-09-01 06:00:01;1992-10-01 06:00:00;1992-09;58.5;Y
1992-10-01 06:00:01;1992-11-01 06:00:00;1992-10;42.3;Y
1992-11-01 06:00:01;1992-12-01 06:00:00;1992-11;98.2;Y
1992-12-01 06:00:01;1993-01-01 06:00:00;1992-12;39.7;Y
1993-01-01 06:00:01;1993-02-01 06:00:00;1993-01;69.2;Y
1993-02-01 06:00:01;1993-03-01 06:00:00;1993-02;15.9;Y
1993-03-01 06:00:01;1993-04-01 06:00:00;1993-03;22.7;Y
1993-04-01 06:00:01;1993-05-01 06:00:00;1993-04;10.1;Y
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;49.2;Y
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;123.7;Y
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;146.8;Y
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;111.9;Y
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;37.7;Y
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;80.5;Y
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;31.9;Y
1993-12-01 06:00:01;1994-01-01 06:00:00;1993-12;107.8;Y
1994-01-01 06:00:01;1994-02-01 06:00:00;1994-01;56.6;Y
1994-02-01 06:00:01;1994-03-01 06:00:00;1994-02;8.0;Y
1994-03-01 06:00:01;1994-04-01 06:00:00;1994-03;64.1;Y
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;29.1;Y
1994-05-01 06:00:01;1994-06-01 06:00:00;1994-05;16.5;Y
1994-06-01 06:00:01;1994-07-01 06:00:00;1994-06;116.4;Y
