Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Lycksele A;148330;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-01-01 00:00:00;2018-03-31 23:59:59;210.0;64.5492;18.7169

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;2.3;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;5.1;Y;;Tidsperiod (fr.o.m.) = 1996-01-01 00:00:00 (UTC)
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;10.7;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;27.9;Y;;Värdet är summerat över = 1 månad
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;24.1;Y;;
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;50.6;Y;;Kvalitetskoderna:
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;81.4;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;28.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;24.6;Y;;
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;66.4;Y;;Orsaker till saknade data:
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;82.7;Y;;  stationen eller givaren har varit ur funktion.
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;38.4;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;17.0;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;24.3;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;22.3;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;28.7;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;15.4;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;83.8;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;102.3;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;38.1;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;42.8;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;13.6;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;59.8;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;19.1;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;34.4;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;34.6;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;19.5;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;22.2;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;36.3;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;86.4;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;110.6;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;114.7;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;27.4;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;84.8;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;22.3;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;18.8;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;30.3;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;49.1;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;21.8;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;44.0;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;26.5;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;104.4;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;62.1;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;16.5;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;19.3;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;62.1;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;31.9;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;30.6;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;16.1;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;15.9;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;13.3;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;42.3;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;71.3;Y
2000-06-01 06:00:01;2000-07-01 06:00:00;2000-06;74.1;Y
2000-07-01 06:00:01;2000-08-01 06:00:00;2000-07;156.0;Y
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;104.7;Y
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;17.0;Y
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;55.8;Y
2000-11-01 06:00:01;2000-12-01 06:00:00;2000-11;60.8;Y
2000-12-01 06:00:01;2001-01-01 06:00:00;2000-12;56.9;Y
2001-01-01 06:00:01;2001-02-01 06:00:00;2001-01;33.3;Y
2001-02-01 06:00:01;2001-03-01 06:00:00;2001-02;23.3;Y
2001-03-01 06:00:01;2001-04-01 06:00:00;2001-03;16.8;Y
2001-04-01 06:00:01;2001-05-01 06:00:00;2001-04;44.3;Y
2001-05-01 06:00:01;2001-06-01 06:00:00;2001-05;63.4;Y
2001-06-01 06:00:01;2001-07-01 06:00:00;2001-06;74.9;Y
2001-07-01 06:00:01;2001-08-01 06:00:00;2001-07;96.3;Y
2001-08-01 06:00:01;2001-09-01 06:00:00;2001-08;123.8;Y
2001-09-01 06:00:01;2001-10-01 06:00:00;2001-09;105.1;Y
2001-10-01 06:00:01;2001-11-01 06:00:00;2001-10;51.8;Y
2001-11-01 06:00:01;2001-12-01 06:00:00;2001-11;30.9;Y
2001-12-01 06:00:01;2002-01-01 06:00:00;2001-12;20.1;Y
2002-01-01 06:00:01;2002-02-01 06:00:00;2002-01;27.1;Y
2002-02-01 06:00:01;2002-03-01 06:00:00;2002-02;34.4;Y
2002-03-01 06:00:01;2002-04-01 06:00:00;2002-03;37.5;Y
2002-04-01 06:00:01;2002-05-01 06:00:00;2002-04;11.6;Y
2002-05-01 06:00:01;2002-06-01 06:00:00;2002-05;4.9;Y
2002-06-01 06:00:01;2002-07-01 06:00:00;2002-06;64.4;Y
2002-07-01 06:00:01;2002-08-01 06:00:00;2002-07;111.9;Y
2002-08-01 06:00:01;2002-09-01 06:00:00;2002-08;28.9;Y
2002-09-01 06:00:01;2002-10-01 06:00:00;2002-09;26.3;Y
2002-10-01 06:00:01;2002-11-01 06:00:00;2002-10;32.6;Y
2002-11-01 06:00:01;2002-12-01 06:00:00;2002-11;19.2;Y
2002-12-01 06:00:01;2003-01-01 06:00:00;2002-12;17.1;Y
2003-01-01 06:00:01;2003-02-01 06:00:00;2003-01;38.5;Y
2003-02-01 06:00:01;2003-03-01 06:00:00;2003-02;4.8;Y
2003-03-01 06:00:01;2003-04-01 06:00:00;2003-03;6.7;Y
2003-04-01 06:00:01;2003-05-01 06:00:00;2003-04;18.9;Y
2003-05-01 06:00:01;2003-06-01 06:00:00;2003-05;58.1;Y
2003-06-01 06:00:01;2003-07-01 06:00:00;2003-06;37.5;Y
2003-07-01 06:00:01;2003-08-01 06:00:00;2003-07;36.6;Y
2003-08-01 06:00:01;2003-09-01 06:00:00;2003-08;133.5;Y
2003-09-01 06:00:01;2003-10-01 06:00:00;2003-09;49.9;Y
2003-10-01 06:00:01;2003-11-01 06:00:00;2003-10;36.3;Y
2003-11-01 06:00:01;2003-12-01 06:00:00;2003-11;33.9;Y
2003-12-01 06:00:01;2004-01-01 06:00:00;2003-12;28.8;Y
2004-01-01 06:00:01;2004-02-01 06:00:00;2004-01;27.1;Y
2004-02-01 06:00:01;2004-03-01 06:00:00;2004-02;23.6;Y
2004-03-01 06:00:01;2004-04-01 06:00:00;2004-03;23.2;Y
2004-04-01 06:00:01;2004-05-01 06:00:00;2004-04;8.6;Y
2004-05-01 06:00:01;2004-06-01 06:00:00;2004-05;33.9;Y
2004-06-01 06:00:01;2004-07-01 06:00:00;2004-06;64.7;Y
2004-07-01 06:00:01;2004-08-01 06:00:00;2004-07;134.7;Y
2004-08-01 06:00:01;2004-09-01 06:00:00;2004-08;57.1;Y
2004-09-01 06:00:01;2004-10-01 06:00:00;2004-09;73.0;Y
2004-10-01 06:00:01;2004-11-01 06:00:00;2004-10;28.6;Y
2004-11-01 06:00:01;2004-12-01 06:00:00;2004-11;23.3;Y
2004-12-01 06:00:01;2005-01-01 06:00:00;2004-12;22.3;Y
2005-01-01 06:00:01;2005-02-01 06:00:00;2005-01;35.2;Y
2005-02-01 06:00:01;2005-03-01 06:00:00;2005-02;27.6;Y
2005-03-01 06:00:01;2005-04-01 06:00:00;2005-03;7.0;Y
2005-04-01 06:00:01;2005-05-01 06:00:00;2005-04;16.9;Y
2005-05-01 06:00:01;2005-06-01 06:00:00;2005-05;56.8;Y
2005-06-01 06:00:01;2005-07-01 06:00:00;2005-06;75.3;Y
2005-07-01 06:00:01;2005-08-01 06:00:00;2005-07;93.6;Y
2005-08-01 06:00:01;2005-09-01 06:00:00;2005-08;137.1;Y
2005-09-01 06:00:01;2005-10-01 06:00:00;2005-09;50.6;Y
2005-10-01 06:00:01;2005-11-01 06:00:00;2005-10;17.8;Y
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;24.1;Y
2005-12-01 06:00:01;2006-01-01 06:00:00;2005-12;38.4;Y
2006-01-01 06:00:01;2006-02-01 06:00:00;2006-01;12.6;Y
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;17.8;Y
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;22.2;Y
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;43.7;Y
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;37.9;Y
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;37.4;Y
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;39.4;Y
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;78.1;Y
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;95.8;Y
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;101.2;Y
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;75.1;Y
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;48.0;Y
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;39.3;Y
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;24.5;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;16.5;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;4.2;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;39.9;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;43.2;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;124.5;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;58.1;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;65.1;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;16.8;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;36.9;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;40.0;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;54.6;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;22.8;Y
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;26.2;Y
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;48.2;Y
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;7.0;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;73.3;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;52.6;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;78.2;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;20.5;Y
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;50.1;Y
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;24.8;Y
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;38.2;Y
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;19.7;Y
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;27.9;Y
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;11.7;Y
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;33.2;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;43.8;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;31.3;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;151.4;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;53.5;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;50.3;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;31.2;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;63.7;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;43.0;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;23.8;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;26.4;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;36.7;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;19.8;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;61.0;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;51.9;Y
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;53.0;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;96.8;Y
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;35.3;Y
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;32.4;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;14.7;Y
