Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Rusksele D;148490;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2009-06-01 00:00:00;2018-04-30 23:59:59;225.0;64.8166;18.8886
1973-08-01 00:00:00;2008-10-01 23:59:59;220.0;64.8148;18.8905

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1973-07-01 06:00:01;1973-08-01 06:00:00;1973-07;55.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1973-08-01 06:00:01;1973-09-01 06:00:00;1973-08;62.0;Y;;Tidsperiod (fr.o.m.) = 1973-08-01 00:00:00 (UTC)
1973-09-01 06:00:01;1973-10-01 06:00:00;1973-09;43.6;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1973-10-01 06:00:01;1973-11-01 06:00:00;1973-10;25.9;Y;;Värdet är summerat över = 1 månad
1973-11-01 06:00:01;1973-12-01 06:00:00;1973-11;29.3;Y;;
1973-12-01 06:00:01;1974-01-01 06:00:00;1973-12;55.1;Y;;Kvalitetskoderna:
1974-01-01 06:00:01;1974-02-01 06:00:00;1974-01;39.6;Y;;Grön (G) = Kontrollerade och godkända värden.
1974-02-01 06:00:01;1974-03-01 06:00:00;1974-02;66.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1974-03-01 06:00:01;1974-04-01 06:00:00;1974-03;3.3;Y;;
1974-04-01 06:00:01;1974-05-01 06:00:00;1974-04;5.7;Y;;Orsaker till saknade data:
1974-05-01 06:00:01;1974-06-01 06:00:00;1974-05;21.5;Y;;  stationen eller givaren har varit ur funktion.
1974-06-01 06:00:01;1974-07-01 06:00:00;1974-06;61.2;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1974-07-01 06:00:01;1974-08-01 06:00:00;1974-07;113.2;Y
1974-08-01 06:00:01;1974-09-01 06:00:00;1974-08;130.3;Y
1974-09-01 06:00:01;1974-10-01 06:00:00;1974-09;71.0;Y
1974-10-01 06:00:01;1974-11-01 06:00:00;1974-10;34.1;Y
1974-11-01 06:00:01;1974-12-01 06:00:00;1974-11;65.6;Y
1974-12-01 06:00:01;1975-01-01 06:00:00;1974-12;50.8;Y
1975-01-01 06:00:01;1975-02-01 06:00:00;1975-01;44.6;Y
1975-02-01 06:00:01;1975-03-01 06:00:00;1975-02;17.2;Y
1975-03-01 06:00:01;1975-04-01 06:00:00;1975-03;5.5;Y
1975-04-01 06:00:01;1975-05-01 06:00:00;1975-04;23.6;Y
1975-05-01 06:00:01;1975-06-01 06:00:00;1975-05;42.5;Y
1975-06-01 06:00:01;1975-07-01 06:00:00;1975-06;51.9;Y
1975-07-01 06:00:01;1975-08-01 06:00:00;1975-07;38.8;Y
1975-08-01 06:00:01;1975-09-01 06:00:00;1975-08;64.5;Y
1975-09-01 06:00:01;1975-10-01 06:00:00;1975-09;70.9;Y
1975-10-01 06:00:01;1975-11-01 06:00:00;1975-10;38.9;Y
1975-11-01 06:00:01;1975-12-01 06:00:00;1975-11;37.2;Y
1975-12-01 06:00:01;1976-01-01 06:00:00;1975-12;38.6;Y
1976-01-01 06:00:01;1976-02-01 06:00:00;1976-01;28.0;Y
1976-02-01 06:00:01;1976-03-01 06:00:00;1976-02;18.1;Y
1976-03-01 06:00:01;1976-04-01 06:00:00;1976-03;22.9;Y
1976-04-01 06:00:01;1976-05-01 06:00:00;1976-04;14.2;Y
1976-05-01 06:00:01;1976-06-01 06:00:00;1976-05;10.7;Y
1976-06-01 06:00:01;1976-07-01 06:00:00;1976-06;29.4;Y
1976-07-01 06:00:01;1976-08-01 06:00:00;1976-07;93.5;Y
1976-08-01 06:00:01;1976-09-01 06:00:00;1976-08;2.6;Y
1976-09-01 06:00:01;1976-10-01 06:00:00;1976-09;26.6;Y
1976-10-01 06:00:01;1976-11-01 06:00:00;1976-10;32.8;Y
1976-11-01 06:00:01;1976-12-01 06:00:00;1976-11;47.9;Y
1976-12-01 06:00:01;1977-01-01 06:00:00;1976-12;30.7;Y
1977-01-01 06:00:01;1977-02-01 06:00:00;1977-01;89.6;Y
1977-02-01 06:00:01;1977-03-01 06:00:00;1977-02;37.4;Y
1977-03-01 06:00:01;1977-04-01 06:00:00;1977-03;18.2;Y
