Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Malkälen D;149230;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1989-07-01 00:00:00;2018-05-01 15:00:00;235.0;64.3918;19.6903

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1989-06-01 06:00:01;1989-07-01 06:00:00;1989-06;21.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1989-07-01 06:00:01;1989-08-01 06:00:00;1989-07;27.0;Y;;Tidsperiod (fr.o.m.) = 1989-07-01 00:00:00 (UTC)
1989-08-01 06:00:01;1989-09-01 06:00:00;1989-08;66.2;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1989-09-01 06:00:01;1989-10-01 06:00:00;1989-09;47.6;Y;;Värdet är summerat över = 1 månad
1989-10-01 06:00:01;1989-11-01 06:00:00;1989-10;27.0;Y;;
1989-11-01 06:00:01;1989-12-01 06:00:00;1989-11;45.3;Y;;Kvalitetskoderna:
1989-12-01 06:00:01;1990-01-01 06:00:00;1989-12;23.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;55.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;37.4;Y;;
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;24.4;Y;;Orsaker till saknade data:
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;28.2;Y;;  stationen eller givaren har varit ur funktion.
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;31.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;29.1;Y
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;90.5;Y
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;52.7;Y
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;71.3;Y
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;24.2;Y
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;40.1;Y
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;49.0;Y
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;29.0;Y
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;9.3;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;44.4;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;10.2;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;67.0;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;70.6;Y
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;50.7;Y
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;28.8;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;39.9;Y
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;40.7;Y
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;46.1;Y
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;24.7;Y
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;37.3;Y
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;13.2;Y
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;36.3;Y
1992-04-01 06:00:01;1992-05-01 06:00:00;1992-04;28.8;Y
1992-05-01 06:00:01;1992-06-01 06:00:00;1992-05;20.5;Y
1992-06-01 06:00:01;1992-07-01 06:00:00;1992-06;42.5;Y
1992-07-01 06:00:01;1992-08-01 06:00:00;1992-07;90.4;Y
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;98.7;Y
1992-09-01 06:00:01;1992-10-01 06:00:00;1992-09;60.9;Y
1992-10-01 06:00:01;1992-11-01 06:00:00;1992-10;28.9;Y
1992-11-01 06:00:01;1992-12-01 06:00:00;1992-11;80.3;Y
1992-12-01 06:00:01;1993-01-01 06:00:00;1992-12;35.3;Y
1993-01-01 06:00:01;1993-02-01 06:00:00;1993-01;41.8;Y
1993-02-01 06:00:01;1993-03-01 06:00:00;1993-02;10.1;Y
1993-03-01 06:00:01;1993-04-01 06:00:00;1993-03;22.6;Y
1993-04-01 06:00:01;1993-05-01 06:00:00;1993-04;5.3;Y
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;36.5;Y
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;60.6;Y
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;139.3;Y
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;93.0;Y
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;31.0;Y
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;51.8;Y
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;26.4;Y
