Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Brännforssund;149390;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1989-07-01 00:00:00;2018-04-30 23:59:59;225.0;64.6517;19.3708

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1989-06-01 06:00:01;1989-07-01 06:00:00;1989-06;26.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1989-07-01 06:00:01;1989-08-01 06:00:00;1989-07;16.7;Y;;Tidsperiod (fr.o.m.) = 1989-07-01 00:00:00 (UTC)
1989-08-01 06:00:01;1989-09-01 06:00:00;1989-08;65.2;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1989-09-01 06:00:01;1989-10-01 06:00:00;1989-09;30.1;Y;;Värdet är summerat över = 1 månad
1989-10-01 06:00:01;1989-11-01 06:00:00;1989-10;25.7;Y;;
1989-11-01 06:00:01;1989-12-01 06:00:00;1989-11;44.3;Y;;Kvalitetskoderna:
1989-12-01 06:00:01;1990-01-01 06:00:00;1989-12;12.0;Y;;Grön (G) = Kontrollerade och godkända värden.
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;46.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;25.9;Y;;
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;25.2;Y;;Orsaker till saknade data:
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;21.1;Y;;  stationen eller givaren har varit ur funktion.
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;40.3;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;32.2;Y
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;127.8;Y
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;86.2;Y
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;40.9;Y
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;20.8;Y
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;36.6;Y
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;28.0;Y
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;30.4;Y
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;6.4;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;38.7;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;7.4;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;58.3;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;65.5;Y
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;55.4;Y
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;22.6;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;55.4;Y
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;32.5;Y
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;43.5;Y
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;26.2;Y
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;34.7;Y
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;15.7;Y
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;26.7;Y
1992-04-01 06:00:01;1992-05-01 06:00:00;1992-04;30.3;Y
1992-05-01 06:00:01;1992-06-01 06:00:00;1992-05;33.4;Y
1992-06-01 06:00:01;1992-07-01 06:00:00;1992-06;44.5;Y
1992-07-01 06:00:01;1992-08-01 06:00:00;1992-07;74.0;Y
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;144.5;Y
1992-09-01 06:00:01;1992-10-01 06:00:00;1992-09;52.6;Y
1992-10-01 06:00:01;1992-11-01 06:00:00;1992-10;25.8;Y
1992-11-01 06:00:01;1992-12-01 06:00:00;1992-11;66.2;Y
1992-12-01 06:00:01;1993-01-01 06:00:00;1992-12;31.2;Y
1993-01-01 06:00:01;1993-02-01 06:00:00;1993-01;32.6;Y
1993-02-01 06:00:01;1993-03-01 06:00:00;1993-02;12.3;Y
1993-03-01 06:00:01;1993-04-01 06:00:00;1993-03;22.0;Y
1993-04-01 06:00:01;1993-05-01 06:00:00;1993-04;4.7;Y
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;29.3;Y
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;56.7;Y
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;130.4;Y
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;60.3;Y
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;25.9;Y
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;62.4;Y
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;15.3;Y
1993-12-01 06:00:01;1994-01-01 06:00:00;1993-12;92.4;Y
1994-01-01 06:00:01;1994-02-01 06:00:00;1994-01;35.8;Y
1994-02-01 06:00:01;1994-03-01 06:00:00;1994-02;7.0;Y
1994-03-01 06:00:01;1994-04-01 06:00:00;1994-03;28.5;Y
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;21.6;Y
1994-05-01 06:00:01;1994-06-01 06:00:00;1994-05;14.0;Y
1994-06-01 06:00:01;1994-07-01 06:00:00;1994-06;54.7;Y
1994-07-01 06:00:01;1994-08-01 06:00:00;1994-07;35.8;Y
1994-08-01 06:00:01;1994-09-01 06:00:00;1994-08;18.7;Y
1994-09-01 06:00:01;1994-10-01 06:00:00;1994-09;56.8;Y
1994-10-01 06:00:01;1994-11-01 06:00:00;1994-10;47.8;Y
1994-11-01 06:00:01;1994-12-01 06:00:00;1994-11;25.7;Y
1994-12-01 06:00:01;1995-01-01 06:00:00;1994-12;30.9;Y
1995-01-01 06:00:01;1995-02-01 06:00:00;1995-01;42.8;Y
