Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Tavelsjö D;150020;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1989-07-01 00:00:00;2012-12-31 23:59:59;115.0;64.0406;20.0758
2013-01-01 00:00:00;2018-03-31 23:59:59;115.0;64.0406;20.0758

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1989-06-01 06:00:01;1989-07-01 06:00:00;1989-06;19.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1989-07-01 06:00:01;1989-08-01 06:00:00;1989-07;17.3;Y;;Tidsperiod (fr.o.m.) = 1989-07-01 00:00:00 (UTC)
1989-08-01 06:00:01;1989-09-01 06:00:00;1989-08;76.8;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1989-09-01 06:00:01;1989-10-01 06:00:00;1989-09;23.1;Y;;Värdet är summerat över = 1 månad
1989-10-01 06:00:01;1989-11-01 06:00:00;1989-10;40.0;Y;;
1989-11-01 06:00:01;1989-12-01 06:00:00;1989-11;74.5;Y;;Kvalitetskoderna:
1989-12-01 06:00:01;1990-01-01 06:00:00;1989-12;24.3;Y;;Grön (G) = Kontrollerade och godkända värden.
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;99.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;84.8;Y;;
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;35.2;Y;;Orsaker till saknade data:
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;24.7;Y;;  stationen eller givaren har varit ur funktion.
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;36.5;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;30.7;Y
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;116.7;Y
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;88.0;Y
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;114.2;Y
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;51.7;Y
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;64.1;Y
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;59.8;Y
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;64.1;Y
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;15.4;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;63.7;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;16.1;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;65.7;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;99.6;Y
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;20.5;Y
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;65.2;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;52.3;Y
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;58.4;Y
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;72.1;Y
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;42.1;Y
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;46.1;Y
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;17.3;Y
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;47.1;Y
1992-04-01 06:00:01;1992-05-01 06:00:00;1992-04;57.0;Y
1992-05-01 06:00:01;1992-06-01 06:00:00;1992-05;32.8;Y
1992-06-01 06:00:01;1992-07-01 06:00:00;1992-06;23.1;Y
1992-07-01 06:00:01;1992-08-01 06:00:00;1992-07;85.0;Y
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;138.7;Y
1992-09-01 06:00:01;1992-10-01 06:00:00;1992-09;75.7;Y
1992-10-01 06:00:01;1992-11-01 06:00:00;1992-10;75.1;Y
1992-11-01 06:00:01;1992-12-01 06:00:00;1992-11;134.8;Y
1992-12-01 06:00:01;1993-01-01 06:00:00;1992-12;39.0;Y
1993-01-01 06:00:01;1993-02-01 06:00:00;1993-01;52.1;Y
1993-02-01 06:00:01;1993-03-01 06:00:00;1993-02;7.8;Y
1993-03-01 06:00:01;1993-04-01 06:00:00;1993-03;21.7;Y
1993-04-01 06:00:01;1993-05-01 06:00:00;1993-04;10.0;Y
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;41.1;Y
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;59.0;Y
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;145.2;Y
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;129.1;Y
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;24.8;Y
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;65.4;Y
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;47.2;Y
1993-12-01 06:00:01;1994-01-01 06:00:00;1993-12;118.4;Y
1994-01-01 06:00:01;1994-02-01 06:00:00;1994-01;83.9;Y
1994-02-01 06:00:01;1994-03-01 06:00:00;1994-02;5.2;Y
1994-03-01 06:00:01;1994-04-01 06:00:00;1994-03;70.1;Y
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;33.1;Y
1994-05-01 06:00:01;1994-06-01 06:00:00;1994-05;18.4;Y
1994-06-01 06:00:01;1994-07-01 06:00:00;1994-06;66.0;Y
1994-07-01 06:00:01;1994-08-01 06:00:00;1994-07;12.5;Y
1994-08-01 06:00:01;1994-09-01 06:00:00;1994-08;28.8;Y
1994-09-01 06:00:01;1994-10-01 06:00:00;1994-09;68.7;Y
1994-10-01 06:00:01;1994-11-01 06:00:00;1994-10;62.1;Y
1994-11-01 06:00:01;1994-12-01 06:00:00;1994-11;35.7;Y
1994-12-01 06:00:01;1995-01-01 06:00:00;1994-12;71.7;Y
1995-01-01 06:00:01;1995-02-01 06:00:00;1995-01;74.3;Y
1995-02-01 06:00:01;1995-03-01 06:00:00;1995-02;46.4;Y
1995-03-01 06:00:01;1995-04-01 06:00:00;1995-03;92.5;Y
1995-04-01 06:00:01;1995-05-01 06:00:00;1995-04;61.0;Y
1995-05-01 06:00:01;1995-06-01 06:00:00;1995-05;64.8;Y
1995-06-01 06:00:01;1995-07-01 06:00:00;1995-06;48.8;Y
1995-07-01 06:00:01;1995-08-01 06:00:00;1995-07;100.7;Y
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;74.8;Y
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;13.5;Y
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;33.1;Y
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;23.1;Y
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;6.1;Y
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;2.0;Y
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;23.8;Y
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;7.7;Y
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;23.5;Y
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;53.6;Y
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;51.0;Y
