Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Brände;150200;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1989-12-01 00:00:00;2014-02-02 05:59:59;60.0;64.334;20.9608
2014-03-01 00:00:00;2018-04-30 23:59:59;60.0;64.334;20.9608

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1989-11-01 06:00:01;1989-12-01 06:00:00;1989-11;80.4;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1989-12-01 06:00:01;1990-01-01 06:00:00;1989-12;35.3;Y;;Tidsperiod (fr.o.m.) = 1989-12-01 00:00:00 (UTC)
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;107.7;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;77.7;Y;;Värdet är summerat över = 1 månad
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;31.0;Y;;
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;25.0;Y;;Kvalitetskoderna:
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;23.4;Y;;Grön (G) = Kontrollerade och godkända värden.
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;41.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;74.5;Y;;
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;80.7;Y;;Orsaker till saknade data:
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;74.7;Y;;  stationen eller givaren har varit ur funktion.
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;37.0;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;65.3;Y
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;48.1;Y
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;70.3;Y
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;18.8;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;68.6;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;20.7;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;91.5;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;103.7;Y
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;12.6;Y
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;70.3;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;64.9;Y
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;41.8;Y
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;89.2;Y
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;30.9;Y
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;29.4;Y
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;9.4;Y
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;52.9;Y
1992-04-01 06:00:01;1992-05-01 06:00:00;1992-04;56.0;Y
1992-05-01 06:00:01;1992-06-01 06:00:00;1992-05;30.9;Y
1992-06-01 06:00:01;1992-07-01 06:00:00;1992-06;32.9;Y
1992-07-01 06:00:01;1992-08-01 06:00:00;1992-07;80.8;Y
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;148.2;Y
1992-09-01 06:00:01;1992-10-01 06:00:00;1992-09;70.8;Y
1992-10-01 06:00:01;1992-11-01 06:00:00;1992-10;58.3;Y
1992-12-01 06:00:01;1993-01-01 06:00:00;1992-12;32.7;Y
1993-01-01 06:00:01;1993-02-01 06:00:00;1993-01;40.3;Y
1993-02-01 06:00:01;1993-03-01 06:00:00;1993-02;7.2;Y
1993-03-01 06:00:01;1993-04-01 06:00:00;1993-03;27.8;Y
1993-04-01 06:00:01;1993-05-01 06:00:00;1993-04;7.0;Y
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;21.5;Y
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;78.1;Y
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;120.9;Y
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;112.0;Y
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;40.6;Y
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;78.9;Y
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;24.4;Y
1993-12-01 06:00:01;1994-01-01 06:00:00;1993-12;97.5;Y
1994-01-01 06:00:01;1994-02-01 06:00:00;1994-01;72.3;Y
1994-02-01 06:00:01;1994-03-01 06:00:00;1994-02;5.0;Y
1994-03-01 06:00:01;1994-04-01 06:00:00;1994-03;68.5;Y
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;34.0;Y
1994-05-01 06:00:01;1994-06-01 06:00:00;1994-05;21.4;Y
1994-06-01 06:00:01;1994-07-01 06:00:00;1994-06;73.8;Y
1994-07-01 06:00:01;1994-08-01 06:00:00;1994-07;12.9;Y
1994-08-01 06:00:01;1994-09-01 06:00:00;1994-08;18.5;Y
1994-09-01 06:00:01;1994-10-01 06:00:00;1994-09;99.9;Y
1994-10-01 06:00:01;1994-11-01 06:00:00;1994-10;60.7;Y
1994-11-01 06:00:01;1994-12-01 06:00:00;1994-11;44.2;Y
1994-12-01 06:00:01;1995-01-01 06:00:00;1994-12;57.6;Y
1995-01-01 06:00:01;1995-02-01 06:00:00;1995-01;73.8;Y
1995-02-01 06:00:01;1995-03-01 06:00:00;1995-02;45.6;Y
1995-03-01 06:00:01;1995-04-01 06:00:00;1995-03;76.4;Y
1995-04-01 06:00:01;1995-05-01 06:00:00;1995-04;54.6;Y
1995-05-01 06:00:01;1995-06-01 06:00:00;1995-05;61.8;Y
1995-06-01 06:00:01;1995-07-01 06:00:00;1995-06;39.6;Y
1995-07-01 06:00:01;1995-08-01 06:00:00;1995-07;63.6;Y
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;72.7;Y
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;21.2;Y
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;35.1;Y
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;22.5;Y
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;11.0;Y
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;5.3;Y
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;12.1;Y
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;15.6;Y
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;29.2;Y
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;41.0;Y
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;68.1;Y
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;70.1;Y
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;12.7;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;76.5;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;73.0;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;126.8;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;51.0;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;29.1;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;42.2;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;45.9;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;59.1;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;31.5;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;54.8;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;77.2;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;34.9;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;71.2;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;76.9;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;73.1;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;23.0;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;59.7;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;69.8;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;51.9;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;24.9;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;68.1;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;91.2;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;153.8;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;151.3;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;27.8;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;160.8;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;61.6;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;28.3;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;57.3;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;74.6;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;57.6;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;42.5;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;13.5;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;49.3;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;47.5;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;45.6;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;9.4;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;90.8;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;44.6;Y
