Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Mårtensboda D;150280;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2005-11-01 00:00:00;2016-09-30 23:59:59;80.0;64.4489;20.9446

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2005-10-01 06:00:01;2005-11-01 06:00:00;2005-10;17.1;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;38.8;Y;;Tidsperiod (fr.o.m.) = 2005-11-01 00:00:00 (UTC)
2005-12-01 06:00:01;2006-01-01 06:00:00;2005-12;62.7;Y;;Tidsperiod (t.o.m.) = 2016-09-30 23:59:59 (UTC)
2006-01-01 06:00:01;2006-02-01 06:00:00;2006-01;20.3;Y;;Värdet är summerat över = 1 månad
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;23.7;Y;;
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;46.1;Y;;Kvalitetskoderna:
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;67.7;Y;;Grön (G) = Kontrollerade och godkända värden.
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;24.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;16.5;Y;;
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;46.9;Y;;Orsaker till saknade data:
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;80.2;Y;;  stationen eller givaren har varit ur funktion.
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;165.8;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;178.1;Y
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;116.0;Y
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;57.8;Y
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;61.3;Y
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;43.0;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;33.9;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;7.8;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;62.0;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;40.6;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;98.4;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;60.9;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;78.2;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;29.9;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;84.3;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;73.1;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;105.3;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;54.7;Y
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;50.3;Y
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;38.0;Y
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;9.3;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;99.5;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;124.4;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;98.5;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;26.1;Y
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;82.8;Y
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;77.7;Y
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;87.7;Y
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;42.2;Y
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;69.4;Y
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;20.4;Y
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;26.2;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;30.2;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;41.7;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;117.4;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;51.7;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;30.9;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;68.3;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;117.7;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;72.7;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;33.0;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;54.6;Y
