Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Bjuröklubb A;151280;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-01-01 00:00:00;2018-04-30 23:59:59;40.0;64.4812;21.5791

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;5.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;14.0;Y;;Tidsperiod (fr.o.m.) = 1996-01-01 00:00:00 (UTC)
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;9.7;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;25.3;Y;;Värdet är summerat över = 1 månad
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;36.4;Y;;
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;58.7;Y;;Kvalitetskoderna:
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;50.8;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;20.9;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;63.4;Y;;
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;57.3;Y;;Orsaker till saknade data:
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;103.3;Y;;  stationen eller givaren har varit ur funktion.
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;52.5;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;26.7;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;36.1;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;23.7;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;41.9;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;17.4;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;45.8;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;46.9;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;28.0;Y
