Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Kittelfjäll D;155770;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1978-06-01 00:00:00;2018-03-31 23:59:59;570.0;65.2574;15.5269

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1978-05-01 06:00:01;1978-06-01 06:00:00;1978-05;22.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1978-06-01 06:00:01;1978-07-01 06:00:00;1978-06;140.6;Y;;Tidsperiod (fr.o.m.) = 1978-06-01 00:00:00 (UTC)
1978-07-01 06:00:01;1978-08-01 06:00:00;1978-07;94.9;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1978-08-01 06:00:01;1978-09-01 06:00:00;1978-08;128.3;Y;;Värdet är summerat över = 1 månad
1978-09-01 06:00:01;1978-10-01 06:00:00;1978-09;131.1;Y;;
1978-10-01 06:00:01;1978-11-01 06:00:00;1978-10;44.7;Y;;Kvalitetskoderna:
1978-11-01 06:00:01;1978-12-01 06:00:00;1978-11;58.8;Y;;Grön (G) = Kontrollerade och godkända värden.
1978-12-01 06:00:01;1979-01-01 06:00:00;1978-12;27.6;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1979-01-01 06:00:01;1979-02-01 06:00:00;1979-01;34.5;Y;;
1979-02-01 06:00:01;1979-03-01 06:00:00;1979-02;37.0;Y;;Orsaker till saknade data:
1979-03-01 06:00:01;1979-04-01 06:00:00;1979-03;86.6;Y;;  stationen eller givaren har varit ur funktion.
1979-04-01 06:00:01;1979-05-01 06:00:00;1979-04;41.5;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1979-05-01 06:00:01;1979-06-01 06:00:00;1979-05;82.2;Y
1979-06-01 06:00:01;1979-07-01 06:00:00;1979-06;61.8;Y
1979-07-01 06:00:01;1979-08-01 06:00:00;1979-07;114.7;Y
1979-08-01 06:00:01;1979-09-01 06:00:00;1979-08;100.7;Y
1979-09-01 06:00:01;1979-10-01 06:00:00;1979-09;63.7;Y
1979-10-01 06:00:01;1979-11-01 06:00:00;1979-10;59.3;Y
1979-11-01 06:00:01;1979-12-01 06:00:00;1979-11;96.0;Y
1979-12-01 06:00:01;1980-01-01 06:00:00;1979-12;60.9;Y
1980-01-01 06:00:01;1980-02-01 06:00:00;1980-01;21.3;Y
1980-02-01 06:00:01;1980-03-01 06:00:00;1980-02;16.6;Y
1980-03-01 06:00:01;1980-04-01 06:00:00;1980-03;46.8;Y
1980-04-01 06:00:01;1980-05-01 06:00:00;1980-04;22.4;Y
1980-05-01 06:00:01;1980-06-01 06:00:00;1980-05;55.1;Y
1980-06-01 06:00:01;1980-07-01 06:00:00;1980-06;99.5;Y
1980-07-01 06:00:01;1980-08-01 06:00:00;1980-07;47.7;Y
1980-08-01 06:00:01;1980-09-01 06:00:00;1980-08;101.6;Y
1980-09-01 06:00:01;1980-10-01 06:00:00;1980-09;85.0;Y
1980-10-01 06:00:01;1980-11-01 06:00:00;1980-10;132.0;Y
1980-11-01 06:00:01;1980-12-01 06:00:00;1980-11;63.5;Y
