Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Blaiken D;156780;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2007-11-01 00:00:00;2012-12-31 23:59:59;350.0;65.2608;16.8413
2013-01-01 00:00:00;2018-05-01 15:00:00;350.0;65.2511;16.857
1964-09-01 00:00:00;2007-09-01 23:59:59;350.0;65.2577;16.8388

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1964-08-01 06:00:01;1964-09-01 06:00:00;1964-08;153.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1964-09-01 06:00:01;1964-10-01 06:00:00;1964-09;43.9;Y;;Tidsperiod (fr.o.m.) = 1964-09-01 00:00:00 (UTC)
1964-10-01 06:00:01;1964-11-01 06:00:00;1964-10;33.8;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1964-11-01 06:00:01;1964-12-01 06:00:00;1964-11;46.3;Y;;Värdet är summerat över = 1 månad
1964-12-01 06:00:01;1965-01-01 06:00:00;1964-12;29.7;Y;;
1965-01-01 06:00:01;1965-02-01 06:00:00;1965-01;39.1;Y;;Kvalitetskoderna:
1965-02-01 06:00:01;1965-03-01 06:00:00;1965-02;22.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1965-03-01 06:00:01;1965-04-01 06:00:00;1965-03;26.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1965-04-01 06:00:01;1965-05-01 06:00:00;1965-04;19.6;Y;;
1965-05-01 06:00:01;1965-06-01 06:00:00;1965-05;34.4;Y;;Orsaker till saknade data:
1965-06-01 06:00:01;1965-07-01 06:00:00;1965-06;40.1;Y;;  stationen eller givaren har varit ur funktion.
1965-07-01 06:00:01;1965-08-01 06:00:00;1965-07;54.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1965-08-01 06:00:01;1965-09-01 06:00:00;1965-08;40.2;Y
1965-09-01 06:00:01;1965-10-01 06:00:00;1965-09;47.4;Y
1965-10-01 06:00:01;1965-11-01 06:00:00;1965-10;28.9;Y
1965-11-01 06:00:01;1965-12-01 06:00:00;1965-11;18.8;Y
1965-12-01 06:00:01;1966-01-01 06:00:00;1965-12;29.8;Y
1966-01-01 06:00:01;1966-02-01 06:00:00;1966-01;23.0;Y
1966-02-01 06:00:01;1966-03-01 06:00:00;1966-02;41.1;Y
1966-03-01 06:00:01;1966-04-01 06:00:00;1966-03;46.4;Y
1966-04-01 06:00:01;1966-05-01 06:00:00;1966-04;16.1;Y
1966-05-01 06:00:01;1966-06-01 06:00:00;1966-05;49.9;Y
1966-06-01 06:00:01;1966-07-01 06:00:00;1966-06;47.8;Y
1966-07-01 06:00:01;1966-08-01 06:00:00;1966-07;138.4;Y
1966-08-01 06:00:01;1966-09-01 06:00:00;1966-08;47.2;Y
1966-09-01 06:00:01;1966-10-01 06:00:00;1966-09;70.9;Y
1966-10-01 06:00:01;1966-11-01 06:00:00;1966-10;34.9;Y
1966-11-01 06:00:01;1966-12-01 06:00:00;1966-11;31.5;Y
1966-12-01 06:00:01;1967-01-01 06:00:00;1966-12;46.7;Y
1967-01-01 06:00:01;1967-02-01 06:00:00;1967-01;23.9;Y
1967-02-01 06:00:01;1967-03-01 06:00:00;1967-02;33.2;Y
1967-03-01 06:00:01;1967-04-01 06:00:00;1967-03;29.7;Y
1967-04-01 06:00:01;1967-05-01 06:00:00;1967-04;15.0;Y
1967-05-01 06:00:01;1967-06-01 06:00:00;1967-05;43.0;G
1967-06-01 06:00:01;1967-07-01 06:00:00;1967-06;43.1;Y
1967-07-01 06:00:01;1967-08-01 06:00:00;1967-07;50.7;Y
1967-08-01 06:00:01;1967-09-01 06:00:00;1967-08;71.4;Y
1967-09-01 06:00:01;1967-10-01 06:00:00;1967-09;46.8;Y
1967-10-01 06:00:01;1967-11-01 06:00:00;1967-10;74.5;Y
1967-11-01 06:00:01;1967-12-01 06:00:00;1967-11;51.8;Y
1967-12-01 06:00:01;1968-01-01 06:00:00;1967-12;35.1;Y
1968-01-01 06:00:01;1968-02-01 06:00:00;1968-01;32.6;Y
1968-02-01 06:00:01;1968-03-01 06:00:00;1968-02;5.8;Y
1968-03-01 06:00:01;1968-04-01 06:00:00;1968-03;28.4;Y
1968-04-01 06:00:01;1968-05-01 06:00:00;1968-04;31.7;Y
1968-05-01 06:00:01;1968-06-01 06:00:00;1968-05;27.6;Y
1968-06-01 06:00:01;1968-07-01 06:00:00;1968-06;46.6;Y
1968-07-01 06:00:01;1968-08-01 06:00:00;1968-07;3.3;Y
1968-08-01 06:00:01;1968-09-01 06:00:00;1968-08;12.7;Y
1968-09-01 06:00:01;1968-10-01 06:00:00;1968-09;47.9;Y
1968-10-01 06:00:01;1968-11-01 06:00:00;1968-10;63.9;Y
1968-11-01 06:00:01;1968-12-01 06:00:00;1968-11;26.6;Y
