Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Nordanås;156840;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1989-07-01 00:00:00;2018-04-30 23:59:59;405.0;65.4635;16.0904

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1989-06-01 06:00:01;1989-07-01 06:00:00;1989-06;8.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1989-07-01 06:00:01;1989-08-01 06:00:00;1989-07;51.0;Y;;Tidsperiod (fr.o.m.) = 1989-07-01 00:00:00 (UTC)
1989-08-01 06:00:01;1989-09-01 06:00:00;1989-08;78.9;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1989-09-01 06:00:01;1989-10-01 06:00:00;1989-09;29.0;Y;;Värdet är summerat över = 1 månad
1989-10-01 06:00:01;1989-11-01 06:00:00;1989-10;28.0;Y;;
1989-11-01 06:00:01;1989-12-01 06:00:00;1989-11;32.7;Y;;Kvalitetskoderna:
1989-12-01 06:00:01;1990-01-01 06:00:00;1989-12;46.4;Y;;Grön (G) = Kontrollerade och godkända värden.
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;114.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;58.7;Y;;
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;64.1;Y;;Orsaker till saknade data:
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;16.8;Y;;  stationen eller givaren har varit ur funktion.
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;19.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;27.3;Y
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;136.4;Y
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;78.3;Y
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;84.1;Y
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;46.1;Y
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;17.9;Y
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;57.9;Y
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;77.5;Y
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;7.7;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;46.7;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;9.1;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;15.6;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;125.5;Y
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;57.4;Y
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;54.0;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;103.6;Y
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;50.5;Y
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;51.5;Y
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;36.8;Y
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;55.4;Y
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;18.1;Y
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;41.2;Y
1992-04-01 06:00:01;1992-05-01 06:00:00;1992-04;76.3;Y
1992-05-01 06:00:01;1992-06-01 06:00:00;1992-05;22.7;Y
1992-06-01 06:00:01;1992-07-01 06:00:00;1992-06;31.2;Y
1992-07-01 06:00:01;1992-08-01 06:00:00;1992-07;130.8;Y
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;117.9;Y
1992-09-01 06:00:01;1992-10-01 06:00:00;1992-09;31.7;Y
1992-10-01 06:00:01;1992-11-01 06:00:00;1992-10;32.1;Y
1992-11-01 06:00:01;1992-12-01 06:00:00;1992-11;102.5;Y
1992-12-01 06:00:01;1993-01-01 06:00:00;1992-12;37.0;Y
1993-01-01 06:00:01;1993-02-01 06:00:00;1993-01;71.7;Y
1993-02-01 06:00:01;1993-03-01 06:00:00;1993-02;42.1;Y
1993-03-01 06:00:01;1993-04-01 06:00:00;1993-03;23.5;Y
1993-04-01 06:00:01;1993-05-01 06:00:00;1993-04;3.6;Y
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;60.6;Y
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;98.8;Y
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;195.8;Y
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;158.2;Y
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;32.0;Y
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;63.2;Y
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;13.4;Y
1993-12-01 06:00:01;1994-01-01 06:00:00;1993-12;59.3;Y
1994-01-01 06:00:01;1994-02-01 06:00:00;1994-01;81.0;Y
1994-02-01 06:00:01;1994-03-01 06:00:00;1994-02;5.4;Y
1994-03-01 06:00:01;1994-04-01 06:00:00;1994-03;24.6;Y
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;30.1;Y
1994-05-01 06:00:01;1994-06-01 06:00:00;1994-05;4.5;Y
1994-06-01 06:00:01;1994-07-01 06:00:00;1994-06;77.1;Y
1994-07-01 06:00:01;1994-08-01 06:00:00;1994-07;22.2;Y
1994-08-01 06:00:01;1994-09-01 06:00:00;1994-08;27.9;Y
1994-09-01 06:00:01;1994-10-01 06:00:00;1994-09;54.1;Y
1994-10-01 06:00:01;1994-11-01 06:00:00;1994-10;47.1;Y
1994-11-01 06:00:01;1994-12-01 06:00:00;1994-11;17.5;Y
1994-12-01 06:00:01;1995-01-01 06:00:00;1994-12;43.3;Y
1995-01-01 06:00:01;1995-02-01 06:00:00;1995-01;46.0;Y
1995-02-01 06:00:01;1995-03-01 06:00:00;1995-02;41.8;Y
1995-03-01 06:00:01;1995-04-01 06:00:00;1995-03;57.2;Y
1995-04-01 06:00:01;1995-05-01 06:00:00;1995-04;30.0;Y
1995-05-01 06:00:01;1995-06-01 06:00:00;1995-05;58.3;Y
1995-06-01 06:00:01;1995-07-01 06:00:00;1995-06;93.9;Y
1995-07-01 06:00:01;1995-08-01 06:00:00;1995-07;72.8;Y
1995-08-01 06:00:01;1995-09-01 06:00:00;1995-08;50.6;Y
1995-09-01 06:00:01;1995-10-01 06:00:00;1995-09;24.7;Y
1995-10-01 06:00:01;1995-11-01 06:00:00;1995-10;57.0;Y
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;18.9;Y
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;9.6;Y
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;5.2;Y
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;18.4;Y
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;4.8;Y
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;29.6;Y
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;35.1;Y
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;68.3;Y
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;90.6;Y
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;38.2;Y
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;58.6;Y
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;79.3;Y
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;78.9;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;60.9;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;34.5;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;40.5;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;60.9;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;39.0;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;16.9;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;14.2;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;84.3;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;34.0;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;47.1;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;15.9;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;43.7;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;22.7;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;55.0;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;77.4;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;32.0;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;39.8;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;38.3;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;98.5;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;237.4;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;155.6;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;65.9;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;88.9;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;17.8;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;35.9;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;46.3;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;43.6;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;28.4;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;49.6;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;29.4;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;95.5;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;64.8;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;20.8;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;43.1;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;47.9;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;63.6;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;38.2;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;46.5;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;45.1;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;12.2;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;41.8;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;35.3;Y
2000-06-01 06:00:01;2000-07-01 06:00:00;2000-06;87.2;Y
2000-07-01 06:00:01;2000-08-01 06:00:00;2000-07;72.4;Y
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;163.1;Y
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;26.0;Y
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;88.8;Y
2000-11-01 06:00:01;2000-12-01 06:00:00;2000-11;95.9;Y
2000-12-01 06:00:01;2001-01-01 06:00:00;2000-12;75.1;Y
2001-01-01 06:00:01;2001-02-01 06:00:00;2001-01;27.9;Y
2001-02-01 06:00:01;2001-03-01 06:00:00;2001-02;55.6;Y
2001-03-01 06:00:01;2001-04-01 06:00:00;2001-03;24.8;Y
2001-04-01 06:00:01;2001-05-01 06:00:00;2001-04;53.0;Y
2001-05-01 06:00:01;2001-06-01 06:00:00;2001-05;27.1;Y
2001-06-01 06:00:01;2001-07-01 06:00:00;2001-06;70.3;Y
2001-07-01 06:00:01;2001-08-01 06:00:00;2001-07;204.9;Y
2001-08-01 06:00:01;2001-09-01 06:00:00;2001-08;170.0;Y
2001-09-01 06:00:01;2001-10-01 06:00:00;2001-09;76.8;Y
2001-10-01 06:00:01;2001-11-01 06:00:00;2001-10;101.3;Y
2001-11-01 06:00:01;2001-12-01 06:00:00;2001-11;64.1;Y
2001-12-01 06:00:01;2002-01-01 06:00:00;2001-12;23.4;Y
2002-01-01 06:00:01;2002-02-01 06:00:00;2002-01;27.3;Y
2002-02-01 06:00:01;2002-03-01 06:00:00;2002-02;75.7;Y
2002-03-01 06:00:01;2002-04-01 06:00:00;2002-03;56.4;Y
2002-04-01 06:00:01;2002-05-01 06:00:00;2002-04;15.5;Y
2002-05-01 06:00:01;2002-06-01 06:00:00;2002-05;4.9;Y
2002-06-01 06:00:01;2002-07-01 06:00:00;2002-06;56.4;Y
2002-07-01 06:00:01;2002-08-01 06:00:00;2002-07;107.3;Y
2002-08-01 06:00:01;2002-09-01 06:00:00;2002-08;22.8;Y
2002-09-01 06:00:01;2002-10-01 06:00:00;2002-09;41.8;Y
2002-10-01 06:00:01;2002-11-01 06:00:00;2002-10;72.8;Y
2002-11-01 06:00:01;2002-12-01 06:00:00;2002-11;23.1;Y
2002-12-01 06:00:01;2003-01-01 06:00:00;2002-12;39.9;Y
2003-01-01 06:00:01;2003-02-01 06:00:00;2003-01;62.9;Y
2003-02-01 06:00:01;2003-03-01 06:00:00;2003-02;7.5;Y
2003-03-01 06:00:01;2003-04-01 06:00:00;2003-03;13.2;Y
2003-04-01 06:00:01;2003-05-01 06:00:00;2003-04;23.9;Y
2003-05-01 06:00:01;2003-06-01 06:00:00;2003-05;69.4;Y
2003-06-01 06:00:01;2003-07-01 06:00:00;2003-06;56.7;Y
2003-07-01 06:00:01;2003-08-01 06:00:00;2003-07;52.9;Y
2003-08-01 06:00:01;2003-09-01 06:00:00;2003-08;114.6;Y
2003-09-01 06:00:01;2003-10-01 06:00:00;2003-09;24.4;Y
2003-10-01 06:00:01;2003-11-01 06:00:00;2003-10;26.3;Y
2003-11-01 06:00:01;2003-12-01 06:00:00;2003-11;30.4;Y
2003-12-01 06:00:01;2004-01-01 06:00:00;2003-12;74.7;Y
2004-01-01 06:00:01;2004-02-01 06:00:00;2004-01;25.1;Y
2004-02-01 06:00:01;2004-03-01 06:00:00;2004-02;41.6;Y
2004-03-01 06:00:01;2004-04-01 06:00:00;2004-03;44.1;Y
2004-04-01 06:00:01;2004-05-01 06:00:00;2004-04;14.8;Y
2004-05-01 06:00:01;2004-06-01 06:00:00;2004-05;2.9;Y
2004-06-01 06:00:01;2004-07-01 06:00:00;2004-06;76.6;Y
2004-07-01 06:00:01;2004-08-01 06:00:00;2004-07;185.5;Y
2004-08-01 06:00:01;2004-09-01 06:00:00;2004-08;87.1;Y
2004-09-01 06:00:01;2004-10-01 06:00:00;2004-09;90.7;Y
2004-10-01 06:00:01;2004-11-01 06:00:00;2004-10;48.7;Y
2004-11-01 06:00:01;2004-12-01 06:00:00;2004-11;34.4;Y
2004-12-01 06:00:01;2005-01-01 06:00:00;2004-12;55.6;Y
2005-01-01 06:00:01;2005-02-01 06:00:00;2005-01;69.2;Y
2005-02-01 06:00:01;2005-03-01 06:00:00;2005-02;26.0;Y
2005-03-01 06:00:01;2005-04-01 06:00:00;2005-03;19.3;Y
2005-04-01 06:00:01;2005-05-01 06:00:00;2005-04;6.5;Y
2005-05-01 06:00:01;2005-06-01 06:00:00;2005-05;76.4;Y
2005-06-01 06:00:01;2005-07-01 06:00:00;2005-06;86.9;Y
2005-07-01 06:00:01;2005-08-01 06:00:00;2005-07;45.7;Y
2005-08-01 06:00:01;2005-09-01 06:00:00;2005-08;137.1;Y
2005-09-01 06:00:01;2005-10-01 06:00:00;2005-09;26.1;Y
2005-10-01 06:00:01;2005-11-01 06:00:00;2005-10;27.5;Y
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;47.7;Y
2005-12-01 06:00:01;2006-01-01 06:00:00;2005-12;46.6;Y
2006-01-01 06:00:01;2006-02-01 06:00:00;2006-01;38.3;Y
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;17.1;Y
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;13.6;Y
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;34.6;Y
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;62.0;Y
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;45.2;Y
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;84.6;Y
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;31.5;Y
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;109.3;Y
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;65.5;Y
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;103.1;Y
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;83.2;Y
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;39.6;Y
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;44.3;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;10.5;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;25.7;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;57.6;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;9.9;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;137.9;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;53.0;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;25.9;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;31.5;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;36.2;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;44.3;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;53.8;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;45.7;Y
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;40.3;Y
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;26.3;Y
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;35.0;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;119.5;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;15.5;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;64.7;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;30.5;Y
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;41.5;Y
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;41.9;Y
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;47.5;Y
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;29.4;Y
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;38.9;Y
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;16.6;Y
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;42.5;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;51.1;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;39.9;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;126.4;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;88.3;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;42.9;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;29.7;Y
