Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Fjällsjönäs;156880;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1973-08-01 00:00:00;1998-09-30 23:59:59;410.0;65.6095;16.6641
1998-10-01 00:00:00;2018-05-01 15:00:00;425.0;65.6242;16.6077

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1973-07-01 06:00:01;1973-08-01 06:00:00;1973-07;88.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1973-08-01 06:00:01;1973-09-01 06:00:00;1973-08;59.2;Y;;Tidsperiod (fr.o.m.) = 1973-08-01 00:00:00 (UTC)
1973-09-01 06:00:01;1973-10-01 06:00:00;1973-09;41.5;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1973-10-01 06:00:01;1973-11-01 06:00:00;1973-10;25.0;Y;;Värdet är summerat över = 1 månad
1973-11-01 06:00:01;1973-12-01 06:00:00;1973-11;48.2;Y;;
1973-12-01 06:00:01;1974-01-01 06:00:00;1973-12;60.7;Y;;Kvalitetskoderna:
1974-01-01 06:00:01;1974-02-01 06:00:00;1974-01;39.6;Y;;Grön (G) = Kontrollerade och godkända värden.
1974-02-01 06:00:01;1974-03-01 06:00:00;1974-02;47.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1974-03-01 06:00:01;1974-04-01 06:00:00;1974-03;3.9;Y;;
1974-04-01 06:00:01;1974-05-01 06:00:00;1974-04;6.2;Y;;Orsaker till saknade data:
1974-05-01 06:00:01;1974-06-01 06:00:00;1974-05;3.4;Y;;  stationen eller givaren har varit ur funktion.
1974-06-01 06:00:01;1974-07-01 06:00:00;1974-06;48.0;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1974-07-01 06:00:01;1974-08-01 06:00:00;1974-07;140.8;Y
1974-08-01 06:00:01;1974-09-01 06:00:00;1974-08;59.6;Y
1974-09-01 06:00:01;1974-10-01 06:00:00;1974-09;91.1;Y
1974-10-01 06:00:01;1974-11-01 06:00:00;1974-10;38.7;Y
1974-11-01 06:00:01;1974-12-01 06:00:00;1974-11;78.6;Y
1974-12-01 06:00:01;1975-01-01 06:00:00;1974-12;45.1;Y
1975-01-01 06:00:01;1975-02-01 06:00:00;1975-01;67.5;Y
1975-02-01 06:00:01;1975-03-01 06:00:00;1975-02;17.6;Y
1975-03-01 06:00:01;1975-04-01 06:00:00;1975-03;10.9;Y
1975-04-01 06:00:01;1975-05-01 06:00:00;1975-04;37.3;Y
1975-05-01 06:00:01;1975-06-01 06:00:00;1975-05;65.5;Y
1975-06-01 06:00:01;1975-07-01 06:00:00;1975-06;30.7;Y
1975-07-01 06:00:01;1975-08-01 06:00:00;1975-07;73.0;Y
1975-08-01 06:00:01;1975-09-01 06:00:00;1975-08;69.7;Y
1975-09-01 06:00:01;1975-10-01 06:00:00;1975-09;120.7;Y
1975-10-01 06:00:01;1975-11-01 06:00:00;1975-10;47.0;Y
1975-11-01 06:00:01;1975-12-01 06:00:00;1975-11;35.1;Y
1975-12-01 06:00:01;1976-01-01 06:00:00;1975-12;92.9;Y
1976-01-01 06:00:01;1976-02-01 06:00:00;1976-01;52.4;Y
1976-02-01 06:00:01;1976-03-01 06:00:00;1976-02;14.8;Y
1976-03-01 06:00:01;1976-04-01 06:00:00;1976-03;20.8;Y
1976-04-01 06:00:01;1976-05-01 06:00:00;1976-04;13.6;Y
1976-05-01 06:00:01;1976-06-01 06:00:00;1976-05;22.2;Y
1976-06-01 06:00:01;1976-07-01 06:00:00;1976-06;14.9;Y
1976-07-01 06:00:01;1976-08-01 06:00:00;1976-07;114.1;Y
1976-08-01 06:00:01;1976-09-01 06:00:00;1976-08;15.3;Y
1976-09-01 06:00:01;1976-10-01 06:00:00;1976-09;50.9;Y
1976-10-01 06:00:01;1976-11-01 06:00:00;1976-10;50.1;Y
1976-11-01 06:00:01;1976-12-01 06:00:00;1976-11;55.0;Y
1976-12-01 06:00:01;1977-01-01 06:00:00;1976-12;48.0;Y
1977-01-01 06:00:01;1977-02-01 06:00:00;1977-01;79.0;Y
1977-02-01 06:00:01;1977-03-01 06:00:00;1977-02;21.5;Y
1977-03-01 06:00:01;1977-04-01 06:00:00;1977-03;21.6;Y
1977-04-01 06:00:01;1977-05-01 06:00:00;1977-04;56.4;Y
1977-05-01 06:00:01;1977-06-01 06:00:00;1977-05;28.9;Y
1977-06-01 06:00:01;1977-07-01 06:00:00;1977-06;79.4;Y
1977-07-01 06:00:01;1977-08-01 06:00:00;1977-07;146.5;Y
1977-08-01 06:00:01;1977-09-01 06:00:00;1977-08;89.3;Y
1977-09-01 06:00:01;1977-10-01 06:00:00;1977-09;39.1;Y
1977-10-01 06:00:01;1977-11-01 06:00:00;1977-10;34.5;Y
1977-11-01 06:00:01;1977-12-01 06:00:00;1977-11;48.5;Y
1977-12-01 06:00:01;1978-01-01 06:00:00;1977-12;49.8;Y
1978-01-01 06:00:01;1978-02-01 06:00:00;1978-01;55.1;Y
1978-02-01 06:00:01;1978-03-01 06:00:00;1978-02;13.1;Y
1978-03-01 06:00:01;1978-04-01 06:00:00;1978-03;42.4;Y
1978-04-01 06:00:01;1978-05-01 06:00:00;1978-04;36.9;Y
1978-05-01 06:00:01;1978-06-01 06:00:00;1978-05;8.5;Y
1978-06-01 06:00:01;1978-07-01 06:00:00;1978-06;86.5;Y
1978-07-01 06:00:01;1978-08-01 06:00:00;1978-07;106.7;Y
1978-08-01 06:00:01;1978-09-01 06:00:00;1978-08;107.2;Y
1978-09-01 06:00:01;1978-10-01 06:00:00;1978-09;98.7;Y
1978-10-01 06:00:01;1978-11-01 06:00:00;1978-10;36.7;Y
1978-11-01 06:00:01;1978-12-01 06:00:00;1978-11;45.2;Y
1978-12-01 06:00:01;1979-01-01 06:00:00;1978-12;23.2;Y
1979-01-01 06:00:01;1979-02-01 06:00:00;1979-01;22.2;Y
1979-02-01 06:00:01;1979-03-01 06:00:00;1979-02;24.0;Y
1979-03-01 06:00:01;1979-04-01 06:00:00;1979-03;53.5;Y
1979-04-01 06:00:01;1979-05-01 06:00:00;1979-04;25.9;Y
1979-05-01 06:00:01;1979-06-01 06:00:00;1979-05;81.0;Y
1979-06-01 06:00:01;1979-07-01 06:00:00;1979-06;43.3;Y
1979-07-01 06:00:01;1979-08-01 06:00:00;1979-07;98.7;Y
1979-08-01 06:00:01;1979-09-01 06:00:00;1979-08;99.2;Y
1979-09-01 06:00:01;1979-10-01 06:00:00;1979-09;52.0;Y
1979-10-01 06:00:01;1979-11-01 06:00:00;1979-10;40.8;Y
1979-11-01 06:00:01;1979-12-01 06:00:00;1979-11;80.9;Y
1979-12-01 06:00:01;1980-01-01 06:00:00;1979-12;49.6;Y
1980-01-01 06:00:01;1980-02-01 06:00:00;1980-01;8.4;Y
1980-02-01 06:00:01;1980-03-01 06:00:00;1980-02;17.3;Y
1980-03-01 06:00:01;1980-04-01 06:00:00;1980-03;36.8;Y
1980-04-01 06:00:01;1980-05-01 06:00:00;1980-04;11.4;Y
1980-05-01 06:00:01;1980-06-01 06:00:00;1980-05;52.8;Y
1980-06-01 06:00:01;1980-07-01 06:00:00;1980-06;90.9;Y
1980-07-01 06:00:01;1980-08-01 06:00:00;1980-07;35.0;Y
1980-08-01 06:00:01;1980-09-01 06:00:00;1980-08;107.6;Y
1980-09-01 06:00:01;1980-10-01 06:00:00;1980-09;61.4;Y
1980-10-01 06:00:01;1980-11-01 06:00:00;1980-10;86.9;Y
1980-11-01 06:00:01;1980-12-01 06:00:00;1980-11;47.4;Y
1980-12-01 06:00:01;1981-01-01 06:00:00;1980-12;38.2;Y
1981-01-01 06:00:01;1981-02-01 06:00:00;1981-01;59.0;Y
1981-02-01 06:00:01;1981-03-01 06:00:00;1981-02;14.6;Y
1981-03-01 06:00:01;1981-04-01 06:00:00;1981-03;67.0;Y
1981-04-01 06:00:01;1981-05-01 06:00:00;1981-04;10.8;Y
1981-05-01 06:00:01;1981-06-01 06:00:00;1981-05;9.5;Y
1981-06-01 06:00:01;1981-07-01 06:00:00;1981-06;73.4;Y
1981-07-01 06:00:01;1981-08-01 06:00:00;1981-07;207.5;Y
1981-08-01 06:00:01;1981-09-01 06:00:00;1981-08;24.9;Y
1981-09-01 06:00:01;1981-10-01 06:00:00;1981-09;42.8;Y
1981-10-01 06:00:01;1981-11-01 06:00:00;1981-10;113.2;Y
1981-11-01 06:00:01;1981-12-01 06:00:00;1981-11;50.4;Y
1981-12-01 06:00:01;1982-01-01 06:00:00;1981-12;32.3;Y
1982-02-01 06:00:01;1982-03-01 06:00:00;1982-02;16.0;Y
1982-03-01 06:00:01;1982-04-01 06:00:00;1982-03;39.9;Y
1982-04-01 06:00:01;1982-05-01 06:00:00;1982-04;22.0;Y
1982-05-01 06:00:01;1982-06-01 06:00:00;1982-05;46.9;Y
1982-06-01 06:00:01;1982-07-01 06:00:00;1982-06;5.8;Y
1982-07-01 06:00:01;1982-08-01 06:00:00;1982-07;40.1;Y
1982-08-01 06:00:01;1982-09-01 06:00:00;1982-08;98.6;Y
1982-09-01 06:00:01;1982-10-01 06:00:00;1982-09;64.5;Y
1982-10-01 06:00:01;1982-11-01 06:00:00;1982-10;42.8;Y
1982-11-01 06:00:01;1982-12-01 06:00:00;1982-11;69.4;Y
1982-12-01 06:00:01;1983-01-01 06:00:00;1982-12;44.6;Y
1983-01-01 06:00:01;1983-02-01 06:00:00;1983-01;53.7;Y
1983-02-01 06:00:01;1983-03-01 06:00:00;1983-02;13.3;Y
1983-03-01 06:00:01;1983-04-01 06:00:00;1983-03;24.2;Y
1983-04-01 06:00:01;1983-05-01 06:00:00;1983-04;42.2;Y
1983-05-01 06:00:01;1983-06-01 06:00:00;1983-05;50.1;Y
1983-06-01 06:00:01;1983-07-01 06:00:00;1983-06;90.7;Y
1983-07-01 06:00:01;1983-08-01 06:00:00;1983-07;62.5;Y
1983-08-01 06:00:01;1983-09-01 06:00:00;1983-08;28.9;Y
1983-09-01 06:00:01;1983-10-01 06:00:00;1983-09;189.8;Y
1983-10-01 06:00:01;1983-11-01 06:00:00;1983-10;117.6;Y
1983-11-01 06:00:01;1983-12-01 06:00:00;1983-11;33.1;Y
1983-12-01 06:00:01;1984-01-01 06:00:00;1983-12;46.3;Y
1984-01-01 06:00:01;1984-02-01 06:00:00;1984-01;38.5;Y
1984-02-01 06:00:01;1984-03-01 06:00:00;1984-02;28.2;Y
1984-03-01 06:00:01;1984-04-01 06:00:00;1984-03;34.1;Y
1984-04-01 06:00:01;1984-05-01 06:00:00;1984-04;14.8;Y
1984-05-01 06:00:01;1984-06-01 06:00:00;1984-05;19.1;Y
1984-06-01 06:00:01;1984-07-01 06:00:00;1984-06;86.0;Y
1984-07-01 06:00:01;1984-08-01 06:00:00;1984-07;39.6;Y
1984-08-01 06:00:01;1984-09-01 06:00:00;1984-08;118.3;Y
1984-09-01 06:00:01;1984-10-01 06:00:00;1984-09;51.6;Y
1984-10-01 06:00:01;1984-11-01 06:00:00;1984-10;139.2;Y
1984-11-01 06:00:01;1984-12-01 06:00:00;1984-11;75.5;Y
1984-12-01 06:00:01;1985-01-01 06:00:00;1984-12;36.3;Y
1985-01-01 06:00:01;1985-02-01 06:00:00;1985-01;13.2;Y
1985-02-01 06:00:01;1985-03-01 06:00:00;1985-02;18.2;Y
1985-03-01 06:00:01;1985-04-01 06:00:00;1985-03;40.4;Y
1985-04-01 06:00:01;1985-05-01 06:00:00;1985-04;15.0;Y
1985-05-01 06:00:01;1985-06-01 06:00:00;1985-05;44.3;Y
1985-06-01 06:00:01;1985-07-01 06:00:00;1985-06;92.0;Y
1985-07-01 06:00:01;1985-08-01 06:00:00;1985-07;90.3;Y
1985-08-01 06:00:01;1985-09-01 06:00:00;1985-08;167.4;Y
1985-09-01 06:00:01;1985-10-01 06:00:00;1985-09;120.0;Y
1985-10-01 06:00:01;1985-11-01 06:00:00;1985-10;56.5;Y
1985-11-01 06:00:01;1985-12-01 06:00:00;1985-11;79.7;Y
1985-12-01 06:00:01;1986-01-01 06:00:00;1985-12;28.8;Y
1986-01-01 06:00:01;1986-02-01 06:00:00;1986-01;50.4;Y
1986-02-01 06:00:01;1986-03-01 06:00:00;1986-02;6.2;Y
1986-03-01 06:00:01;1986-04-01 06:00:00;1986-03;42.7;Y
1986-04-01 06:00:01;1986-05-01 06:00:00;1986-04;37.6;Y
1986-05-01 06:00:01;1986-06-01 06:00:00;1986-05;108.4;Y
1986-06-01 06:00:01;1986-07-01 06:00:00;1986-06;8.7;Y
1986-07-01 06:00:01;1986-08-01 06:00:00;1986-07;89.9;Y
1986-08-01 06:00:01;1986-09-01 06:00:00;1986-08;45.1;Y
1986-09-01 06:00:01;1986-10-01 06:00:00;1986-09;59.2;Y
1986-10-01 06:00:01;1986-11-01 06:00:00;1986-10;87.9;Y
1986-11-01 06:00:01;1986-12-01 06:00:00;1986-11;87.9;Y
1986-12-01 06:00:01;1987-01-01 06:00:00;1986-12;42.7;Y
1987-01-01 06:00:01;1987-02-01 06:00:00;1987-01;19.2;Y
1987-02-01 06:00:01;1987-03-01 06:00:00;1987-02;39.9;Y
1987-03-01 06:00:01;1987-04-01 06:00:00;1987-03;49.7;Y
1987-04-01 06:00:01;1987-05-01 06:00:00;1987-04;6.3;Y
1987-05-01 06:00:01;1987-06-01 06:00:00;1987-05;65.3;Y
1987-06-01 06:00:01;1987-07-01 06:00:00;1987-06;91.4;Y
1987-07-01 06:00:01;1987-08-01 06:00:00;1987-07;87.8;Y
1987-08-01 06:00:01;1987-09-01 06:00:00;1987-08;125.9;Y
1987-09-01 06:00:01;1987-10-01 06:00:00;1987-09;69.3;Y
1987-10-01 06:00:01;1987-11-01 06:00:00;1987-10;78.4;Y
1987-11-01 06:00:01;1987-12-01 06:00:00;1987-11;79.8;Y
1987-12-01 06:00:01;1988-01-01 06:00:00;1987-12;34.6;Y
1988-01-01 06:00:01;1988-02-01 06:00:00;1988-01;57.7;Y
1988-02-01 06:00:01;1988-03-01 06:00:00;1988-02;90.1;Y
