Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Gargnäs D;157790;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2009-11-01 00:00:00;2018-05-01 15:00:00;295.0;65.3263;17.9505

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;48.1;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;43.9;Y;;Tidsperiod (fr.o.m.) = 2009-11-01 00:00:00 (UTC)
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;39.3;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;40.3;Y;;Värdet är summerat över = 1 månad
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;31.9;Y;;
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;76.1;Y;;Kvalitetskoderna:
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;19.1;Y;;Grön (G) = Kontrollerade och godkända värden.
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;32.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;55.7;Y;;
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;81.4;Y;;Orsaker till saknade data:
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;28.3;Y;;  stationen eller givaren har varit ur funktion.
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;41.6;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;43.1;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;23.0;Y
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;35.0;Y
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;41.1;Y
2011-02-01 06:00:01;2011-03-01 06:00:00;2011-02;37.0;Y
2011-03-01 06:00:01;2011-04-01 06:00:00;2011-03;21.8;Y
