Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Buresjön A;157870;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-12-01 00:00:00;2018-05-01 15:00:00;393.0;65.5592;17.86

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1995-11-01 06:00:01;1995-12-01 06:00:00;1995-11;15.2;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;7.3;Y;;Tidsperiod (fr.o.m.) = 1995-12-01 00:00:00 (UTC)
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;5.1;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;14.8;Y;;Värdet är summerat över = 1 månad
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;7.9;Y;;
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;41.8;Y;;Kvalitetskoderna:
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;24.6;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;32.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;73.9;Y;;
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;90.7;Y;;Orsaker till saknade data:
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;41.9;Y;;  stationen eller givaren har varit ur funktion.
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;83.5;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;68.1;Y
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;36.5;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;15.3;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;33.2;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;30.2;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;25.9;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;15.0;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;14.5;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;157.2;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;27.9;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;48.9;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;16.3;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;48.8;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;24.0;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;41.1;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;51.7;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;34.0;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;29.5;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;48.1;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;89.0;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;123.2;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;143.3;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;62.1;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;73.7;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;30.7;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;23.9;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;32.8;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;44.5;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;28.1;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;47.2;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;28.8;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;109.0;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;59.0;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;43.1;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;36.3;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;50.1;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;44.1;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;25.5;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;47.2;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;41.6;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;18.3;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;40.4;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;73.2;Y
