Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Arjeplog-Myrheden D;158980;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2000-09-01 00:00:00;2018-05-01 15:00:00;448.0;65.9799;18.2287

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;121.8;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;19.5;Y;;Tidsperiod (fr.o.m.) = 2000-09-01 00:00:00 (UTC)
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;68.0;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2000-11-01 06:00:01;2000-12-01 06:00:00;2000-11;84.3;Y;;Värdet är summerat över = 1 månad
2000-12-01 06:00:01;2001-01-01 06:00:00;2000-12;58.2;Y;;
2001-01-01 06:00:01;2001-02-01 06:00:00;2001-01;28.3;Y;;Kvalitetskoderna:
2001-02-01 06:00:01;2001-03-01 06:00:00;2001-02;38.8;Y;;Grön (G) = Kontrollerade och godkända värden.
2001-03-01 06:00:01;2001-04-01 06:00:00;2001-03;15.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2001-04-01 06:00:01;2001-05-01 06:00:00;2001-04;41.7;Y;;
2001-05-01 06:00:01;2001-06-01 06:00:00;2001-05;28.2;Y;;Orsaker till saknade data:
2001-06-01 06:00:01;2001-07-01 06:00:00;2001-06;103.4;Y;;  stationen eller givaren har varit ur funktion.
2001-07-01 06:00:01;2001-08-01 06:00:00;2001-07;155.3;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2001-08-01 06:00:01;2001-09-01 06:00:00;2001-08;79.8;Y
2001-09-01 06:00:01;2001-10-01 06:00:00;2001-09;78.1;Y
2001-10-01 06:00:01;2001-11-01 06:00:00;2001-10;71.0;Y
2001-11-01 06:00:01;2001-12-01 06:00:00;2001-11;49.8;Y
2001-12-01 06:00:01;2002-01-01 06:00:00;2001-12;29.4;Y
2002-01-01 06:00:01;2002-02-01 06:00:00;2002-01;26.4;Y
2002-02-01 06:00:01;2002-03-01 06:00:00;2002-02;53.1;Y
2002-03-01 06:00:01;2002-04-01 06:00:00;2002-03;52.1;Y
2002-04-01 06:00:01;2002-05-01 06:00:00;2002-04;10.4;Y
2002-05-01 06:00:01;2002-06-01 06:00:00;2002-05;9.3;Y
2002-06-01 06:00:01;2002-07-01 06:00:00;2002-06;49.9;Y
2002-07-01 06:00:01;2002-08-01 06:00:00;2002-07;71.7;Y
2002-08-01 06:00:01;2002-09-01 06:00:00;2002-08;24.7;Y
2002-09-01 06:00:01;2002-10-01 06:00:00;2002-09;36.9;Y
2002-10-01 06:00:01;2002-11-01 06:00:00;2002-10;37.8;Y
2002-11-01 06:00:01;2002-12-01 06:00:00;2002-11;17.2;Y
2002-12-01 06:00:01;2003-01-01 06:00:00;2002-12;21.1;Y
2003-01-01 06:00:01;2003-02-01 06:00:00;2003-01;41.7;Y
2003-02-01 06:00:01;2003-03-01 06:00:00;2003-02;10.5;Y
2003-03-01 06:00:01;2003-04-01 06:00:00;2003-03;20.6;Y
2003-04-01 06:00:01;2003-05-01 06:00:00;2003-04;21.4;Y
2003-05-01 06:00:01;2003-06-01 06:00:00;2003-05;49.7;Y
2003-06-01 06:00:01;2003-07-01 06:00:00;2003-06;15.5;Y
2003-07-01 06:00:01;2003-08-01 06:00:00;2003-07;61.0;Y
2003-08-01 06:00:01;2003-09-01 06:00:00;2003-08;105.7;Y
2003-09-01 06:00:01;2003-10-01 06:00:00;2003-09;33.5;Y
2003-10-01 06:00:01;2003-11-01 06:00:00;2003-10;41.3;Y
2003-11-01 06:00:01;2003-12-01 06:00:00;2003-11;27.3;Y
2003-12-01 06:00:01;2004-01-01 06:00:00;2003-12;38.6;Y
2004-01-01 06:00:01;2004-02-01 06:00:00;2004-01;25.7;Y
2004-02-01 06:00:01;2004-03-01 06:00:00;2004-02;28.5;Y
2004-03-01 06:00:01;2004-04-01 06:00:00;2004-03;28.6;Y
2004-04-01 06:00:01;2004-05-01 06:00:00;2004-04;23.0;Y
2004-05-01 06:00:01;2004-06-01 06:00:00;2004-05;22.4;Y
2004-06-01 06:00:01;2004-07-01 06:00:00;2004-06;85.0;Y
2004-07-01 06:00:01;2004-08-01 06:00:00;2004-07;120.9;Y
2004-08-01 06:00:01;2004-09-01 06:00:00;2004-08;72.4;Y
2004-09-01 06:00:01;2004-10-01 06:00:00;2004-09;85.3;Y
2004-10-01 06:00:01;2004-11-01 06:00:00;2004-10;45.5;Y
2004-11-01 06:00:01;2004-12-01 06:00:00;2004-11;17.5;Y
2004-12-01 06:00:01;2005-01-01 06:00:00;2004-12;32.9;Y
2005-01-01 06:00:01;2005-02-01 06:00:00;2005-01;53.4;Y
2005-02-01 06:00:01;2005-03-01 06:00:00;2005-02;26.1;Y
2005-03-01 06:00:01;2005-04-01 06:00:00;2005-03;20.8;Y
2005-04-01 06:00:01;2005-05-01 06:00:00;2005-04;11.6;Y
2005-05-01 06:00:01;2005-06-01 06:00:00;2005-05;58.3;Y
2005-06-01 06:00:01;2005-07-01 06:00:00;2005-06;65.2;Y
2005-07-01 06:00:01;2005-08-01 06:00:00;2005-07;89.1;Y
2005-08-01 06:00:01;2005-09-01 06:00:00;2005-08;111.2;Y
2005-09-01 06:00:01;2005-10-01 06:00:00;2005-09;41.9;Y
2005-10-01 06:00:01;2005-11-01 06:00:00;2005-10;25.5;Y
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;47.7;Y
2005-12-01 06:00:01;2006-01-01 06:00:00;2005-12;38.7;Y
2006-01-01 06:00:01;2006-02-01 06:00:00;2006-01;23.6;Y
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;11.0;Y
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;8.8;Y
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;36.3;Y
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;52.4;Y
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;63.1;Y
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;25.8;Y
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;22.9;Y
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;108.0;Y
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;52.4;Y
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;96.4;Y
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;64.4;Y
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;60.0;Y
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;23.2;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;23.8;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;21.8;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;72.5;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;29.8;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;152.4;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;86.0;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;70.4;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;26.0;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;69.5;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;42.8;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;64.4;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;28.5;Y
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;39.9;Y
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;27.2;Y
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;23.0;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;128.2;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;79.5;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;98.9;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;27.4;Y
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;53.5;Y
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;32.1;Y
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;44.7;Y
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;29.5;Y
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;42.3;Y
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;11.8;Y
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;29.5;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;47.7;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;48.7;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;82.4;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;101.1;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;59.5;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;44.6;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;58.6;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;33.3;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;50.0;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;28.6;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;49.9;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;22.7;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;51.1;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;51.1;Y
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;97.1;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;36.5;Y
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;69.0;Y
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;42.3;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;19.0;Y
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;30.5;Y
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;48.3;Y
2011-02-01 06:00:01;2011-03-01 06:00:00;2011-02;35.1;Y
2011-03-01 06:00:01;2011-04-01 06:00:00;2011-03;14.3;Y
2011-04-01 06:00:01;2011-05-01 06:00:00;2011-04;13.7;Y
2011-05-01 06:00:01;2011-06-01 06:00:00;2011-05;41.0;Y
2011-06-01 06:00:01;2011-07-01 06:00:00;2011-06;92.0;Y
2011-07-01 06:00:01;2011-08-01 06:00:00;2011-07;74.2;Y
2011-08-01 06:00:01;2011-09-01 06:00:00;2011-08;154.2;Y
2011-09-01 06:00:01;2011-10-01 06:00:00;2011-09;153.3;Y
2011-10-01 06:00:01;2011-11-01 06:00:00;2011-10;83.1;Y
2011-11-01 06:00:01;2011-12-01 06:00:00;2011-11;33.2;Y
2011-12-01 06:00:01;2012-01-01 06:00:00;2011-12;57.8;Y
2012-01-01 06:00:01;2012-02-01 06:00:00;2012-01;56.5;Y
2012-02-01 06:00:01;2012-03-01 06:00:00;2012-02;47.3;Y
2012-03-01 06:00:01;2012-04-01 06:00:00;2012-03;29.6;Y
2012-04-01 06:00:01;2012-05-01 06:00:00;2012-04;59.5;Y
2012-05-01 06:00:01;2012-06-01 06:00:00;2012-05;34.4;Y
2012-06-01 06:00:01;2012-07-01 06:00:00;2012-06;101.0;Y
2012-07-01 06:00:01;2012-08-01 06:00:00;2012-07;87.1;Y
2012-08-01 06:00:01;2012-09-01 06:00:00;2012-08;81.9;Y
2012-09-01 06:00:01;2012-10-01 06:00:00;2012-09;77.0;Y
2012-10-01 06:00:01;2012-11-01 06:00:00;2012-10;76.1;Y
2012-11-01 06:00:01;2012-12-01 06:00:00;2012-11;36.8;Y
2012-12-01 06:00:01;2013-01-01 06:00:00;2012-12;57.4;Y
2013-01-01 06:00:01;2013-02-01 06:00:00;2013-01;33.4;Y
2013-02-01 06:00:01;2013-03-01 06:00:00;2013-02;19.1;Y
2013-03-01 06:00:01;2013-04-01 06:00:00;2013-03;20.0;Y
2013-04-01 06:00:01;2013-05-01 06:00:00;2013-04;18.2;Y
2013-05-01 06:00:01;2013-06-01 06:00:00;2013-05;30.4;Y
2013-06-01 06:00:01;2013-07-01 06:00:00;2013-06;98.8;Y
2013-07-01 06:00:01;2013-08-01 06:00:00;2013-07;131.2;Y
2013-08-01 06:00:01;2013-09-01 06:00:00;2013-08;37.6;Y
2013-09-01 06:00:01;2013-10-01 06:00:00;2013-09;44.6;Y
2013-10-01 06:00:01;2013-11-01 06:00:00;2013-10;57.1;Y
2013-11-01 06:00:01;2013-12-01 06:00:00;2013-11;23.0;Y
2013-12-01 06:00:01;2014-01-01 06:00:00;2013-12;49.8;Y
2014-01-01 06:00:01;2014-02-01 06:00:00;2014-01;20.0;Y
2014-02-01 06:00:01;2014-03-01 06:00:00;2014-02;46.2;Y
2014-03-01 06:00:01;2014-04-01 06:00:00;2014-03;21.3;Y
2014-04-01 06:00:01;2014-05-01 06:00:00;2014-04;9.1;Y
2014-05-01 06:00:01;2014-06-01 06:00:00;2014-05;30.4;Y
2014-06-01 06:00:01;2014-07-01 06:00:00;2014-06;81.4;Y
2014-07-01 06:00:01;2014-08-01 06:00:00;2014-07;84.4;Y
2014-08-01 06:00:01;2014-09-01 06:00:00;2014-08;77.1;Y
2014-09-01 06:00:01;2014-10-01 06:00:00;2014-09;16.4;Y
2014-10-01 06:00:01;2014-11-01 06:00:00;2014-10;24.0;Y
2014-11-01 06:00:01;2014-12-01 06:00:00;2014-11;30.4;Y
2014-12-01 06:00:01;2015-01-01 06:00:00;2014-12;30.3;Y
2015-01-01 06:00:01;2015-02-01 06:00:00;2015-01;55.4;Y
2015-02-01 06:00:01;2015-03-01 06:00:00;2015-02;37.2;Y
2015-03-01 06:00:01;2015-04-01 06:00:00;2015-03;49.1;Y
2015-04-01 06:00:01;2015-05-01 06:00:00;2015-04;82.6;Y
2015-05-01 06:00:01;2015-06-01 06:00:00;2015-05;65.6;Y
2015-06-01 06:00:01;2015-07-01 06:00:00;2015-06;40.1;Y
2015-07-01 06:00:01;2015-08-01 06:00:00;2015-07;126.1;Y
2015-08-01 06:00:01;2015-09-01 06:00:00;2015-08;56.5;Y
2015-09-01 06:00:01;2015-10-01 06:00:00;2015-09;80.3;Y
2015-10-01 06:00:01;2015-11-01 06:00:00;2015-10;31.3;Y
2015-11-01 06:00:01;2015-12-01 06:00:00;2015-11;42.3;Y
2015-12-01 06:00:01;2016-01-01 06:00:00;2015-12;41.7;Y
2016-01-01 06:00:01;2016-02-01 06:00:00;2016-01;32.5;Y
2016-02-01 06:00:01;2016-03-01 06:00:00;2016-02;47.5;Y
2016-03-01 06:00:01;2016-04-01 06:00:00;2016-03;17.8;Y
2016-04-01 06:00:01;2016-05-01 06:00:00;2016-04;56.2;Y
2016-05-01 06:00:01;2016-06-01 06:00:00;2016-05;37.3;Y
2016-06-01 06:00:01;2016-07-01 06:00:00;2016-06;48.5;Y
2016-07-01 06:00:01;2016-08-01 06:00:00;2016-07;114.5;Y
2016-08-01 06:00:01;2016-09-01 06:00:00;2016-08;95.4;Y
2016-09-01 06:00:01;2016-10-01 06:00:00;2016-09;52.3;Y
2016-10-01 06:00:01;2016-11-01 06:00:00;2016-10;8.5;Y
2016-11-01 06:00:01;2016-12-01 06:00:00;2016-11;50.5;Y
2016-12-01 06:00:01;2017-01-01 06:00:00;2016-12;25.9;Y
2017-01-01 06:00:01;2017-02-01 06:00:00;2017-01;35.5;Y
2017-02-01 06:00:01;2017-03-01 06:00:00;2017-02;40.6;Y
2017-03-01 06:00:01;2017-04-01 06:00:00;2017-03;19.2;Y
2017-04-01 06:00:01;2017-05-01 06:00:00;2017-04;29.2;Y
2017-05-01 06:00:01;2017-06-01 06:00:00;2017-05;28.7;Y
2017-06-01 06:00:01;2017-07-01 06:00:00;2017-06;28.6;Y
2017-07-01 06:00:01;2017-08-01 06:00:00;2017-07;106.6;Y
2017-08-01 06:00:01;2017-09-01 06:00:00;2017-08;52.4;Y
2017-09-01 06:00:01;2017-10-01 06:00:00;2017-09;45.1;Y
2017-10-01 06:00:01;2017-11-01 06:00:00;2017-10;57.1;Y
2017-11-01 06:00:01;2017-12-01 06:00:00;2017-11;53.7;Y
2017-12-01 06:00:01;2018-01-01 06:00:00;2017-12;68.1;Y
2018-01-01 06:00:01;2018-02-01 06:00:00;2018-01;56.6;Y
