Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Vidsel Mo;160970;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2010-02-01 00:00:00;2018-04-30 23:59:59;182.0;65.8769;20.1543

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2013-01-01 06:00:01;2013-02-01 06:00:00;2013-01;31.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2013-02-01 06:00:01;2013-03-01 06:00:00;2013-02;30.4;Y;;Tidsperiod (fr.o.m.) = 2010-02-01 00:00:00 (UTC)
2013-05-01 06:00:01;2013-06-01 06:00:00;2013-05;31.2;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2013-07-01 06:00:01;2013-08-01 06:00:00;2013-07;108.4;Y;;Värdet är summerat över = 1 månad
2013-08-01 06:00:01;2013-09-01 06:00:00;2013-08;26.2;Y;;
2013-09-01 06:00:01;2013-10-01 06:00:00;2013-09;88.7;Y;;Kvalitetskoderna:
2013-10-01 06:00:01;2013-11-01 06:00:00;2013-10;58.9;Y;;Grön (G) = Kontrollerade och godkända värden.
2013-11-01 06:00:01;2013-12-01 06:00:00;2013-11;34.7;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2013-12-01 06:00:01;2014-01-01 06:00:00;2013-12;54.2;Y;;
2014-01-01 06:00:01;2014-02-01 06:00:00;2014-01;65.1;Y;;Orsaker till saknade data:
2014-02-01 06:00:01;2014-03-01 06:00:00;2014-02;87.8;Y;;  stationen eller givaren har varit ur funktion.
2014-03-01 06:00:01;2014-04-01 06:00:00;2014-03;26.0;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2014-05-01 06:00:01;2014-06-01 06:00:00;2014-05;34.9;Y
2014-06-01 06:00:01;2014-07-01 06:00:00;2014-06;60.1;Y
2014-07-01 06:00:01;2014-08-01 06:00:00;2014-07;70.8;Y
2014-08-01 06:00:01;2014-09-01 06:00:00;2014-08;74.2;Y
2014-09-01 06:00:01;2014-10-01 06:00:00;2014-09;6.0;Y
2014-10-01 06:00:01;2014-11-01 06:00:00;2014-10;36.4;Y
2014-11-01 06:00:01;2014-12-01 06:00:00;2014-11;38.0;Y
2014-12-01 06:00:01;2015-01-01 06:00:00;2014-12;31.0;Y
2015-04-01 06:00:01;2015-05-01 06:00:00;2015-04;36.0;Y
2015-05-01 06:00:01;2015-06-01 06:00:00;2015-05;96.9;Y
2015-06-01 06:00:01;2015-07-01 06:00:00;2015-06;61.6;Y
2015-07-01 06:00:01;2015-08-01 06:00:00;2015-07;217.7;Y
2015-08-01 06:00:01;2015-09-01 06:00:00;2015-08;41.5;Y
2015-09-01 06:00:01;2015-10-01 06:00:00;2015-09;117.3;Y
2015-10-01 06:00:01;2015-11-01 06:00:00;2015-10;18.1;Y
2015-11-01 06:00:01;2015-12-01 06:00:00;2015-11;44.7;Y
2015-12-01 06:00:01;2016-01-01 06:00:00;2015-12;38.4;Y
2016-01-01 06:00:01;2016-02-01 06:00:00;2016-01;59.6;Y
2016-02-01 06:00:01;2016-03-01 06:00:00;2016-02;55.8;Y
2016-03-01 06:00:01;2016-04-01 06:00:00;2016-03;16.0;Y
2016-04-01 06:00:01;2016-05-01 06:00:00;2016-04;66.2;Y
2016-05-01 06:00:01;2016-06-01 06:00:00;2016-05;30.7;Y
2016-06-01 06:00:01;2016-07-01 06:00:00;2016-06;52.3;Y
2016-07-01 06:00:01;2016-08-01 06:00:00;2016-07;116.3;Y
2016-08-01 06:00:01;2016-09-01 06:00:00;2016-08;118.8;Y
2016-09-01 06:00:01;2016-10-01 06:00:00;2016-09;35.4;Y
2016-10-01 06:00:01;2016-11-01 06:00:00;2016-10;10.8;Y
2016-11-01 06:00:01;2016-12-01 06:00:00;2016-11;58.4;Y
2016-12-01 06:00:01;2017-01-01 06:00:00;2016-12;23.0;Y
2017-01-01 06:00:01;2017-02-01 06:00:00;2017-01;33.1;Y
2017-02-01 06:00:01;2017-03-01 06:00:00;2017-02;40.5;Y
2017-03-01 06:00:01;2017-04-01 06:00:00;2017-03;32.7;Y
2017-04-01 06:00:01;2017-05-01 06:00:00;2017-04;33.0;Y
2017-05-01 06:00:01;2017-06-01 06:00:00;2017-05;27.6;Y
2017-06-01 06:00:01;2017-07-01 06:00:00;2017-06;76.3;Y
2017-07-01 06:00:01;2017-08-01 06:00:00;2017-07;209.7;Y
2017-08-01 06:00:01;2017-09-01 06:00:00;2017-08;107.2;Y
2017-09-01 06:00:01;2017-10-01 06:00:00;2017-09;56.1;Y
2017-10-01 06:00:01;2017-11-01 06:00:00;2017-10;53.1;Y
2017-11-01 06:00:01;2017-12-01 06:00:00;2017-11;80.0;Y
2017-12-01 06:00:01;2018-01-01 06:00:00;2017-12;74.0;Y
2018-01-01 06:00:01;2018-02-01 06:00:00;2018-01;47.8;Y
