Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Brännberg D;161930;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2006-11-01 00:00:00;2018-05-01 15:00:00;95.0;65.7938;21.26

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;58.9;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;90.8;Y;;Tidsperiod (fr.o.m.) = 2006-11-01 00:00:00 (UTC)
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;60.1;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;40.7;Y;;Värdet är summerat över = 1 månad
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;28.8;Y;;
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;36.0;Y;;Kvalitetskoderna:
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;9.6;Y;;Grön (G) = Kontrollerade och godkända värden.
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;53.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;59.4;Y;;
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;122.7;Y;;Orsaker till saknade data:
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;44.2;Y;;  stationen eller givaren har varit ur funktion.
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;69.8;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;40.4;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;62.7;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;33.2;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;79.3;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;32.8;Y
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;34.2;Y
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;41.6;Y
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;38.8;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;75.9;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;68.5;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;98.6;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;24.3;Y
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;66.1;Y
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;43.1;Y
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;50.8;Y
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;13.7;Y
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;39.7;Y
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;15.8;Y
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;19.4;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;46.5;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;44.9;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;26.0;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;57.3;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;30.1;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;42.1;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;79.1;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;35.2;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;38.0;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;36.3;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;55.6;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;12.0;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;49.9;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;81.0;Y
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;58.2;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;34.0;Y
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;49.6;Y
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;36.6;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;19.4;Y
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;40.8;Y
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;45.3;Y
2011-02-01 06:00:01;2011-03-01 06:00:00;2011-02;17.3;Y
2011-03-01 06:00:01;2011-04-01 06:00:00;2011-03;7.1;Y
2011-04-01 06:00:01;2011-05-01 06:00:00;2011-04;13.9;Y
2011-05-01 06:00:01;2011-06-01 06:00:00;2011-05;56.2;Y
2011-06-01 06:00:01;2011-07-01 06:00:00;2011-06;102.4;Y
2011-07-01 06:00:01;2011-08-01 06:00:00;2011-07;71.4;Y
2011-08-01 06:00:01;2011-09-01 06:00:00;2011-08;111.2;Y
2011-09-01 06:00:01;2011-10-01 06:00:00;2011-09;200.4;Y
2011-10-01 06:00:01;2011-11-01 06:00:00;2011-10;49.2;Y
2011-11-01 06:00:01;2011-12-01 06:00:00;2011-11;29.2;Y
2011-12-01 06:00:01;2012-01-01 06:00:00;2011-12;101.7;Y
2012-01-01 06:00:01;2012-02-01 06:00:00;2012-01;71.8;Y
2012-02-01 06:00:01;2012-03-01 06:00:00;2012-02;43.8;Y
2012-03-01 06:00:01;2012-04-01 06:00:00;2012-03;13.5;Y
2012-04-01 06:00:01;2012-05-01 06:00:00;2012-04;44.3;Y
2012-05-01 06:00:01;2012-06-01 06:00:00;2012-05;57.3;Y
2012-06-01 06:00:01;2012-07-01 06:00:00;2012-06;118.2;Y
2012-07-01 06:00:01;2012-08-01 06:00:00;2012-07;46.2;Y
2012-08-01 06:00:01;2012-09-01 06:00:00;2012-08;85.3;Y
2012-09-01 06:00:01;2012-10-01 06:00:00;2012-09;76.0;Y
2012-10-01 06:00:01;2012-11-01 06:00:00;2012-10;140.0;Y
2012-11-01 06:00:01;2012-12-01 06:00:00;2012-11;42.4;Y
2012-12-01 06:00:01;2013-01-01 06:00:00;2012-12;74.9;Y
2013-01-01 06:00:01;2013-02-01 06:00:00;2013-01;36.6;Y
2013-02-01 06:00:01;2013-03-01 06:00:00;2013-02;19.5;Y
2013-03-01 06:00:01;2013-04-01 06:00:00;2013-03;24.4;Y
2013-04-01 06:00:01;2013-05-01 06:00:00;2013-04;22.7;Y
2013-05-01 06:00:01;2013-06-01 06:00:00;2013-05;26.0;Y
2013-06-01 06:00:01;2013-07-01 06:00:00;2013-06;82.6;Y
2013-07-01 06:00:01;2013-08-01 06:00:00;2013-07;77.9;Y
2013-08-01 06:00:01;2013-09-01 06:00:00;2013-08;38.8;Y
2013-09-01 06:00:01;2013-10-01 06:00:00;2013-09;66.1;Y
2013-10-01 06:00:01;2013-11-01 06:00:00;2013-10;42.3;Y
2013-11-01 06:00:01;2013-12-01 06:00:00;2013-11;36.5;Y
2013-12-01 06:00:01;2014-01-01 06:00:00;2013-12;63.5;Y
2014-01-01 06:00:01;2014-02-01 06:00:00;2014-01;27.7;Y
2014-02-01 06:00:01;2014-03-01 06:00:00;2014-02;52.3;Y
2014-03-01 06:00:01;2014-04-01 06:00:00;2014-03;21.3;Y
2014-04-01 06:00:01;2014-05-01 06:00:00;2014-04;6.4;Y
2014-05-01 06:00:01;2014-06-01 06:00:00;2014-05;28.5;Y
2014-06-01 06:00:01;2014-07-01 06:00:00;2014-06;25.7;Y
2014-07-01 06:00:01;2014-08-01 06:00:00;2014-07;62.7;Y
2014-08-01 06:00:01;2014-09-01 06:00:00;2014-08;77.1;Y
2014-09-01 06:00:01;2014-10-01 06:00:00;2014-09;8.7;Y
2014-10-01 06:00:01;2014-11-01 06:00:00;2014-10;50.1;Y
2014-11-01 06:00:01;2014-12-01 06:00:00;2014-11;41.7;Y
2014-12-01 06:00:01;2015-01-01 06:00:00;2014-12;41.3;Y
2015-01-01 06:00:01;2015-02-01 06:00:00;2015-01;111.5;Y
2015-02-01 06:00:01;2015-03-01 06:00:00;2015-02;27.9;Y
2015-03-01 06:00:01;2015-04-01 06:00:00;2015-03;38.8;Y
2015-04-01 06:00:01;2015-05-01 06:00:00;2015-04;23.8;Y
2015-05-01 06:00:01;2015-06-01 06:00:00;2015-05;102.9;Y
2015-06-01 06:00:01;2015-07-01 06:00:00;2015-06;53.8;Y
2015-07-01 06:00:01;2015-08-01 06:00:00;2015-07;142.4;Y
2015-08-01 06:00:01;2015-09-01 06:00:00;2015-08;45.2;Y
2015-09-01 06:00:01;2015-10-01 06:00:00;2015-09;62.9;Y
2015-10-01 06:00:01;2015-11-01 06:00:00;2015-10;7.8;Y
2015-11-01 06:00:01;2015-12-01 06:00:00;2015-11;79.9;Y
2015-12-01 06:00:01;2016-01-01 06:00:00;2015-12;41.4;Y
2016-01-01 06:00:01;2016-02-01 06:00:00;2016-01;32.2;Y
2016-02-01 06:00:01;2016-03-01 06:00:00;2016-02;66.2;Y
2016-03-01 06:00:01;2016-04-01 06:00:00;2016-03;16.6;Y
2016-04-01 06:00:01;2016-05-01 06:00:00;2016-04;96.8;Y
2016-05-01 06:00:01;2016-06-01 06:00:00;2016-05;21.7;Y
2016-06-01 06:00:01;2016-07-01 06:00:00;2016-06;52.0;Y
2016-07-01 06:00:01;2016-08-01 06:00:00;2016-07;118.0;Y
2016-08-01 06:00:01;2016-09-01 06:00:00;2016-08;97.9;Y
2016-09-01 06:00:01;2016-10-01 06:00:00;2016-09;56.2;Y
2016-10-01 06:00:01;2016-11-01 06:00:00;2016-10;9.7;Y
2016-11-01 06:00:01;2016-12-01 06:00:00;2016-11;62.2;Y
2016-12-01 06:00:01;2017-01-01 06:00:00;2016-12;33.4;Y
2017-01-01 06:00:01;2017-02-01 06:00:00;2017-01;42.7;Y
2017-02-01 06:00:01;2017-03-01 06:00:00;2017-02;32.2;Y
2017-03-01 06:00:01;2017-04-01 06:00:00;2017-03;41.1;Y
2017-04-01 06:00:01;2017-05-01 06:00:00;2017-04;35.7;Y
2017-05-01 06:00:01;2017-06-01 06:00:00;2017-05;30.4;Y
2017-06-01 06:00:01;2017-07-01 06:00:00;2017-06;32.1;Y
2017-07-01 06:00:01;2017-08-01 06:00:00;2017-07;122.0;Y
2017-08-01 06:00:01;2017-09-01 06:00:00;2017-08;73.2;Y
2017-09-01 06:00:01;2017-10-01 06:00:00;2017-09;87.9;Y
2017-10-01 06:00:01;2017-11-01 06:00:00;2017-10;63.1;Y
2017-11-01 06:00:01;2017-12-01 06:00:00;2017-11;119.2;Y
2017-12-01 06:00:01;2018-01-01 06:00:00;2017-12;94.5;Y
2018-01-01 06:00:01;2018-02-01 06:00:00;2018-01;59.4;Y
