Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Boden Mo;161940;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2013-02-01 00:00:00;2018-04-30 23:59:59;25.0;65.8151;21.6396
1900-02-01 00:00:00;1992-09-01 06:00:00;16.0;65.8113;21.686

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1900-01-01 07:00:01;1900-02-01 07:00:00;1900-01;31.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1900-02-01 07:00:01;1900-03-01 07:00:00;1900-02;19.0;G;;Tidsperiod (fr.o.m.) = 1900-02-01 00:00:00 (UTC)
1900-03-01 07:00:01;1900-04-01 07:00:00;1900-03;28.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1900-04-01 07:00:01;1900-05-01 07:00:00;1900-04;18.0;G;;Värdet är summerat över = 1 månad
1900-05-01 07:00:01;1900-06-01 07:00:00;1900-05;38.0;G;;
1900-06-01 07:00:01;1900-07-01 07:00:00;1900-06;4.0;G;;Kvalitetskoderna:
1900-07-01 07:00:01;1900-08-01 07:00:00;1900-07;36.0;G;;Grön (G) = Kontrollerade och godkända värden.
1900-08-01 07:00:01;1900-09-01 07:00:00;1900-08;53.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1900-09-01 07:00:01;1900-10-01 07:00:00;1900-09;2.0;G;;
1900-10-01 07:00:01;1900-11-01 07:00:00;1900-10;64.0;G;;Orsaker till saknade data:
1900-11-01 07:00:01;1900-12-01 07:00:00;1900-11;41.0;G;;  stationen eller givaren har varit ur funktion.
1900-12-01 07:00:01;1901-01-01 07:00:00;1900-12;22.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1901-01-01 07:00:01;1901-02-01 07:00:00;1901-01;25.0;G
1901-02-01 07:00:01;1901-03-01 07:00:00;1901-02;15.0;G
1901-03-01 07:00:01;1901-04-01 07:00:00;1901-03;8.0;G
1901-04-01 07:00:01;1901-05-01 07:00:00;1901-04;18.0;G
1901-05-01 07:00:01;1901-06-01 07:00:00;1901-05;14.0;G
1901-06-01 07:00:01;1901-07-01 07:00:00;1901-06;23.0;G
1901-07-01 07:00:01;1901-08-01 07:00:00;1901-07;13.0;G
1901-08-01 07:00:01;1901-09-01 07:00:00;1901-08;18.0;G
1901-09-01 07:00:01;1901-10-01 07:00:00;1901-09;27.0;G
1901-10-01 07:00:01;1901-11-01 07:00:00;1901-10;60.0;G
1901-11-01 07:00:01;1901-12-01 07:00:00;1901-11;14.0;G
1901-12-01 07:00:01;1902-01-01 07:00:00;1901-12;9.0;G
1902-01-01 07:00:01;1902-02-01 07:00:00;1902-01;30.0;G
1902-02-01 07:00:01;1902-03-01 07:00:00;1902-02;17.0;G
1902-03-01 07:00:01;1902-04-01 07:00:00;1902-03;16.0;G
1902-04-01 07:00:01;1902-05-01 07:00:00;1902-04;0.0;G
1902-05-01 07:00:01;1902-06-01 07:00:00;1902-05;33.0;G
1902-06-01 07:00:01;1902-07-01 07:00:00;1902-06;12.0;G
1902-07-01 07:00:01;1902-08-01 07:00:00;1902-07;69.0;G
1902-08-01 07:00:01;1902-09-01 07:00:00;1902-08;114.0;G
1902-09-01 07:00:01;1902-10-01 07:00:00;1902-09;105.0;G
1902-10-01 07:00:01;1902-11-01 07:00:00;1902-10;14.0;G
