Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Rödkallen A;162790;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-06-01 00:00:00;2018-05-01 15:00:00;1.0;65.3131;22.3753
1881-12-01 00:00:00;1980-12-08 23:59:59;5.0;65.3149;22.3743

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1881-11-01 07:00:01;1881-12-01 07:00:00;1881-11;33.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1881-12-01 07:00:01;1882-01-01 07:00:00;1881-12;6.0;G;;Tidsperiod (fr.o.m.) = 1881-12-01 00:00:00 (UTC)
1882-01-01 07:00:01;1882-02-01 07:00:00;1882-01;24.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1882-02-01 07:00:01;1882-03-01 07:00:00;1882-02;6.0;G;;Värdet är summerat över = 1 månad
1882-03-01 07:00:01;1882-04-01 07:00:00;1882-03;24.0;G;;
1882-04-01 07:00:01;1882-05-01 07:00:00;1882-04;44.0;G;;Kvalitetskoderna:
1882-05-01 07:00:01;1882-06-01 07:00:00;1882-05;16.0;G;;Grön (G) = Kontrollerade och godkända värden.
1882-06-01 07:00:01;1882-07-01 07:00:00;1882-06;43.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1882-07-01 07:00:01;1882-08-01 07:00:00;1882-07;27.0;G;;
1882-08-01 07:00:01;1882-09-01 07:00:00;1882-08;29.0;G;;Orsaker till saknade data:
1882-09-01 07:00:01;1882-10-01 07:00:00;1882-09;22.0;G;;  stationen eller givaren har varit ur funktion.
1882-10-01 07:00:01;1882-11-01 07:00:00;1882-10;13.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1882-11-01 07:00:01;1882-12-01 07:00:00;1882-11;42.0;G
1882-12-01 07:00:01;1883-01-01 07:00:00;1882-12;22.0;G
1883-01-01 07:00:01;1883-02-01 07:00:00;1883-01;21.0;G
1883-02-01 07:00:01;1883-03-01 07:00:00;1883-02;16.0;G
1883-03-01 07:00:01;1883-04-01 07:00:00;1883-03;25.0;G
1883-04-01 07:00:01;1883-05-01 07:00:00;1883-04;16.0;G
1883-05-01 07:00:01;1883-06-01 07:00:00;1883-05;24.0;G
1883-06-01 07:00:01;1883-07-01 07:00:00;1883-06;23.0;G
1883-07-01 07:00:01;1883-08-01 07:00:00;1883-07;33.0;G
1883-08-01 07:00:01;1883-09-01 07:00:00;1883-08;61.0;G
1883-09-01 07:00:01;1883-10-01 07:00:00;1883-09;33.0;G
1883-10-01 07:00:01;1883-11-01 07:00:00;1883-10;46.0;G
1883-11-01 07:00:01;1883-12-01 07:00:00;1883-11;50.0;G
1883-12-01 07:00:01;1884-01-01 07:00:00;1883-12;26.0;G
1884-01-01 07:00:01;1884-02-01 07:00:00;1884-01;30.0;G
1884-02-01 07:00:01;1884-03-01 07:00:00;1884-02;8.0;G
1884-03-01 07:00:01;1884-04-01 07:00:00;1884-03;9.0;G
1884-04-01 07:00:01;1884-05-01 07:00:00;1884-04;4.0;G
1884-05-01 07:00:01;1884-06-01 07:00:00;1884-05;35.0;G
1884-06-01 07:00:01;1884-07-01 07:00:00;1884-06;41.0;G
1884-07-01 07:00:01;1884-08-01 07:00:00;1884-07;30.0;G
1884-08-01 07:00:01;1884-09-01 07:00:00;1884-08;3.0;G
1884-09-01 07:00:01;1884-10-01 07:00:00;1884-09;32.0;G
1884-10-01 07:00:01;1884-11-01 07:00:00;1884-10;55.0;G
1884-11-01 07:00:01;1884-12-01 07:00:00;1884-11;11.0;G
1884-12-01 07:00:01;1885-01-01 07:00:00;1884-12;11.0;G
1885-01-01 07:00:01;1885-02-01 07:00:00;1885-01;37.0;G
1885-02-01 07:00:01;1885-03-01 07:00:00;1885-02;19.0;G
1885-03-01 07:00:01;1885-04-01 07:00:00;1885-03;11.0;G
1885-04-01 07:00:01;1885-05-01 07:00:00;1885-04;19.0;G
1885-05-01 07:00:01;1885-06-01 07:00:00;1885-05;63.0;G
1885-06-01 07:00:01;1885-07-01 07:00:00;1885-06;63.0;G
1885-07-01 07:00:01;1885-08-01 07:00:00;1885-07;39.0;G
1885-08-01 07:00:01;1885-09-01 07:00:00;1885-08;24.0;G
1885-09-01 07:00:01;1885-10-01 07:00:00;1885-09;18.0;G
1885-10-01 07:00:01;1885-11-01 07:00:00;1885-10;57.0;G
1885-11-01 07:00:01;1885-12-01 07:00:00;1885-11;42.0;G
1885-12-01 07:00:01;1886-01-01 07:00:00;1885-12;20.0;G
1886-01-01 07:00:01;1886-02-01 07:00:00;1886-01;13.0;G
1886-02-01 07:00:01;1886-03-01 07:00:00;1886-02;12.0;G
1886-03-01 07:00:01;1886-04-01 07:00:00;1886-03;14.0;G
1886-04-01 07:00:01;1886-05-01 07:00:00;1886-04;31.0;G
1886-05-01 07:00:01;1886-06-01 07:00:00;1886-05;35.0;G
1886-06-01 07:00:01;1886-07-01 07:00:00;1886-06;57.0;G
1886-07-01 07:00:01;1886-08-01 07:00:00;1886-07;50.0;G
1886-08-01 07:00:01;1886-09-01 07:00:00;1886-08;40.0;G
1886-09-01 07:00:01;1886-10-01 07:00:00;1886-09;18.0;G
1886-10-01 07:00:01;1886-11-01 07:00:00;1886-10;16.0;G
1886-11-01 07:00:01;1886-12-01 07:00:00;1886-11;32.0;G
1887-05-01 07:00:01;1887-06-01 07:00:00;1887-05;19.0;G
1887-06-01 07:00:01;1887-07-01 07:00:00;1887-06;6.0;G
1887-07-01 07:00:01;1887-08-01 07:00:00;1887-07;59.0;G
1887-08-01 07:00:01;1887-09-01 07:00:00;1887-08;59.0;G
1887-09-01 07:00:01;1887-10-01 07:00:00;1887-09;45.0;G
1887-10-01 07:00:01;1887-11-01 07:00:00;1887-10;22.0;G
1887-11-01 07:00:01;1887-12-01 07:00:00;1887-11;24.0;G
1887-12-01 07:00:01;1888-01-01 07:00:00;1887-12;39.0;G
1888-01-01 07:00:01;1888-02-01 07:00:00;1888-01;22.0;G
1888-02-01 07:00:01;1888-03-01 07:00:00;1888-02;6.0;G
1888-03-01 07:00:01;1888-04-01 07:00:00;1888-03;8.0;G
1888-04-01 07:00:01;1888-05-01 07:00:00;1888-04;16.0;G
1888-05-01 07:00:01;1888-06-01 07:00:00;1888-05;39.0;G
1888-06-01 07:00:01;1888-07-01 07:00:00;1888-06;4.0;G
1888-07-01 07:00:01;1888-08-01 07:00:00;1888-07;99.0;G
1888-08-01 07:00:01;1888-09-01 07:00:00;1888-08;30.0;G
1888-09-01 07:00:01;1888-10-01 07:00:00;1888-09;67.0;G
1888-10-01 07:00:01;1888-11-01 07:00:00;1888-10;83.0;G
1888-11-01 07:00:01;1888-12-01 07:00:00;1888-11;10.0;G
1889-05-01 07:00:01;1889-06-01 07:00:00;1889-05;49.0;G
1889-06-01 07:00:01;1889-07-01 07:00:00;1889-06;2.0;G
1889-07-01 07:00:01;1889-08-01 07:00:00;1889-07;56.0;G
1889-08-01 07:00:01;1889-09-01 07:00:00;1889-08;56.0;G
1889-09-01 07:00:01;1889-10-01 07:00:00;1889-09;22.0;G
1889-10-01 07:00:01;1889-11-01 07:00:00;1889-10;37.0;G
1889-11-01 07:00:01;1889-12-01 07:00:00;1889-11;31.0;G
1889-12-01 07:00:01;1890-01-01 07:00:00;1889-12;26.0;G
1890-01-01 07:00:01;1890-02-01 07:00:00;1890-01;45.0;G
1890-02-01 07:00:01;1890-03-01 07:00:00;1890-02;3.0;G
1890-03-01 07:00:01;1890-04-01 07:00:00;1890-03;21.0;G
1890-04-01 07:00:01;1890-05-01 07:00:00;1890-04;14.0;G
1890-05-01 07:00:01;1890-06-01 07:00:00;1890-05;14.0;G
1890-06-01 07:00:01;1890-07-01 07:00:00;1890-06;25.0;G
1890-07-01 07:00:01;1890-08-01 07:00:00;1890-07;44.0;G
1890-08-01 07:00:01;1890-09-01 07:00:00;1890-08;67.0;G
1890-09-01 07:00:01;1890-10-01 07:00:00;1890-09;39.0;G
1890-10-01 07:00:01;1890-11-01 07:00:00;1890-10;54.0;G
1890-11-01 07:00:01;1890-12-01 07:00:00;1890-11;21.0;G
1890-12-01 07:00:01;1891-01-01 07:00:00;1890-12;5.0;G
1891-01-01 07:00:01;1891-02-01 07:00:00;1891-01;27.0;G
1891-02-01 07:00:01;1891-03-01 07:00:00;1891-02;1.0;G
1891-03-01 07:00:01;1891-04-01 07:00:00;1891-03;19.0;G
1891-04-01 07:00:01;1891-05-01 07:00:00;1891-04;6.0;G
1891-05-01 07:00:01;1891-06-01 07:00:00;1891-05;46.0;G
1891-06-01 07:00:01;1891-07-01 07:00:00;1891-06;5.0;G
1891-07-01 07:00:01;1891-08-01 07:00:00;1891-07;5.0;G
1891-08-01 07:00:01;1891-09-01 07:00:00;1891-08;33.0;G
1891-09-01 07:00:01;1891-10-01 07:00:00;1891-09;67.0;G
1891-10-01 07:00:01;1891-11-01 07:00:00;1891-10;44.0;G
1891-11-01 07:00:01;1891-12-01 07:00:00;1891-11;21.0;G
1891-12-01 07:00:01;1892-01-01 07:00:00;1891-12;51.0;G
1892-01-01 07:00:01;1892-02-01 07:00:00;1892-01;42.0;G
1892-02-01 07:00:01;1892-03-01 07:00:00;1892-02;20.0;G
1892-03-01 07:00:01;1892-04-01 07:00:00;1892-03;15.0;G
1892-04-01 07:00:01;1892-05-01 07:00:00;1892-04;2.0;G
1892-05-01 07:00:01;1892-06-01 07:00:00;1892-05;27.0;G
1892-06-01 07:00:01;1892-07-01 07:00:00;1892-06;29.0;G
1892-07-01 07:00:01;1892-08-01 07:00:00;1892-07;55.0;G
1892-08-01 07:00:01;1892-09-01 07:00:00;1892-08;95.0;G
1892-09-01 07:00:01;1892-10-01 07:00:00;1892-09;60.0;G
1892-10-01 07:00:01;1892-11-01 07:00:00;1892-10;21.0;G
1892-11-01 07:00:01;1892-12-01 07:00:00;1892-11;10.0;G
1892-12-01 07:00:01;1893-01-01 07:00:00;1892-12;18.0;G
1893-01-01 07:00:01;1893-02-01 07:00:00;1893-01;8.0;G
1893-02-01 07:00:01;1893-03-01 07:00:00;1893-02;22.0;G
1893-04-01 07:00:01;1893-05-01 07:00:00;1893-04;3.0;G
1893-05-01 07:00:01;1893-06-01 07:00:00;1893-05;25.0;G
1893-06-01 07:00:01;1893-07-01 07:00:00;1893-06;49.0;G
1893-07-01 07:00:01;1893-08-01 07:00:00;1893-07;28.0;G
1893-08-01 07:00:01;1893-09-01 07:00:00;1893-08;40.0;G
1893-09-01 07:00:01;1893-10-01 07:00:00;1893-09;55.0;G
1893-10-01 07:00:01;1893-11-01 07:00:00;1893-10;121.0;G
1893-12-01 07:00:01;1894-01-01 07:00:00;1893-12;20.0;G
1894-01-01 07:00:01;1894-02-01 07:00:00;1894-01;41.0;G
1894-02-01 07:00:01;1894-03-01 07:00:00;1894-02;19.0;G
1894-03-01 07:00:01;1894-04-01 07:00:00;1894-03;14.0;G
1894-04-01 07:00:01;1894-05-01 07:00:00;1894-04;1.1;G
1894-05-01 07:00:01;1894-06-01 07:00:00;1894-05;14.0;G
1894-06-01 07:00:01;1894-07-01 07:00:00;1894-06;18.0;G
1894-07-01 07:00:01;1894-08-01 07:00:00;1894-07;21.0;G
1894-08-01 07:00:01;1894-09-01 07:00:00;1894-08;63.0;G
1894-09-01 07:00:01;1894-10-01 07:00:00;1894-09;76.0;G
1894-10-01 07:00:01;1894-11-01 07:00:00;1894-10;19.0;G
1894-11-01 07:00:01;1894-12-01 07:00:00;1894-11;44.0;G
1894-12-01 07:00:01;1895-01-01 07:00:00;1894-12;42.0;G
1895-01-01 07:00:01;1895-02-01 07:00:00;1895-01;2.0;G
1895-02-01 07:00:01;1895-03-01 07:00:00;1895-02;9.0;G
1895-03-01 07:00:01;1895-04-01 07:00:00;1895-03;3.0;G
1895-04-01 07:00:01;1895-05-01 07:00:00;1895-04;13.0;G
1895-05-01 07:00:01;1895-06-01 07:00:00;1895-05;11.0;G
1895-06-01 07:00:01;1895-07-01 07:00:00;1895-06;38.0;G
1895-07-01 07:00:01;1895-08-01 07:00:00;1895-07;86.0;G
1895-08-01 07:00:01;1895-09-01 07:00:00;1895-08;70.0;G
1895-09-01 07:00:01;1895-10-01 07:00:00;1895-09;31.0;G
1895-10-01 07:00:01;1895-11-01 07:00:00;1895-10;64.0;G
1895-11-01 07:00:01;1895-12-01 07:00:00;1895-11;51.0;G
1895-12-01 07:00:01;1896-01-01 07:00:00;1895-12;25.0;G
1896-01-01 07:00:01;1896-02-01 07:00:00;1896-01;11.0;G
1896-02-01 07:00:01;1896-03-01 07:00:00;1896-02;6.0;G
1896-04-01 07:00:01;1896-05-01 07:00:00;1896-04;55.0;G
1896-05-01 07:00:01;1896-06-01 07:00:00;1896-05;9.0;G
1896-06-01 07:00:01;1896-07-01 07:00:00;1896-06;69.0;G
1896-07-01 07:00:01;1896-08-01 07:00:00;1896-07;2.0;G
1896-08-01 07:00:01;1896-09-01 07:00:00;1896-08;52.0;G
1896-09-01 07:00:01;1896-10-01 07:00:00;1896-09;32.0;G
1896-10-01 07:00:01;1896-11-01 07:00:00;1896-10;106.0;G
1896-11-01 07:00:01;1896-12-01 07:00:00;1896-11;22.0;G
1896-12-01 07:00:01;1897-01-01 07:00:00;1896-12;13.0;G
1897-01-01 07:00:01;1897-02-01 07:00:00;1897-01;30.0;G
1897-02-01 07:00:01;1897-03-01 07:00:00;1897-02;18.0;G
1897-03-01 07:00:01;1897-04-01 07:00:00;1897-03;18.0;G
1897-04-01 07:00:01;1897-05-01 07:00:00;1897-04;6.0;G
1897-05-01 07:00:01;1897-06-01 07:00:00;1897-05;22.0;G
1897-06-01 07:00:01;1897-07-01 07:00:00;1897-06;28.0;G
1897-07-01 07:00:01;1897-08-01 07:00:00;1897-07;38.0;G
1897-08-01 07:00:01;1897-09-01 07:00:00;1897-08;42.0;G
1897-09-01 07:00:01;1897-10-01 07:00:00;1897-09;49.0;G
1897-10-01 07:00:01;1897-11-01 07:00:00;1897-10;46.0;G
1897-11-01 07:00:01;1897-12-01 07:00:00;1897-11;21.0;G
1898-05-01 07:00:01;1898-06-01 07:00:00;1898-05;59.0;G
1898-06-01 07:00:01;1898-07-01 07:00:00;1898-06;18.0;G
1898-07-01 07:00:01;1898-08-01 07:00:00;1898-07;80.0;G
1898-08-01 07:00:01;1898-09-01 07:00:00;1898-08;65.0;G
1898-09-01 07:00:01;1898-10-01 07:00:00;1898-09;50.0;G
1898-10-01 07:00:01;1898-11-01 07:00:00;1898-10;29.0;G
1898-11-01 07:00:01;1898-12-01 07:00:00;1898-11;38.0;G
1898-12-01 07:00:01;1899-01-01 07:00:00;1898-12;55.0;G
1899-05-01 07:00:01;1899-06-01 07:00:00;1899-05;14.0;G
1899-06-01 07:00:01;1899-07-01 07:00:00;1899-06;5.0;G
1899-07-01 07:00:01;1899-08-01 07:00:00;1899-07;30.0;G
1899-08-01 07:00:01;1899-09-01 07:00:00;1899-08;40.0;G
1899-09-01 07:00:01;1899-10-01 07:00:00;1899-09;122.0;G
1899-10-01 07:00:01;1899-11-01 07:00:00;1899-10;53.0;G
1899-11-01 07:00:01;1899-12-01 07:00:00;1899-11;26.0;G
1900-04-01 07:00:01;1900-05-01 07:00:00;1900-04;28.0;G
1900-05-01 07:00:01;1900-06-01 07:00:00;1900-05;27.0;G
1900-06-01 07:00:01;1900-07-01 07:00:00;1900-06;2.0;G
1900-07-01 07:00:01;1900-08-01 07:00:00;1900-07;49.0;G
