Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Luleå-Bergnäset;162870;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2002-11-01 00:00:00;2018-04-30 23:59:59;12.0;65.5762;22.109

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2002-10-02 06:00:01;2002-11-01 06:00:00;2002-10;24.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2002-11-01 06:00:01;2002-12-01 06:00:00;2002-11;22.1;Y;;Tidsperiod (fr.o.m.) = 2002-11-01 00:00:00 (UTC)
2002-12-02 06:00:01;2003-01-01 06:00:00;2002-12;21.3;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2003-01-02 06:00:01;2003-02-01 06:00:00;2003-01;65.7;Y;;Värdet är summerat över = 1 månad
2003-01-30 06:00:01;2003-03-01 06:00:00;2003-02;11.8;Y;;
2003-03-02 06:00:01;2003-04-01 06:00:00;2003-03;14.9;Y;;Kvalitetskoderna:
2003-04-01 06:00:01;2003-05-01 06:00:00;2003-04;27.3;Y;;Grön (G) = Kontrollerade och godkända värden.
2003-05-02 06:00:01;2003-06-01 06:00:00;2003-05;47.4;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2003-06-01 06:00:01;2003-07-01 06:00:00;2003-06;6.2;Y;;
2003-07-02 06:00:01;2003-08-01 06:00:00;2003-07;31.5;Y;;Orsaker till saknade data:
2003-08-02 06:00:01;2003-09-01 06:00:00;2003-08;93.1;Y;;  stationen eller givaren har varit ur funktion.
2003-09-01 06:00:01;2003-10-01 06:00:00;2003-09;43.8;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2003-10-02 06:00:01;2003-11-01 06:00:00;2003-10;64.8;Y
2003-11-01 06:00:01;2003-12-01 06:00:00;2003-11;38.0;Y
2003-12-02 06:00:01;2004-01-01 06:00:00;2003-12;37.5;Y
2004-01-02 06:00:01;2004-02-01 06:00:00;2004-01;39.9;Y
2004-01-31 06:00:01;2004-03-01 06:00:00;2004-02;45.7;Y
2004-03-02 06:00:01;2004-04-01 06:00:00;2004-03;36.5;Y
2004-04-01 06:00:01;2004-05-01 06:00:00;2004-04;22.8;Y
2004-05-02 06:00:01;2004-06-01 06:00:00;2004-05;13.0;Y
2004-06-01 06:00:01;2004-07-01 06:00:00;2004-06;53.2;Y
2004-07-02 06:00:01;2004-08-01 06:00:00;2004-07;51.5;Y
2004-08-02 06:00:01;2004-09-01 06:00:00;2004-08;73.8;Y
2004-09-01 06:00:01;2004-10-01 06:00:00;2004-09;101.6;Y
2004-10-02 06:00:01;2004-11-01 06:00:00;2004-10;30.4;Y
2004-11-01 06:00:01;2004-12-01 06:00:00;2004-11;19.9;Y
2004-12-02 06:00:01;2005-01-01 06:00:00;2004-12;37.1;Y
2005-01-02 06:00:01;2005-02-01 06:00:00;2005-01;93.0;Y
2005-01-30 06:00:01;2005-03-01 06:00:00;2005-02;31.3;Y
2005-03-02 06:00:01;2005-04-01 06:00:00;2005-03;14.1;Y
2005-04-01 06:00:01;2005-05-01 06:00:00;2005-04;44.2;Y
2005-05-02 06:00:01;2005-06-01 06:00:00;2005-05;40.8;Y
2005-06-01 06:00:01;2005-07-01 06:00:00;2005-06;66.9;Y
2005-07-02 06:00:01;2005-08-01 06:00:00;2005-07;62.0;Y
2005-08-02 06:00:01;2005-09-01 06:00:00;2005-08;87.0;Y
2005-09-01 06:00:01;2005-10-01 06:00:00;2005-09;41.7;Y
2005-10-02 06:00:01;2005-11-01 06:00:00;2005-10;18.0;Y
2005-11-01 06:00:01;2005-12-01 06:00:00;2005-11;55.4;Y
2005-12-02 06:00:01;2006-01-01 06:00:00;2005-12;62.4;Y
2006-01-02 06:00:01;2006-02-01 06:00:00;2006-01;30.5;Y
2006-01-30 06:00:01;2006-03-01 06:00:00;2006-02;12.1;Y
2006-03-02 06:00:01;2006-04-01 06:00:00;2006-03;7.5;Y
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;48.0;Y
2006-05-02 06:00:01;2006-06-01 06:00:00;2006-05;17.4;Y
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;18.5;Y
2006-07-02 06:00:01;2006-08-01 06:00:00;2006-07;44.1;Y
2006-08-02 06:00:01;2006-09-01 06:00:00;2006-08;28.4;Y
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;85.5;Y
2006-10-02 06:00:01;2006-11-01 06:00:00;2006-10;73.7;Y
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;130.6;Y
2006-12-02 06:00:01;2007-01-01 06:00:00;2006-12;81.6;Y
2007-01-02 06:00:01;2007-02-01 06:00:00;2007-01;50.6;Y
2007-01-30 06:00:01;2007-03-01 06:00:00;2007-02;27.9;Y
2007-03-02 06:00:01;2007-04-01 06:00:00;2007-03;39.9;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;15.3;Y
2007-05-02 06:00:01;2007-06-01 06:00:00;2007-05;88.6;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;37.5;Y
2007-07-02 06:00:01;2007-08-01 06:00:00;2007-07;77.2;Y
2007-08-02 06:00:01;2007-09-01 06:00:00;2007-08;70.6;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;74.2;Y
2007-10-02 06:00:01;2007-11-01 06:00:00;2007-10;33.9;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;69.4;Y
2007-12-02 06:00:01;2008-01-01 06:00:00;2007-12;55.2;Y
2008-01-02 06:00:01;2008-02-01 06:00:00;2008-01;90.4;Y
2008-01-31 06:00:01;2008-03-01 06:00:00;2008-02;26.6;Y
2008-03-02 06:00:01;2008-04-01 06:00:00;2008-03;33.9;Y
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;34.1;Y
2008-05-02 06:00:01;2008-06-01 06:00:00;2008-05;13.2;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;35.8;Y
2008-07-02 06:00:01;2008-08-01 06:00:00;2008-07;57.2;Y
2008-08-02 06:00:01;2008-09-01 06:00:00;2008-08;83.6;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;16.6;Y
2008-10-02 06:00:01;2008-11-01 06:00:00;2008-10;55.7;Y
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;51.0;Y
