Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Kalix D;163940;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2006-03-01 00:00:00;2010-06-30 23:59:59;5.0;65.8263;23.2212
2010-07-01 00:00:00;2018-04-30 23:59:59;3.0;65.838;23.2026

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2006-02-01 06:00:01;2006-03-01 06:00:00;2006-02;15.1;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2006-03-01 06:00:01;2006-04-01 06:00:00;2006-03;8.9;Y;;Tidsperiod (fr.o.m.) = 2006-03-01 00:00:00 (UTC)
2006-04-01 06:00:01;2006-05-01 06:00:00;2006-04;53.1;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2006-05-01 06:00:01;2006-06-01 06:00:00;2006-05;27.8;Y;;Värdet är summerat över = 1 månad
2006-06-01 06:00:01;2006-07-01 06:00:00;2006-06;8.0;Y;;
2006-07-01 06:00:01;2006-08-01 06:00:00;2006-07;16.3;Y;;Kvalitetskoderna:
2006-08-01 06:00:01;2006-09-01 06:00:00;2006-08;8.0;Y;;Grön (G) = Kontrollerade och godkända värden.
2006-09-01 06:00:01;2006-10-01 06:00:00;2006-09;65.2;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2006-10-01 06:00:01;2006-11-01 06:00:00;2006-10;77.1;Y;;
2006-11-01 06:00:01;2006-12-01 06:00:00;2006-11;160.7;Y;;Orsaker till saknade data:
2006-12-01 06:00:01;2007-01-01 06:00:00;2006-12;84.5;Y;;  stationen eller givaren har varit ur funktion.
2007-01-01 06:00:01;2007-02-01 06:00:00;2007-01;75.4;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2007-02-01 06:00:01;2007-03-01 06:00:00;2007-02;35.4;Y
2007-03-01 06:00:01;2007-04-01 06:00:00;2007-03;53.7;Y
2007-04-01 06:00:01;2007-05-01 06:00:00;2007-04;23.9;Y
2007-05-01 06:00:01;2007-06-01 06:00:00;2007-05;71.7;Y
2007-06-01 06:00:01;2007-07-01 06:00:00;2007-06;32.7;Y
2007-07-01 06:00:01;2007-08-01 06:00:00;2007-07;89.7;Y
2007-08-01 06:00:01;2007-09-01 06:00:00;2007-08;71.7;Y
2007-09-01 06:00:01;2007-10-01 06:00:00;2007-09;98.2;Y
2007-10-01 06:00:01;2007-11-01 06:00:00;2007-10;54.7;Y
2007-11-01 06:00:01;2007-12-01 06:00:00;2007-11;103.9;Y
2007-12-01 06:00:01;2008-01-01 06:00:00;2007-12;51.8;Y
2008-01-01 06:00:01;2008-02-01 06:00:00;2008-01;112.7;Y
2008-02-01 06:00:01;2008-03-01 06:00:00;2008-02;47.2;Y
2008-03-01 06:00:01;2008-04-01 06:00:00;2008-03;42.1;Y
2008-04-01 06:00:01;2008-05-01 06:00:00;2008-04;50.4;Y
2008-05-01 06:00:01;2008-06-01 06:00:00;2008-05;23.3;Y
2008-06-01 06:00:01;2008-07-01 06:00:00;2008-06;40.6;Y
2008-07-01 06:00:01;2008-08-01 06:00:00;2008-07;42.5;Y
2008-08-01 06:00:01;2008-09-01 06:00:00;2008-08;80.0;Y
2008-09-01 06:00:01;2008-10-01 06:00:00;2008-09;27.3;Y
2008-10-01 06:00:01;2008-11-01 06:00:00;2008-10;55.3;Y
2008-11-01 06:00:01;2008-12-01 06:00:00;2008-11;49.7;Y
2008-12-01 06:00:01;2009-01-01 06:00:00;2008-12;50.5;Y
2009-01-01 06:00:01;2009-02-01 06:00:00;2009-01;13.3;Y
2009-02-01 06:00:01;2009-03-01 06:00:00;2009-02;57.3;Y
2009-03-01 06:00:01;2009-04-01 06:00:00;2009-03;29.0;Y
2009-04-01 06:00:01;2009-05-01 06:00:00;2009-04;15.9;Y
2009-05-01 06:00:01;2009-06-01 06:00:00;2009-05;39.4;Y
2009-06-01 06:00:01;2009-07-01 06:00:00;2009-06;20.6;Y
2009-07-01 06:00:01;2009-08-01 06:00:00;2009-07;12.0;Y
2009-08-01 06:00:01;2009-09-01 06:00:00;2009-08;62.5;Y
2009-09-01 06:00:01;2009-10-01 06:00:00;2009-09;30.4;Y
2009-10-01 06:00:01;2009-11-01 06:00:00;2009-10;63.6;Y
2009-11-01 06:00:01;2009-12-01 06:00:00;2009-11;113.0;Y
2009-12-01 06:00:01;2010-01-01 06:00:00;2009-12;32.2;Y
2010-01-01 06:00:01;2010-02-01 06:00:00;2010-01;44.5;Y
2010-02-01 06:00:01;2010-03-01 06:00:00;2010-02;37.5;Y
2010-03-01 06:00:01;2010-04-01 06:00:00;2010-03;58.1;Y
2010-04-01 06:00:01;2010-05-01 06:00:00;2010-04;27.5;Y
2010-05-01 06:00:01;2010-06-01 06:00:00;2010-05;53.2;Y
2010-06-01 06:00:01;2010-07-01 06:00:00;2010-06;26.5;G
2010-07-01 06:00:01;2010-08-01 06:00:00;2010-07;46.1;Y
2010-08-01 06:00:01;2010-09-01 06:00:00;2010-08;63.4;Y
2010-09-01 06:00:01;2010-10-01 06:00:00;2010-09;61.7;Y
2010-10-01 06:00:01;2010-11-01 06:00:00;2010-10;49.9;Y
2010-11-01 06:00:01;2010-12-01 06:00:00;2010-11;39.9;Y
2010-12-01 06:00:01;2011-01-01 06:00:00;2010-12;42.7;Y
2011-01-01 06:00:01;2011-02-01 06:00:00;2011-01;50.3;Y
2011-02-01 06:00:01;2011-03-01 06:00:00;2011-02;16.8;Y
2011-03-01 06:00:01;2011-04-01 06:00:00;2011-03;14.8;Y
2011-04-01 06:00:01;2011-05-01 06:00:00;2011-04;21.8;Y
2011-05-01 06:00:01;2011-06-01 06:00:00;2011-05;69.9;Y
2011-06-01 06:00:01;2011-07-01 06:00:00;2011-06;82.3;Y
2011-07-01 06:00:01;2011-08-01 06:00:00;2011-07;26.5;Y
2011-08-01 06:00:01;2011-09-01 06:00:00;2011-08;49.2;Y
2011-09-01 06:00:01;2011-10-01 06:00:00;2011-09;180.9;Y
2011-10-01 06:00:01;2011-11-01 06:00:00;2011-10;71.9;Y
2011-11-01 06:00:01;2011-12-01 06:00:00;2011-11;25.5;Y
2011-12-01 06:00:01;2012-01-01 06:00:00;2011-12;136.6;Y
2012-01-01 06:00:01;2012-02-01 06:00:00;2012-01;56.8;Y
2012-02-01 06:00:01;2012-03-01 06:00:00;2012-02;68.5;Y
2012-03-01 06:00:01;2012-04-01 06:00:00;2012-03;20.7;Y
2012-04-01 06:00:01;2012-05-01 06:00:00;2012-04;64.3;Y
2012-05-01 06:00:01;2012-06-01 06:00:00;2012-05;53.1;Y
2012-06-01 06:00:01;2012-07-01 06:00:00;2012-06;74.1;Y
2012-07-01 06:00:01;2012-08-01 06:00:00;2012-07;28.5;Y
2012-08-01 06:00:01;2012-09-01 06:00:00;2012-08;41.3;Y
2012-09-01 06:00:01;2012-10-01 06:00:00;2012-09;126.4;Y
2012-10-01 06:00:01;2012-11-01 06:00:00;2012-10;103.6;Y
2012-11-01 06:00:01;2012-12-01 06:00:00;2012-11;81.3;Y
2012-12-01 06:00:01;2013-01-01 06:00:00;2012-12;80.7;Y
2013-01-01 06:00:01;2013-02-01 06:00:00;2013-01;54.4;Y
2013-02-01 06:00:01;2013-03-01 06:00:00;2013-02;20.2;Y
2013-03-01 06:00:01;2013-04-01 06:00:00;2013-03;16.4;Y
2013-04-01 06:00:01;2013-05-01 06:00:00;2013-04;45.8;Y
2013-05-01 06:00:01;2013-06-01 06:00:00;2013-05;19.7;Y
2013-06-01 06:00:01;2013-07-01 06:00:00;2013-06;86.2;Y
2013-07-01 06:00:01;2013-08-01 06:00:00;2013-07;42.5;Y
2013-08-01 06:00:01;2013-09-01 06:00:00;2013-08;41.5;Y
2013-09-01 06:00:01;2013-10-01 06:00:00;2013-09;51.1;Y
2013-10-01 06:00:01;2013-11-01 06:00:00;2013-10;42.3;Y
2013-11-01 06:00:01;2013-12-01 06:00:00;2013-11;58.1;Y
2013-12-01 06:00:01;2014-01-01 06:00:00;2013-12;105.1;Y
2014-01-01 06:00:01;2014-02-01 06:00:00;2014-01;36.8;Y
2014-02-01 06:00:01;2014-03-01 06:00:00;2014-02;56.2;Y
2014-03-01 06:00:01;2014-04-01 06:00:00;2014-03;29.7;Y
2014-04-01 06:00:01;2014-05-01 06:00:00;2014-04;13.9;Y
2014-05-01 06:00:01;2014-06-01 06:00:00;2014-05;29.8;Y
2014-06-01 06:00:01;2014-07-01 06:00:00;2014-06;17.4;Y
2014-07-01 06:00:01;2014-08-01 06:00:00;2014-07;43.5;Y
2014-08-01 06:00:01;2014-09-01 06:00:00;2014-08;70.1;Y
2014-09-01 06:00:01;2014-10-01 06:00:00;2014-09;17.8;Y
2014-10-01 06:00:01;2014-11-01 06:00:00;2014-10;73.6;Y
2014-11-01 06:00:01;2014-12-01 06:00:00;2014-11;44.1;Y
2014-12-01 06:00:01;2015-01-01 06:00:00;2014-12;62.3;Y
2015-01-01 06:00:01;2015-02-01 06:00:00;2015-01;118.8;Y
2015-02-01 06:00:01;2015-03-01 06:00:00;2015-02;33.6;Y
2015-03-01 06:00:01;2015-04-01 06:00:00;2015-03;60.0;Y
2015-04-01 06:00:01;2015-05-01 06:00:00;2015-04;17.7;Y
2015-05-01 06:00:01;2015-06-01 06:00:00;2015-05;98.8;Y
2015-06-01 06:00:01;2015-07-01 06:00:00;2015-06;90.4;Y
2015-07-01 06:00:01;2015-08-01 06:00:00;2015-07;101.8;Y
2015-08-01 06:00:01;2015-09-01 06:00:00;2015-08;36.5;Y
2015-09-01 06:00:01;2015-10-01 06:00:00;2015-09;116.5;Y
2015-10-01 06:00:01;2015-11-01 06:00:00;2015-10;18.2;Y
2015-11-01 06:00:01;2015-12-01 06:00:00;2015-11;181.1;Y
2015-12-01 06:00:01;2016-01-01 06:00:00;2015-12;48.2;Y
2016-01-01 06:00:01;2016-02-01 06:00:00;2016-01;31.4;Y
2016-02-01 06:00:01;2016-03-01 06:00:00;2016-02;89.0;Y
2016-03-01 06:00:01;2016-04-01 06:00:00;2016-03;9.5;Y
2016-04-01 06:00:01;2016-05-01 06:00:00;2016-04;83.8;Y
2016-05-01 06:00:01;2016-06-01 06:00:00;2016-05;28.0;Y
2016-06-01 06:00:01;2016-07-01 06:00:00;2016-06;90.1;Y
2016-07-01 06:00:01;2016-08-01 06:00:00;2016-07;85.8;Y
2016-08-01 06:00:01;2016-09-01 06:00:00;2016-08;113.0;Y
2016-09-01 06:00:01;2016-10-01 06:00:00;2016-09;63.1;Y
2016-10-01 06:00:01;2016-11-01 06:00:00;2016-10;9.3;Y
2016-11-01 06:00:01;2016-12-01 06:00:00;2016-11;74.0;Y
2016-12-01 06:00:01;2017-01-01 06:00:00;2016-12;39.5;Y
2017-01-01 06:00:01;2017-02-01 06:00:00;2017-01;36.2;Y
2017-02-01 06:00:01;2017-03-01 06:00:00;2017-02;24.3;Y
2017-03-01 06:00:01;2017-04-01 06:00:00;2017-03;44.1;Y
2017-04-01 06:00:01;2017-05-01 06:00:00;2017-04;43.1;Y
2017-05-01 06:00:01;2017-06-01 06:00:00;2017-05;25.2;Y
2017-06-01 06:00:01;2017-07-01 06:00:00;2017-06;47.9;Y
2017-07-01 06:00:01;2017-08-01 06:00:00;2017-07;72.6;Y
2017-08-01 06:00:01;2017-09-01 06:00:00;2017-08;37.7;Y
2017-09-01 06:00:01;2017-10-01 06:00:00;2017-09;58.5;Y
2017-10-01 06:00:01;2017-11-01 06:00:00;2017-10;62.5;Y
2017-11-01 06:00:01;2017-12-01 06:00:00;2017-11;121.4;Y
2017-12-01 06:00:01;2018-01-01 06:00:00;2017-12;82.3;Y
2018-01-01 06:00:01;2018-02-01 06:00:00;2018-01;51.6;Y
