Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Jäckvik;166810;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1926-01-01 00:00:00;1986-09-30 23:59:59;430.0;66.3824;16.9959
1986-10-01 00:00:00;2018-04-30 23:59:59;430.0;66.3881;16.9763
1908-09-01 00:00:00;1925-12-31 23:59:59;430.0;66.38;16.98

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1908-08-01 07:00:01;1908-09-01 07:00:00;1908-08;33.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1908-09-01 07:00:01;1908-10-01 07:00:00;1908-09;17.0;G;;Tidsperiod (fr.o.m.) = 1908-09-01 00:00:00 (UTC)
1908-10-01 07:00:01;1908-11-01 07:00:00;1908-10;15.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1908-11-01 07:00:01;1908-12-01 07:00:00;1908-11;35.0;G;;Värdet är summerat över = 1 månad
1908-12-01 07:00:01;1909-01-01 07:00:00;1908-12;20.0;G;;
1909-01-01 07:00:01;1909-02-01 07:00:00;1909-01;44.0;G;;Kvalitetskoderna:
1909-02-01 07:00:01;1909-03-01 07:00:00;1909-02;10.0;G;;Grön (G) = Kontrollerade och godkända värden.
1909-03-01 07:00:01;1909-04-01 07:00:00;1909-03;51.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1909-04-01 07:00:01;1909-05-01 07:00:00;1909-04;18.0;G;;
1909-05-01 07:00:01;1909-06-01 07:00:00;1909-05;0.0;G;;Orsaker till saknade data:
1909-06-01 07:00:01;1909-07-01 07:00:00;1909-06;32.0;G;;  stationen eller givaren har varit ur funktion.
1909-07-01 07:00:01;1909-08-01 07:00:00;1909-07;75.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1909-08-01 07:00:01;1909-09-01 07:00:00;1909-08;112.0;G
1909-09-01 07:00:01;1909-10-01 07:00:00;1909-09;44.0;G
1909-10-01 07:00:01;1909-11-01 07:00:00;1909-10;144.0;G
1909-11-01 07:00:01;1909-12-01 07:00:00;1909-11;21.0;G
1909-12-01 07:00:01;1910-01-01 07:00:00;1909-12;49.0;G
1910-01-01 07:00:01;1910-02-01 07:00:00;1910-01;51.0;G
1910-02-01 07:00:01;1910-03-01 07:00:00;1910-02;21.0;G
1910-03-01 07:00:01;1910-04-01 07:00:00;1910-03;23.0;G
1910-04-01 07:00:01;1910-05-01 07:00:00;1910-04;72.0;G
1910-05-01 07:00:01;1910-06-01 07:00:00;1910-05;44.0;G
1910-06-01 07:00:01;1910-07-01 07:00:00;1910-06;55.0;G
1910-07-01 07:00:01;1910-08-01 07:00:00;1910-07;52.0;G
1910-08-01 07:00:01;1910-09-01 07:00:00;1910-08;5.0;G
1910-09-01 07:00:01;1910-10-01 07:00:00;1910-09;31.0;G
1910-10-01 07:00:01;1910-11-01 07:00:00;1910-10;28.0;G
1910-11-01 07:00:01;1910-12-01 07:00:00;1910-11;100.0;G
1910-12-01 07:00:01;1911-01-01 07:00:00;1910-12;22.0;G
1911-01-01 07:00:01;1911-02-01 07:00:00;1911-01;43.0;G
1911-02-01 07:00:01;1911-03-01 07:00:00;1911-02;17.0;G
1911-03-01 07:00:01;1911-04-01 07:00:00;1911-03;15.0;G
1911-04-01 07:00:01;1911-05-01 07:00:00;1911-04;44.0;G
1911-05-01 07:00:01;1911-06-01 07:00:00;1911-05;14.0;G
1911-06-01 07:00:01;1911-07-01 07:00:00;1911-06;47.0;G
1911-07-01 07:00:01;1911-08-01 07:00:00;1911-07;55.0;G
1911-08-01 07:00:01;1911-09-01 07:00:00;1911-08;49.0;G
1911-09-01 07:00:01;1911-10-01 07:00:00;1911-09;100.0;G
1911-10-01 07:00:01;1911-11-01 07:00:00;1911-10;43.0;G
1911-11-01 07:00:01;1911-12-01 07:00:00;1911-11;56.0;G
1911-12-01 07:00:01;1912-01-01 07:00:00;1911-12;25.0;G
1912-01-01 07:00:01;1912-02-01 07:00:00;1912-01;20.0;G
1912-02-01 07:00:01;1912-03-01 07:00:00;1912-02;18.0;G
1912-03-01 07:00:01;1912-04-01 07:00:00;1912-03;40.0;G
1912-04-01 07:00:01;1912-05-01 07:00:00;1912-04;17.0;G
1912-05-01 07:00:01;1912-06-01 07:00:00;1912-05;29.0;G
1912-06-01 07:00:01;1912-07-01 07:00:00;1912-06;68.0;G
1912-07-01 07:00:01;1912-08-01 07:00:00;1912-07;24.0;G
1912-08-01 07:00:01;1912-09-01 07:00:00;1912-08;87.0;G
1912-09-01 07:00:01;1912-10-01 07:00:00;1912-09;75.0;G
1912-10-01 07:00:01;1912-11-01 07:00:00;1912-10;56.0;G
1912-11-01 07:00:01;1912-12-01 07:00:00;1912-11;58.0;G
1912-12-01 07:00:01;1913-01-01 07:00:00;1912-12;77.0;G
1913-01-01 07:00:01;1913-02-01 07:00:00;1913-01;28.0;G
1913-02-01 07:00:01;1913-03-01 07:00:00;1913-02;36.0;G
1913-03-01 07:00:01;1913-04-01 07:00:00;1913-03;13.0;G
1913-04-01 07:00:01;1913-05-01 07:00:00;1913-04;51.0;G
1913-05-01 07:00:01;1913-06-01 07:00:00;1913-05;26.0;G
1913-06-01 07:00:01;1913-07-01 07:00:00;1913-06;43.0;G
1913-07-01 07:00:01;1913-08-01 07:00:00;1913-07;136.0;G
1913-08-01 07:00:01;1913-09-01 07:00:00;1913-08;72.0;G
1913-09-01 07:00:01;1913-10-01 07:00:00;1913-09;12.0;G
1913-10-01 07:00:01;1913-11-01 07:00:00;1913-10;41.0;G
1913-11-01 07:00:01;1913-12-01 07:00:00;1913-11;51.0;G
1913-12-01 07:00:01;1914-01-01 07:00:00;1913-12;40.0;G
1914-01-01 07:00:01;1914-02-01 07:00:00;1914-01;43.0;G
1914-02-01 07:00:01;1914-03-01 07:00:00;1914-02;48.0;G
1914-03-01 07:00:01;1914-04-01 07:00:00;1914-03;34.0;G
1914-04-01 07:00:01;1914-05-01 07:00:00;1914-04;23.0;G
1914-05-01 07:00:01;1914-06-01 07:00:00;1914-05;35.0;G
1914-06-01 07:00:01;1914-07-01 07:00:00;1914-06;63.0;G
1914-07-01 07:00:01;1914-08-01 07:00:00;1914-07;41.0;G
1914-08-01 07:00:01;1914-09-01 07:00:00;1914-08;58.0;G
1914-09-01 07:00:01;1914-10-01 07:00:00;1914-09;72.0;G
1914-10-01 07:00:01;1914-11-01 07:00:00;1914-10;3.0;G
1914-11-01 07:00:01;1914-12-01 07:00:00;1914-11;31.0;G
1914-12-01 07:00:01;1915-01-01 07:00:00;1914-12;53.0;G
1915-01-01 07:00:01;1915-02-01 07:00:00;1915-01;27.0;G
1915-02-01 07:00:01;1915-03-01 07:00:00;1915-02;32.0;G
1915-03-01 07:00:01;1915-04-01 07:00:00;1915-03;15.0;G
1915-04-01 07:00:01;1915-05-01 07:00:00;1915-04;40.0;G
1915-05-01 07:00:01;1915-06-01 07:00:00;1915-05;6.0;G
1915-06-01 07:00:01;1915-07-01 07:00:00;1915-06;32.0;G
1915-07-01 07:00:01;1915-08-01 07:00:00;1915-07;142.0;G
1915-08-01 07:00:01;1915-09-01 07:00:00;1915-08;44.0;G
1915-09-01 07:00:01;1915-10-01 07:00:00;1915-09;56.0;G
1915-10-01 07:00:01;1915-11-01 07:00:00;1915-10;3.0;G
1915-11-01 07:00:01;1915-12-01 07:00:00;1915-11;82.0;G
1915-12-01 07:00:01;1916-01-01 07:00:00;1915-12;22.0;G
1916-01-01 07:00:01;1916-02-01 07:00:00;1916-01;40.0;G
1916-02-01 07:00:01;1916-03-01 07:00:00;1916-02;12.0;G
1916-03-01 07:00:01;1916-04-01 07:00:00;1916-03;48.0;G
1916-04-01 07:00:01;1916-05-01 07:00:00;1916-04;40.0;G
1916-05-01 07:00:01;1916-06-01 07:00:00;1916-05;26.0;G
1916-06-01 07:00:01;1916-07-01 07:00:00;1916-06;42.0;G
1916-07-01 07:00:01;1916-08-01 07:00:00;1916-07;67.0;G
1916-08-01 07:00:01;1916-09-01 07:00:00;1916-08;75.0;G
1916-09-01 07:00:01;1916-10-01 07:00:00;1916-09;28.0;G
1916-10-01 07:00:01;1916-11-01 07:00:00;1916-10;50.0;G
1916-11-01 07:00:01;1916-12-01 07:00:00;1916-11;82.0;G
1916-12-01 07:00:01;1917-01-01 07:00:00;1916-12;46.0;G
1917-01-01 07:00:01;1917-02-01 07:00:00;1917-01;4.0;G
1917-02-01 07:00:01;1917-03-01 07:00:00;1917-02;30.0;G
1917-03-01 07:00:01;1917-04-01 07:00:00;1917-03;7.0;G
1917-04-01 07:00:01;1917-05-01 07:00:00;1917-04;24.0;G
1917-05-01 07:00:01;1917-06-01 07:00:00;1917-05;5.0;G
1917-06-01 07:00:01;1917-07-01 07:00:00;1917-06;77.0;G
1917-07-01 07:00:01;1917-08-01 07:00:00;1917-07;46.0;G
1917-08-01 07:00:01;1917-09-01 07:00:00;1917-08;75.0;G
1917-09-01 07:00:01;1917-10-01 07:00:00;1917-09;82.0;G
1917-10-01 07:00:01;1917-11-01 07:00:00;1917-10;64.0;G
1917-11-01 07:00:01;1917-12-01 07:00:00;1917-11;48.0;G
1917-12-01 07:00:01;1918-01-01 07:00:00;1917-12;43.0;G
1918-01-01 07:00:01;1918-02-01 07:00:00;1918-01;29.0;G
1918-02-01 07:00:01;1918-03-01 07:00:00;1918-02;24.0;G
1918-03-01 07:00:01;1918-04-01 07:00:00;1918-03;13.0;G
1918-04-01 07:00:01;1918-05-01 07:00:00;1918-04;5.0;G
1918-05-01 07:00:01;1918-06-01 07:00:00;1918-05;7.0;G
1918-06-01 07:00:01;1918-07-01 07:00:00;1918-06;66.0;G
1918-07-01 07:00:01;1918-08-01 07:00:00;1918-07;6.0;G
1918-08-01 07:00:01;1918-09-01 07:00:00;1918-08;70.0;G
1918-09-01 07:00:01;1918-10-01 07:00:00;1918-09;96.0;G
