Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Mierkenis A;166910;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-11-01 00:00:00;2018-04-30 23:59:59;614.0;66.6815;16.1088
1996-10-01 00:00:00;1996-10-31 23:59:59;614.0;66.6816;16.109

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;58.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;96.6;G;;Tidsperiod (fr.o.m.) = 1996-10-01 00:00:00 (UTC)
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;88.0;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;49.7;Y;;Värdet är summerat över = 1 månad
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;173.7;Y;;
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;59.3;Y;;Kvalitetskoderna:
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;113.4;Y;;Grön (G) = Kontrollerade och godkända värden.
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;85.1;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;50.0;Y;;
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;13.2;Y;;Orsaker till saknade data:
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;45.8;Y;;  stationen eller givaren har varit ur funktion.
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;36.4;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;82.3;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;70.3;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;16.0;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;39.9;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;61.1;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;134.4;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;46.2;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;45.9;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;47.6;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;53.1;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;98.3;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;93.3;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;73.0;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;78.0;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;23.3;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;51.4;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;26.0;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;47.1;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;35.2;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;45.0;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;40.0;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;82.5;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;141.6;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;29.8;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;29.2;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;58.7;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;114.3;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;34.7;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;110.6;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;74.3;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;77.1;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;45.0;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;46.8;Y
2000-06-01 06:00:01;2000-07-01 06:00:00;2000-06;94.6;Y
2000-07-01 06:00:01;2000-08-01 06:00:00;2000-07;39.8;Y
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;141.6;Y
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;35.1;Y
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;48.1;Y
2000-11-01 06:00:01;2000-12-01 06:00:00;2000-11;73.0;Y
2000-12-01 06:00:01;2001-01-01 06:00:00;2000-12;34.6;Y
2001-01-01 06:00:01;2001-02-01 06:00:00;2001-01;36.9;Y
2001-02-01 06:00:01;2001-03-01 06:00:00;2001-02;81.5;Y
2001-03-01 06:00:01;2001-04-01 06:00:00;2001-03;16.2;Y
2001-04-01 06:00:01;2001-05-01 06:00:00;2001-04;34.3;Y
2001-05-01 06:00:01;2001-06-01 06:00:00;2001-05;25.3;Y
2001-06-01 06:00:01;2001-07-01 06:00:00;2001-06;81.9;Y
2001-07-01 06:00:01;2001-08-01 06:00:00;2001-07;145.3;Y
2001-08-01 06:00:01;2001-09-01 06:00:00;2001-08;128.6;Y
2001-09-01 06:00:01;2001-10-01 06:00:00;2001-09;96.1;Y
2001-10-01 06:00:01;2001-11-01 06:00:00;2001-10;60.0;Y
2001-11-01 06:00:01;2001-12-01 06:00:00;2001-11;109.0;Y
2001-12-01 06:00:01;2002-01-01 06:00:00;2001-12;37.3;Y
2002-01-01 06:00:01;2002-02-01 06:00:00;2002-01;97.5;Y
2002-02-01 06:00:01;2002-03-01 06:00:00;2002-02;97.3;Y
2002-03-01 06:00:01;2002-04-01 06:00:00;2002-03;50.8;Y
2002-04-01 06:00:01;2002-05-01 06:00:00;2002-04;18.4;Y
2002-05-01 06:00:01;2002-06-01 06:00:00;2002-05;12.2;Y
2002-06-01 06:00:01;2002-07-01 06:00:00;2002-06;54.8;Y
2002-07-01 06:00:01;2002-08-01 06:00:00;2002-07;98.3;Y
2002-08-01 06:00:01;2002-09-01 06:00:00;2002-08;43.5;Y
