Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Tjåkaape Mo;169790;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2010-06-01 00:00:00;2018-05-01 15:00:00;581.0;66.3002;19.2

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2013-01-01 06:00:01;2013-02-01 06:00:00;2013-01;16.5;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
2013-02-01 06:00:01;2013-03-01 06:00:00;2013-02;26.1;Y;;Tidsperiod (fr.o.m.) = 2010-06-01 00:00:00 (UTC)
2013-05-01 06:00:01;2013-06-01 06:00:00;2013-05;38.3;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
2013-07-01 06:00:01;2013-08-01 06:00:00;2013-07;95.7;Y;;Värdet är summerat över = 1 månad
2013-08-01 06:00:01;2013-09-01 06:00:00;2013-08;32.8;Y;;
2013-09-01 06:00:01;2013-10-01 06:00:00;2013-09;57.3;Y;;Kvalitetskoderna:
2013-10-01 06:00:01;2013-11-01 06:00:00;2013-10;42.4;Y;;Grön (G) = Kontrollerade och godkända värden.
2013-11-01 06:00:01;2013-12-01 06:00:00;2013-11;21.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2013-12-01 06:00:01;2014-01-01 06:00:00;2013-12;44.0;Y;;
2014-01-01 06:00:01;2014-02-01 06:00:00;2014-01;56.3;Y;;Orsaker till saknade data:
2014-02-01 06:00:01;2014-03-01 06:00:00;2014-02;63.7;Y;;  stationen eller givaren har varit ur funktion.
2014-03-01 06:00:01;2014-04-01 06:00:00;2014-03;32.0;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
2014-05-01 06:00:01;2014-06-01 06:00:00;2014-05;37.8;Y
2014-06-01 06:00:01;2014-07-01 06:00:00;2014-06;122.6;Y
2014-07-01 06:00:01;2014-08-01 06:00:00;2014-07;59.5;Y
2014-08-01 06:00:01;2014-09-01 06:00:00;2014-08;72.3;Y
2014-09-01 06:00:01;2014-10-01 06:00:00;2014-09;12.8;Y
2014-10-01 06:00:01;2014-11-01 06:00:00;2014-10;23.6;Y
2014-11-01 06:00:01;2014-12-01 06:00:00;2014-11;25.5;Y
2014-12-01 06:00:01;2015-01-01 06:00:00;2014-12;19.3;Y
2015-02-01 06:00:01;2015-03-01 06:00:00;2015-02;36.2;Y
2015-03-01 06:00:01;2015-04-01 06:00:00;2015-03;40.5;Y
2015-04-01 06:00:01;2015-05-01 06:00:00;2015-04;58.3;Y
2015-05-01 06:00:01;2015-06-01 06:00:00;2015-05;63.4;Y
2015-06-01 06:00:01;2015-07-01 06:00:00;2015-06;64.8;Y
2015-07-01 06:00:01;2015-08-01 06:00:00;2015-07;140.1;Y
2015-08-01 06:00:01;2015-09-01 06:00:00;2015-08;38.4;Y
2015-09-01 06:00:01;2015-10-01 06:00:00;2015-09;89.5;Y
2015-10-01 06:00:01;2015-11-01 06:00:00;2015-10;14.9;Y
2015-11-01 06:00:01;2015-12-01 06:00:00;2015-11;32.6;Y
2015-12-01 06:00:01;2016-01-01 06:00:00;2015-12;23.5;Y
2016-01-01 06:00:01;2016-02-01 06:00:00;2016-01;33.0;Y
2016-02-01 06:00:01;2016-03-01 06:00:00;2016-02;66.7;Y
2016-03-01 06:00:01;2016-04-01 06:00:00;2016-03;13.5;Y
2016-04-01 06:00:01;2016-05-01 06:00:00;2016-04;59.7;Y
2016-05-01 06:00:01;2016-06-01 06:00:00;2016-05;32.3;Y
2016-06-01 06:00:01;2016-07-01 06:00:00;2016-06;59.5;Y
2016-07-01 06:00:01;2016-08-01 06:00:00;2016-07;72.9;Y
2016-08-01 06:00:01;2016-09-01 06:00:00;2016-08;124.5;Y
2016-09-01 06:00:01;2016-10-01 06:00:00;2016-09;41.6;Y
2016-10-01 06:00:01;2016-11-01 06:00:00;2016-10;7.7;Y
2016-11-01 06:00:01;2016-12-01 06:00:00;2016-11;66.8;Y
2016-12-01 06:00:01;2017-01-01 06:00:00;2016-12;20.7;Y
2017-01-01 06:00:01;2017-02-01 06:00:00;2017-01;34.7;Y
2017-02-01 06:00:01;2017-03-01 06:00:00;2017-02;47.6;Y
2017-03-01 06:00:01;2017-04-01 06:00:00;2017-03;30.0;Y
2017-04-01 06:00:01;2017-05-01 06:00:00;2017-04;42.3;Y
2017-05-01 06:00:01;2017-06-01 06:00:00;2017-05;18.9;Y
2017-06-01 06:00:01;2017-07-01 06:00:00;2017-06;44.0;Y
2017-07-01 06:00:01;2017-08-01 06:00:00;2017-07;146.5;Y
2017-08-01 06:00:01;2017-09-01 06:00:00;2017-08;114.1;Y
2017-09-01 06:00:01;2017-10-01 06:00:00;2017-09;44.4;Y
2017-10-01 06:00:01;2017-11-01 06:00:00;2017-10;40.3;Y
2017-11-01 06:00:01;2017-12-01 06:00:00;2017-11;56.9;Y
2017-12-01 06:00:01;2018-01-01 06:00:00;2017-12;55.2;Y
2018-01-01 06:00:01;2018-02-01 06:00:00;2018-01;55.5;Y
