Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Jokkmokk;169880;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2010-02-01 00:00:00;2018-04-30 23:59:59;240.0;66.6135;19.8316
1937-01-01 00:00:00;1966-11-30 23:59:59;260.0;66.6296;19.6424
1966-12-01 00:00:00;1975-07-15 23:59:59;266.0;66.6296;19.6424
1979-01-01 00:00:00;2000-05-10 23:59:59;260.0;66.6296;19.6424
1975-09-01 00:00:00;1978-12-31 23:59:59;255.0;66.6296;19.6424
2000-10-01 00:00:00;2009-08-01 23:59:59;254.0;66.6045;19.8089
1861-02-01 00:00:00;1936-12-31 23:59:59;255.0;66.6;19.83

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1861-01-01 07:00:01;1861-02-01 07:00:00;1861-01;43.0;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1861-02-01 07:00:01;1861-03-01 07:00:00;1861-02;6.0;G;;Tidsperiod (fr.o.m.) = 1861-02-01 00:00:00 (UTC)
1861-03-01 07:00:01;1861-04-01 07:00:00;1861-03;7.0;G;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1861-04-01 07:00:01;1861-05-01 07:00:00;1861-04;2.0;G;;Värdet är summerat över = 1 månad
1861-09-01 07:00:01;1861-10-01 07:00:00;1861-09;33.0;G;;
1861-10-01 07:00:01;1861-11-01 07:00:00;1861-10;54.0;G;;Kvalitetskoderna:
1861-11-01 07:00:01;1861-12-01 07:00:00;1861-11;40.0;G;;Grön (G) = Kontrollerade och godkända värden.
1861-12-01 07:00:01;1862-01-01 07:00:00;1861-12;32.0;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1862-01-01 07:00:01;1862-02-01 07:00:00;1862-01;54.0;G;;
1862-02-01 07:00:01;1862-03-01 07:00:00;1862-02;4.0;G;;Orsaker till saknade data:
1862-03-01 07:00:01;1862-04-01 07:00:00;1862-03;7.0;G;;  stationen eller givaren har varit ur funktion.
1862-04-01 07:00:01;1862-05-01 07:00:00;1862-04;19.0;G;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1862-05-01 07:00:01;1862-06-01 07:00:00;1862-05;7.0;G
1862-06-01 07:00:01;1862-07-01 07:00:00;1862-06;9.0;G
1862-07-01 07:00:01;1862-08-01 07:00:00;1862-07;116.0;G
1862-08-01 07:00:01;1862-09-01 07:00:00;1862-08;22.0;G
1862-09-01 07:00:01;1862-10-01 07:00:00;1862-09;3.0;G
1862-10-01 07:00:01;1862-11-01 07:00:00;1862-10;53.0;G
1862-11-01 07:00:01;1862-12-01 07:00:00;1862-11;30.0;G
1862-12-01 07:00:01;1863-01-01 07:00:00;1862-12;23.0;G
1863-01-01 07:00:01;1863-02-01 07:00:00;1863-01;45.0;G
1863-02-01 07:00:01;1863-03-01 07:00:00;1863-02;18.0;G
1863-03-01 07:00:01;1863-04-01 07:00:00;1863-03;13.0;G
1863-04-01 07:00:01;1863-05-01 07:00:00;1863-04;16.0;G
1863-05-01 07:00:01;1863-06-01 07:00:00;1863-05;10.0;G
1863-06-01 07:00:01;1863-07-01 07:00:00;1863-06;47.0;G
1863-07-01 07:00:01;1863-08-01 07:00:00;1863-07;15.0;G
1863-08-01 07:00:01;1863-09-01 07:00:00;1863-08;71.0;G
1863-09-01 07:00:01;1863-10-01 07:00:00;1863-09;96.0;G
1863-10-01 07:00:01;1863-11-01 07:00:00;1863-10;49.0;G
1863-11-01 07:00:01;1863-12-01 07:00:00;1863-11;16.0;G
1863-12-01 07:00:01;1864-01-01 07:00:00;1863-12;23.0;G
1864-01-01 07:00:01;1864-02-01 07:00:00;1864-01;7.0;G
1864-02-01 07:00:01;1864-03-01 07:00:00;1864-02;19.0;G
1864-03-01 07:00:01;1864-04-01 07:00:00;1864-03;28.0;G
1864-04-01 07:00:01;1864-05-01 07:00:00;1864-04;8.0;G
1864-05-01 07:00:01;1864-06-01 07:00:00;1864-05;10.0;G
1864-06-01 07:00:01;1864-07-01 07:00:00;1864-06;83.0;G
1864-07-01 07:00:01;1864-08-01 07:00:00;1864-07;35.0;G
1864-08-01 07:00:01;1864-09-01 07:00:00;1864-08;70.0;G
1864-09-01 07:00:01;1864-10-01 07:00:00;1864-09;82.0;G
1864-10-01 07:00:01;1864-11-01 07:00:00;1864-10;34.0;G
1864-11-01 07:00:01;1864-12-01 07:00:00;1864-11;24.0;G
1864-12-01 07:00:01;1865-01-01 07:00:00;1864-12;6.0;G
1865-01-01 07:00:01;1865-02-01 07:00:00;1865-01;42.0;G
1865-02-01 07:00:01;1865-03-01 07:00:00;1865-02;3.0;G
1865-03-01 07:00:01;1865-04-01 07:00:00;1865-03;3.0;G
1865-04-01 07:00:01;1865-05-01 07:00:00;1865-04;2.0;G
1865-05-01 07:00:01;1865-06-01 07:00:00;1865-05;4.0;G
1865-06-01 07:00:01;1865-07-01 07:00:00;1865-06;23.0;G
1865-07-01 07:00:01;1865-08-01 07:00:00;1865-07;69.0;G
1865-08-01 07:00:01;1865-09-01 07:00:00;1865-08;4.0;G
1865-09-01 07:00:01;1865-10-01 07:00:00;1865-09;6.0;G
1865-10-01 07:00:01;1865-11-01 07:00:00;1865-10;30.0;G
1865-11-01 07:00:01;1865-12-01 07:00:00;1865-11;18.0;G
1865-12-01 07:00:01;1866-01-01 07:00:00;1865-12;1.0;G
1866-01-01 07:00:01;1866-02-01 07:00:00;1866-01;35.0;G
1866-02-01 07:00:01;1866-03-01 07:00:00;1866-02;6.0;G
1866-03-01 07:00:01;1866-04-01 07:00:00;1866-03;21.0;G
1866-04-01 07:00:01;1866-05-01 07:00:00;1866-04;21.0;G
1866-05-01 07:00:01;1866-06-01 07:00:00;1866-05;45.0;G
1866-06-01 07:00:01;1866-07-01 07:00:00;1866-06;59.0;G
1866-07-01 07:00:01;1866-08-01 07:00:00;1866-07;94.0;G
1866-08-01 07:00:01;1866-09-01 07:00:00;1866-08;165.0;G
1866-09-01 07:00:01;1866-10-01 07:00:00;1866-09;81.0;G
1866-10-01 07:00:01;1866-11-01 07:00:00;1866-10;4.0;G
1866-11-01 07:00:01;1866-12-01 07:00:00;1866-11;23.0;G
1866-12-01 07:00:01;1867-01-01 07:00:00;1866-12;23.0;G
1867-01-01 07:00:01;1867-02-01 07:00:00;1867-01;1.0;G
1867-02-01 07:00:01;1867-03-01 07:00:00;1867-02;24.0;G
1867-03-01 07:00:01;1867-04-01 07:00:00;1867-03;7.0;G
1867-04-01 07:00:01;1867-05-01 07:00:00;1867-04;1.0;G
1867-05-01 07:00:01;1867-06-01 07:00:00;1867-05;2.0;G
1867-06-01 07:00:01;1867-07-01 07:00:00;1867-06;63.0;G
1867-07-01 07:00:01;1867-08-01 07:00:00;1867-07;62.0;G
1867-08-01 07:00:01;1867-09-01 07:00:00;1867-08;43.0;G
1867-09-01 07:00:01;1867-10-01 07:00:00;1867-09;26.0;G
1867-10-01 07:00:01;1867-11-01 07:00:00;1867-10;47.0;G
1867-11-01 07:00:01;1867-12-01 07:00:00;1867-11;35.0;G
1867-12-01 07:00:01;1868-01-01 07:00:00;1867-12;0.0;G
1868-01-01 07:00:01;1868-02-01 07:00:00;1868-01;33.0;G
1868-02-01 07:00:01;1868-03-01 07:00:00;1868-02;32.0;G
1868-03-01 07:00:01;1868-04-01 07:00:00;1868-03;11.0;G
1868-04-01 07:00:01;1868-05-01 07:00:00;1868-04;0.0;G
1868-05-01 07:00:01;1868-06-01 07:00:00;1868-05;22.0;G
1868-06-01 07:00:01;1868-07-01 07:00:00;1868-06;31.0;G
1868-07-01 07:00:01;1868-08-01 07:00:00;1868-07;1.0;G
1868-08-01 07:00:01;1868-09-01 07:00:00;1868-08;64.0;G
1868-09-01 07:00:01;1868-10-01 07:00:00;1868-09;29.0;G
1868-10-01 07:00:01;1868-11-01 07:00:00;1868-10;46.0;G
1868-11-01 07:00:01;1868-12-01 07:00:00;1868-11;33.0;G
1868-12-01 07:00:01;1869-01-01 07:00:00;1868-12;21.0;G
1869-01-01 07:00:01;1869-02-01 07:00:00;1869-01;4.0;G
1869-02-01 07:00:01;1869-03-01 07:00:00;1869-02;24.0;G
1869-03-01 07:00:01;1869-04-01 07:00:00;1869-03;19.0;G
1869-04-01 07:00:01;1869-05-01 07:00:00;1869-04;19.0;G
1869-05-01 07:00:01;1869-06-01 07:00:00;1869-05;65.0;G
1869-06-01 07:00:01;1869-07-01 07:00:00;1869-06;13.0;G
1869-07-01 07:00:01;1869-08-01 07:00:00;1869-07;128.0;G
1869-08-01 07:00:01;1869-09-01 07:00:00;1869-08;65.0;G
1869-09-01 07:00:01;1869-10-01 07:00:00;1869-09;82.0;G
1869-10-01 07:00:01;1869-11-01 07:00:00;1869-10;31.0;G
1869-11-01 07:00:01;1869-12-01 07:00:00;1869-11;31.0;G
1869-12-01 07:00:01;1870-01-01 07:00:00;1869-12;46.0;G
1870-01-01 07:00:01;1870-02-01 07:00:00;1870-01;47.0;G
1870-02-01 07:00:01;1870-03-01 07:00:00;1870-02;16.0;G
1870-03-01 07:00:01;1870-04-01 07:00:00;1870-03;5.0;G
1870-04-01 07:00:01;1870-05-01 07:00:00;1870-04;9.0;G
1870-05-01 07:00:01;1870-06-01 07:00:00;1870-05;24.0;G
1870-06-01 07:00:01;1870-07-01 07:00:00;1870-06;51.0;G
1870-07-01 07:00:01;1870-08-01 07:00:00;1870-07;117.0;G
1870-08-01 07:00:01;1870-09-01 07:00:00;1870-08;73.0;G
1870-09-01 07:00:01;1870-10-01 07:00:00;1870-09;62.0;G
1870-10-01 07:00:01;1870-11-01 07:00:00;1870-10;24.0;G
1870-11-01 07:00:01;1870-12-01 07:00:00;1870-11;45.0;G
1870-12-01 07:00:01;1871-01-01 07:00:00;1870-12;43.0;G
1871-01-01 07:00:01;1871-02-01 07:00:00;1871-01;23.0;G
1871-02-01 07:00:01;1871-03-01 07:00:00;1871-02;7.0;G
1871-03-01 07:00:01;1871-04-01 07:00:00;1871-03;3.0;G
1871-04-01 07:00:01;1871-05-01 07:00:00;1871-04;12.0;G
1871-05-01 07:00:01;1871-06-01 07:00:00;1871-05;16.0;G
1871-06-01 07:00:01;1871-07-01 07:00:00;1871-06;14.0;G
1871-07-01 07:00:01;1871-08-01 07:00:00;1871-07;71.0;G
1871-08-01 07:00:01;1871-09-01 07:00:00;1871-08;30.0;G
1871-09-01 07:00:01;1871-10-01 07:00:00;1871-09;23.0;G
1871-10-01 07:00:01;1871-11-01 07:00:00;1871-10;22.0;G
1871-11-01 07:00:01;1871-12-01 07:00:00;1871-11;10.0;G
1871-12-01 07:00:01;1872-01-01 07:00:00;1871-12;22.0;G
1872-01-01 07:00:01;1872-02-01 07:00:00;1872-01;29.0;G
1872-02-01 07:00:01;1872-03-01 07:00:00;1872-02;11.0;G
1872-03-01 07:00:01;1872-04-01 07:00:00;1872-03;8.0;G
1872-04-01 07:00:01;1872-05-01 07:00:00;1872-04;26.0;G
1872-05-01 07:00:01;1872-06-01 07:00:00;1872-05;13.0;G
1872-06-01 07:00:01;1872-07-01 07:00:00;1872-06;17.0;G
1872-07-01 07:00:01;1872-08-01 07:00:00;1872-07;93.0;G
