Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Nattavaara A;170930;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-06-01 00:00:00;2018-05-01 15:00:00;327.0;66.7529;20.9281

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;34.6;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;65.9;Y;;Tidsperiod (fr.o.m.) = 1996-06-01 00:00:00 (UTC)
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;67.2;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;40.9;Y;;Värdet är summerat över = 1 månad
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;33.4;Y;;
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;62.6;Y;;Kvalitetskoderna:
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;64.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;30.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;28.8;Y;;
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;45.2;Y;;Orsaker till saknade data:
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;31.2;Y;;  stationen eller givaren har varit ur funktion.
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;20.9;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;13.6;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;6.3;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;95.5;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;25.4;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;39.7;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;26.4;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;28.8;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;44.4;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;31.8;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;51.2;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;36.8;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;24.2;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;28.8;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;76.6;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;80.1;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;93.2;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;31.9;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;64.4;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;27.9;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;19.7;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;43.0;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;43.7;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;29.5;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;31.5;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;52.6;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;34.7;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;81.3;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;61.0;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;24.8;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;46.5;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;81.7;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;30.5;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;26.8;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;31.8;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;47.6;Y
2000-06-01 06:00:01;2000-07-01 06:00:00;2000-06;101.7;Y
2000-07-01 06:00:01;2000-08-01 06:00:00;2000-07;105.1;Y
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;43.5;Y
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;32.8;Y
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;43.6;Y
2000-11-01 06:00:01;2000-12-01 06:00:00;2000-11;77.8;Y
2000-12-01 06:00:01;2001-01-01 06:00:00;2000-12;39.3;Y
