Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Sörbyn;171720;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1989-06-01 00:00:00;2017-03-31 23:59:59;45.0;66.0531;21.7851

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1989-05-01 06:00:01;1989-06-01 06:00:00;1989-05;32.7;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1989-06-01 06:00:01;1989-07-01 06:00:00;1989-06;29.6;Y;;Tidsperiod (fr.o.m.) = 1989-06-01 00:00:00 (UTC)
1989-07-01 06:00:01;1989-08-01 06:00:00;1989-07;75.7;Y;;Tidsperiod (t.o.m.) = 2017-03-31 23:59:59 (UTC)
1989-08-01 06:00:01;1989-09-01 06:00:00;1989-08;56.6;Y;;Värdet är summerat över = 1 månad
1989-09-01 06:00:01;1989-10-01 06:00:00;1989-09;36.9;Y;;
1989-10-01 06:00:01;1989-11-01 06:00:00;1989-10;38.1;Y;;Kvalitetskoderna:
1989-11-01 06:00:01;1989-12-01 06:00:00;1989-11;41.5;Y;;Grön (G) = Kontrollerade och godkända värden.
1989-12-01 06:00:01;1990-01-01 06:00:00;1989-12;16.5;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;70.5;Y;;
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;53.3;Y;;Orsaker till saknade data:
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;24.6;Y;;  stationen eller givaren har varit ur funktion.
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;9.8;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;5.5;Y
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;50.2;Y
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;82.0;Y
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;65.6;Y
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;52.0;Y
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;40.2;Y
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;30.2;Y
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;36.6;Y
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;38.2;Y
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;16.9;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;58.7;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;7.5;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;38.5;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;67.5;Y
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;25.7;Y
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;91.9;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;44.0;Y
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;69.3;Y
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;82.3;Y
1991-12-01 06:00:01;1992-01-01 06:00:00;1991-12;15.5;Y
1992-01-01 06:00:01;1992-02-01 06:00:00;1992-01;30.5;Y
1992-02-01 06:00:01;1992-03-01 06:00:00;1992-02;23.3;Y
1992-03-01 06:00:01;1992-04-01 06:00:00;1992-03;37.6;Y
1992-04-01 06:00:01;1992-05-01 06:00:00;1992-04;22.8;Y
1992-05-01 06:00:01;1992-06-01 06:00:00;1992-05;33.1;Y
1992-06-01 06:00:01;1992-07-01 06:00:00;1992-06;49.4;Y
1992-07-01 06:00:01;1992-08-01 06:00:00;1992-07;64.0;Y
1992-08-01 06:00:01;1992-09-01 06:00:00;1992-08;145.0;Y
1992-09-01 06:00:01;1992-10-01 06:00:00;1992-09;85.3;Y
1992-10-01 06:00:01;1992-11-01 06:00:00;1992-10;16.8;Y
1992-11-01 06:00:01;1992-12-01 06:00:00;1992-11;70.0;Y
1992-12-01 06:00:01;1993-01-01 06:00:00;1992-12;39.6;Y
1993-01-01 06:00:01;1993-02-01 06:00:00;1993-01;54.3;Y
1993-02-01 06:00:01;1993-03-01 06:00:00;1993-02;8.9;Y
1993-03-01 06:00:01;1993-04-01 06:00:00;1993-03;41.3;Y
1993-04-01 06:00:01;1993-05-01 06:00:00;1993-04;8.1;Y
1993-05-01 06:00:01;1993-06-01 06:00:00;1993-05;17.7;Y
1993-06-01 06:00:01;1993-07-01 06:00:00;1993-06;49.9;Y
1993-07-01 06:00:01;1993-08-01 06:00:00;1993-07;105.3;Y
1993-08-01 06:00:01;1993-09-01 06:00:00;1993-08;118.9;Y
1993-09-01 06:00:01;1993-10-01 06:00:00;1993-09;53.2;Y
1993-10-01 06:00:01;1993-11-01 06:00:00;1993-10;39.5;Y
1993-11-01 06:00:01;1993-12-01 06:00:00;1993-11;23.0;Y
1993-12-01 06:00:01;1994-01-01 06:00:00;1993-12;142.2;Y
1994-01-01 06:00:01;1994-02-01 06:00:00;1994-01;45.6;Y
1994-02-01 06:00:01;1994-03-01 06:00:00;1994-02;4.0;Y
1994-03-01 06:00:01;1994-04-01 06:00:00;1994-03;48.3;Y
1994-04-01 06:00:01;1994-05-01 06:00:00;1994-04;41.9;Y
1994-05-01 06:00:01;1994-06-01 06:00:00;1994-05;12.9;Y
1994-06-01 06:00:01;1994-07-01 06:00:00;1994-06;60.3;Y
1994-07-01 06:00:01;1994-08-01 06:00:00;1994-07;10.7;Y
1994-08-01 06:00:01;1994-09-01 06:00:00;1994-08;32.4;Y
1994-09-01 06:00:01;1994-10-01 06:00:00;1994-09;30.6;Y
1994-10-01 06:00:01;1994-11-01 06:00:00;1994-10;44.3;Y
1994-11-01 06:00:01;1994-12-01 06:00:00;1994-11;21.7;Y
1994-12-01 06:00:01;1995-01-01 06:00:00;1994-12;52.2;Y
1995-01-01 06:00:01;1995-02-01 06:00:00;1995-01;65.7;Y
1995-02-01 06:00:01;1995-03-01 06:00:00;1995-02;48.5;Y
1995-03-01 06:00:01;1995-04-01 06:00:00;1995-03;59.7;Y
1995-04-01 06:00:01;1995-05-01 06:00:00;1995-04;23.6;Y
1995-05-01 06:00:01;1995-06-01 06:00:00;1995-05;52.3;Y
1995-06-01 06:00:01;1995-07-01 06:00:00;1995-06;66.2;Y
