Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Lakaträsk A;171790;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-12-01 00:00:00;2018-04-30 23:59:59;185.0;66.2801;21.133

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1995-12-01 06:00:01;1996-01-01 06:00:00;1995-12;11.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1996-01-01 06:00:01;1996-02-01 06:00:00;1996-01;3.8;Y;;Tidsperiod (fr.o.m.) = 1995-12-01 00:00:00 (UTC)
1996-02-01 06:00:01;1996-03-01 06:00:00;1996-02;14.0;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1996-03-01 06:00:01;1996-04-01 06:00:00;1996-03;8.7;Y;;Värdet är summerat över = 1 månad
1996-04-01 06:00:01;1996-05-01 06:00:00;1996-04;43.8;Y;;
1996-05-01 06:00:01;1996-06-01 06:00:00;1996-05;26.5;Y;;Kvalitetskoderna:
1996-06-01 06:00:01;1996-07-01 06:00:00;1996-06;82.1;Y;;Grön (G) = Kontrollerade och godkända värden.
1996-07-01 06:00:01;1996-08-01 06:00:00;1996-07;93.0;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1996-08-01 06:00:01;1996-09-01 06:00:00;1996-08;18.4;Y;;
1996-09-01 06:00:01;1996-10-01 06:00:00;1996-09;38.8;Y;;Orsaker till saknade data:
1996-10-01 06:00:01;1996-11-01 06:00:00;1996-10;60.7;Y;;  stationen eller givaren har varit ur funktion.
1996-11-01 06:00:01;1996-12-01 06:00:00;1996-11;76.0;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1996-12-01 06:00:01;1997-01-01 06:00:00;1996-12;23.1;Y
1997-01-01 06:00:01;1997-02-01 06:00:00;1997-01;22.6;Y
1997-02-01 06:00:01;1997-03-01 06:00:00;1997-02;30.2;Y
1997-03-01 06:00:01;1997-04-01 06:00:00;1997-03;32.5;Y
1997-04-01 06:00:01;1997-05-01 06:00:00;1997-04;26.0;Y
1997-05-01 06:00:01;1997-06-01 06:00:00;1997-05;16.1;Y
1997-06-01 06:00:01;1997-07-01 06:00:00;1997-06;9.6;Y
1997-07-01 06:00:01;1997-08-01 06:00:00;1997-07;36.9;Y
1997-08-01 06:00:01;1997-09-01 06:00:00;1997-08;25.2;Y
1997-09-01 06:00:01;1997-10-01 06:00:00;1997-09;43.0;Y
1997-10-01 06:00:01;1997-11-01 06:00:00;1997-10;19.5;Y
1997-11-01 06:00:01;1997-12-01 06:00:00;1997-11;41.3;Y
1997-12-01 06:00:01;1998-01-01 06:00:00;1997-12;39.6;Y
1998-01-01 06:00:01;1998-02-01 06:00:00;1998-01;44.6;Y
1998-02-01 06:00:01;1998-03-01 06:00:00;1998-02;49.7;Y
1998-03-01 06:00:01;1998-04-01 06:00:00;1998-03;20.4;Y
1998-04-01 06:00:01;1998-05-01 06:00:00;1998-04;18.2;Y
1998-05-01 06:00:01;1998-06-01 06:00:00;1998-05;44.2;Y
1998-06-01 06:00:01;1998-07-01 06:00:00;1998-06;64.9;Y
1998-07-01 06:00:01;1998-08-01 06:00:00;1998-07;91.2;Y
1998-08-01 06:00:01;1998-09-01 06:00:00;1998-08;114.9;Y
1998-09-01 06:00:01;1998-10-01 06:00:00;1998-09;22.2;Y
1998-10-01 06:00:01;1998-11-01 06:00:00;1998-10;74.6;Y
1998-11-01 06:00:01;1998-12-01 06:00:00;1998-11;31.9;Y
1998-12-01 06:00:01;1999-01-01 06:00:00;1998-12;16.0;Y
1999-01-01 06:00:01;1999-02-01 06:00:00;1999-01;13.6;Y
1999-02-01 06:00:01;1999-03-01 06:00:00;1999-02;42.9;Y
1999-03-01 06:00:01;1999-04-01 06:00:00;1999-03;18.2;Y
1999-04-01 06:00:01;1999-05-01 06:00:00;1999-04;32.0;Y
1999-05-01 06:00:01;1999-06-01 06:00:00;1999-05;48.4;Y
1999-06-01 06:00:01;1999-07-01 06:00:00;1999-06;33.8;Y
1999-07-01 06:00:01;1999-08-01 06:00:00;1999-07;67.4;Y
1999-08-01 06:00:01;1999-09-01 06:00:00;1999-08;48.1;Y
1999-09-01 06:00:01;1999-10-01 06:00:00;1999-09;21.9;Y
1999-10-01 06:00:01;1999-11-01 06:00:00;1999-10;40.1;Y
1999-11-01 06:00:01;1999-12-01 06:00:00;1999-11;70.7;Y
1999-12-01 06:00:01;2000-01-01 06:00:00;1999-12;21.6;Y
2000-01-01 06:00:01;2000-02-01 06:00:00;2000-01;45.6;Y
2000-02-01 06:00:01;2000-03-01 06:00:00;2000-02;39.8;Y
2000-03-01 06:00:01;2000-04-01 06:00:00;2000-03;23.1;Y
2000-04-01 06:00:01;2000-05-01 06:00:00;2000-04;43.8;Y
2000-05-01 06:00:01;2000-06-01 06:00:00;2000-05;42.0;Y
2000-06-01 06:00:01;2000-07-01 06:00:00;2000-06;86.0;Y
2000-07-01 06:00:01;2000-08-01 06:00:00;2000-07;58.4;Y
2000-08-01 06:00:01;2000-09-01 06:00:00;2000-08;86.2;Y
2000-09-01 06:00:01;2000-10-01 06:00:00;2000-09;29.5;Y
2000-10-01 06:00:01;2000-11-01 06:00:00;2000-10;63.6;Y
