Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Rödupp;172840;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1989-07-01 00:00:00;2018-04-30 23:59:59;55.0;66.4585;22.7855

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1989-06-01 06:00:01;1989-07-01 06:00:00;1989-06;45.0;Y;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1989-07-01 06:00:01;1989-08-01 06:00:00;1989-07;69.1;Y;;Tidsperiod (fr.o.m.) = 1989-07-01 00:00:00 (UTC)
1989-08-01 06:00:01;1989-09-01 06:00:00;1989-08;54.2;Y;;Tidsperiod (t.o.m.) = 2018-02-01 06:00:00 (UTC)
1989-09-01 06:00:01;1989-10-01 06:00:00;1989-09;41.5;Y;;Värdet är summerat över = 1 månad
1989-10-01 06:00:01;1989-11-01 06:00:00;1989-10;32.0;Y;;
1989-11-01 06:00:01;1989-12-01 06:00:00;1989-11;30.9;Y;;Kvalitetskoderna:
1989-12-01 06:00:01;1990-01-01 06:00:00;1989-12;15.4;Y;;Grön (G) = Kontrollerade och godkända värden.
1990-01-01 06:00:01;1990-02-01 06:00:00;1990-01;42.4;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1990-02-01 06:00:01;1990-03-01 06:00:00;1990-02;44.0;Y;;
1990-03-01 06:00:01;1990-04-01 06:00:00;1990-03;30.3;Y;;Orsaker till saknade data:
1990-04-01 06:00:01;1990-05-01 06:00:00;1990-04;10.9;Y;;  stationen eller givaren har varit ur funktion.
1990-05-01 06:00:01;1990-06-01 06:00:00;1990-05;8.7;Y;;  kvalitetskontrollerna har felmarkerat data (röd kvalitetskod). Efterföljande manuell granskning godkänner, rättar eller underkänner data.
1990-06-01 06:00:01;1990-07-01 06:00:00;1990-06;35.4;Y
1990-07-01 06:00:01;1990-08-01 06:00:00;1990-07;49.4;Y
1990-08-01 06:00:01;1990-09-01 06:00:00;1990-08;48.4;Y
1990-09-01 06:00:01;1990-10-01 06:00:00;1990-09;20.6;Y
1990-10-01 06:00:01;1990-11-01 06:00:00;1990-10;34.0;Y
1990-11-01 06:00:01;1990-12-01 06:00:00;1990-11;27.3;Y
1990-12-01 06:00:01;1991-01-01 06:00:00;1990-12;37.5;Y
1991-01-01 06:00:01;1991-02-01 06:00:00;1991-01;32.2;Y
1991-02-01 06:00:01;1991-03-01 06:00:00;1991-02;11.9;Y
1991-03-01 06:00:01;1991-04-01 06:00:00;1991-03;61.0;Y
1991-04-01 06:00:01;1991-05-01 06:00:00;1991-04;9.2;Y
1991-05-01 06:00:01;1991-06-01 06:00:00;1991-05;65.2;Y
1991-06-01 06:00:01;1991-07-01 06:00:00;1991-06;78.6;Y
1991-07-01 06:00:01;1991-08-01 06:00:00;1991-07;69.2;Y
1991-08-01 06:00:01;1991-09-01 06:00:00;1991-08;78.4;Y
1991-09-01 06:00:01;1991-10-01 06:00:00;1991-09;32.6;Y
1991-10-01 06:00:01;1991-11-01 06:00:00;1991-10;58.2;Y
1991-11-01 06:00:01;1991-12-01 06:00:00;1991-11;79.0;Y
